,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,attention,isTrue
0,1580.0,5149.0,1230.0,7160.0,471.0,817.0,0.0,0
1,1580.0,5149.0,1230.0,7160.0,471.0,817.0,0.0,0
2,1580.0,5149.0,1230.0,7160.0,471.0,817.0,0.0,0
3,1580.0,5149.0,1230.0,7160.0,471.0,817.0,0.0,0
4,1580.0,5149.0,1230.0,7160.0,471.0,817.0,0.0,0
5,5397.0,12760.0,1203.0,2887.0,266.0,581.0,56.0,0
6,5397.0,12760.0,1203.0,2887.0,266.0,581.0,56.0,0
7,5397.0,12760.0,1203.0,2887.0,266.0,581.0,56.0,0
8,5397.0,12760.0,1203.0,2887.0,266.0,581.0,56.0,0
9,5397.0,12760.0,1203.0,2887.0,266.0,581.0,56.0,0
10,5397.0,12760.0,1203.0,2887.0,266.0,581.0,56.0,0
11,5397.0,12760.0,1203.0,2887.0,266.0,581.0,56.0,0
12,5397.0,12760.0,1203.0,2887.0,266.0,581.0,56.0,0
13,5397.0,12760.0,1203.0,2887.0,266.0,581.0,56.0,0
14,5397.0,12760.0,1203.0,2887.0,266.0,581.0,56.0,0
15,18802.0,16052.0,4356.0,26539.0,1073.0,2302.0,56.0,0
16,18802.0,16052.0,4356.0,26539.0,1073.0,2302.0,56.0,0
17,18802.0,16052.0,4356.0,26539.0,1073.0,2302.0,56.0,0
18,18802.0,16052.0,4356.0,26539.0,1073.0,2302.0,56.0,0
19,18802.0,16052.0,4356.0,26539.0,1073.0,2302.0,56.0,0
20,18802.0,16052.0,4356.0,26539.0,1073.0,2302.0,56.0,0
21,18802.0,16052.0,4356.0,26539.0,1073.0,2302.0,56.0,0
22,18802.0,16052.0,4356.0,26539.0,1073.0,2302.0,56.0,0
23,18802.0,16052.0,4356.0,26539.0,1073.0,2302.0,56.0,0
24,18802.0,16052.0,4356.0,26539.0,1073.0,2302.0,56.0,0
25,31077.0,226687.0,9360.0,25936.0,2621.0,7688.0,35.0,0
26,31077.0,226687.0,9360.0,25936.0,2621.0,7688.0,35.0,0
27,31077.0,226687.0,9360.0,25936.0,2621.0,7688.0,35.0,0
28,31077.0,226687.0,9360.0,25936.0,2621.0,7688.0,35.0,0
29,31077.0,226687.0,9360.0,25936.0,2621.0,7688.0,35.0,0
30,31077.0,226687.0,9360.0,25936.0,2621.0,7688.0,35.0,0
31,31077.0,226687.0,9360.0,25936.0,2621.0,7688.0,35.0,0
32,31077.0,226687.0,9360.0,25936.0,2621.0,7688.0,35.0,0
33,31077.0,226687.0,9360.0,25936.0,2621.0,7688.0,35.0,0
34,31077.0,226687.0,9360.0,25936.0,2621.0,7688.0,35.0,0
35,143566.0,47402.0,21769.0,47680.0,2696.0,8082.0,38.0,0
36,143566.0,47402.0,21769.0,47680.0,2696.0,8082.0,38.0,0
37,143566.0,47402.0,21769.0,47680.0,2696.0,8082.0,38.0,0
38,143566.0,47402.0,21769.0,47680.0,2696.0,8082.0,38.0,0
39,143566.0,47402.0,21769.0,47680.0,2696.0,8082.0,38.0,0
40,143566.0,47402.0,21769.0,47680.0,2696.0,8082.0,38.0,0
41,143566.0,47402.0,21769.0,47680.0,2696.0,8082.0,38.0,0
42,143566.0,47402.0,21769.0,47680.0,2696.0,8082.0,38.0,0
43,143566.0,47402.0,21769.0,47680.0,2696.0,8082.0,38.0,0
44,143566.0,47402.0,21769.0,47680.0,2696.0,8082.0,38.0,0
45,42986.0,16561.0,51684.0,88150.0,5905.0,11565.0,47.0,0
46,42986.0,16561.0,51684.0,88150.0,5905.0,11565.0,47.0,0
47,42986.0,16561.0,51684.0,88150.0,5905.0,11565.0,47.0,0
48,42986.0,16561.0,51684.0,88150.0,5905.0,11565.0,47.0,0
49,42986.0,16561.0,51684.0,88150.0,5905.0,11565.0,47.0,0
50,42986.0,16561.0,51684.0,88150.0,5905.0,11565.0,47.0,0
51,42986.0,16561.0,51684.0,88150.0,5905.0,11565.0,47.0,0
52,42986.0,16561.0,51684.0,88150.0,5905.0,11565.0,47.0,0
53,42986.0,16561.0,51684.0,88150.0,5905.0,11565.0,47.0,0
