poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
,,,,,,,,,,,
0,-98,36847,13541,6708,2898,1659,2324,951382,103188,66,17
,,,,,,,,,,,
0,72,36847,13541,6708,2898,1659,2324,951382,103188,66,17
,,,,,,,,,,,
0,99,36847,13541,6708,2898,1659,2324,951382,103188,66,17
,,,,,,,,,,,
0,-13,36847,13541,6708,2898,1659,2324,951382,103188,66,17
,,,,,,,,,,,
0,-52,36847,13541,6708,2898,1659,2324,951382,103188,66,17
,,,,,,,,,,,
0,-1,36847,13541,6708,2898,1659,2324,951382,103188,66,17
,,,,,,,,,,,
0,-12,36847,13541,6708,2898,1659,2324,951382,103188,66,17
,,,,,,,,,,,
0,54,36847,13541,6708,2898,1659,2324,951382,103188,66,17
,,,,,,,,,,,
0,55,1052,6451,1045,1032,124,458,241349,22706,74,16
,,,,,,,,,,,
0,13,1052,6451,1045,1032,124,458,241349,22706,74,16
,,,,,,,,,,,
0,151,1052,6451,1045,1032,124,458,241349,22706,74,16
,,,,,,,,,,,
0,-61,1052,6451,1045,1032,124,458,241349,22706,74,16
,,,,,,,,,,,
0,71,1052,6451,1045,1032,124,458,241349,22706,74,16
,,,,,,,,,,,
0,3,1052,6451,1045,1032,124,458,241349,22706,74,16
,,,,,,,,,,,
0,6,1052,6451,1045,1032,124,458,241349,22706,74,16
,,,,,,,,,,,
0,5,1052,6451,1045,1032,124,458,241349,22706,74,16
,,,,,,,,,,,
0,-385,1052,6451,1045,1032,124,458,241349,22706,74,16
,,,,,,,,,,,
0,59,1052,6451,1045,1032,124,458,241349,22706,74,16
,,,,,,,,,,,
0,-163,5995,22082,1924,2848,760,1150,202930,148764,56,16
,,,,,,,,,,,
0,-230,5995,22082,1924,2848,760,1150,202930,148764,56,16
,,,,,,,,,,,
0,564,5995,22082,1924,2848,760,1150,202930,148764,56,16
,,,,,,,,,,,
0,475,5995,22082,1924,2848,760,1150,202930,148764,56,16
,,,,,,,,,,,
0,282,5995,22082,1924,2848,760,1150,202930,148764,56,16
,,,,,,,,,,,
0,-2048,5995,22082,1924,2848,760,1150,202930,148764,56,16
,,,,,,,,,,,
0,-243,5995,22082,1924,2848,760,1150,202930,148764,56,16
,,,,,,,,,,,
0,7,5995,22082,1924,2848,760,1150,202930,148764,56,16
,,,,,,,,,,,
0,48,5995,22082,1924,2848,760,1150,202930,148764,56,16
,,,,,,,,,,,
0,53,5995,22082,1924,2848,760,1150,202930,148764,56,16
,,,,,,,,,,,
51,54,17687,32301,2697,5340,580,750,112228,62597,56,16
,,,,,,,,,,,
51,53,17687,32301,2697,5340,580,750,112228,62597,56,16
,,,,,,,,,,,
51,53,17687,32301,2697,5340,580,750,112228,62597,56,16
,,,,,,,,,,,
51,53,17687,32301,2697,5340,580,750,112228,62597,56,16
,,,,,,,,,,,
51,54,17687,32301,2697,5340,580,750,112228,62597,56,16
,,,,,,,,,,,
51,54,17687,32301,2697,5340,580,750,112228,62597,56,16
,,,,,,,,,,,
51,54,17687,32301,2697,5340,580,750,112228,62597,56,16
,,,,,,,,,,,
51,54,17687,32301,2697,5340,580,750,112228,62597,56,16
,,,,,,,,,,,
51,54,17687,32301,2697,5340,580,750,112228,62597,56,16
,,,,,,,,,,,
51,54,17687,32301,2697,5340,580,750,112228,62597,56,16
,,,,,,,,,,,
54,54,0,0,0,0,0,0,0,0,56,16
,,,,,,,,,,,
54,54,0,0,0,0,0,0,0,0,56,16
,,,,,,,,,,,
54,54,0,0,0,0,0,0,0,0,56,16
,,,,,,,,,,,
54,54,0,0,0,0,0,0,0,0,56,16
,,,,,,,,,,,
54,54,0,0,0,0,0,0,0,0,56,16
,,,,,,,,,,,
54,54,0,0,0,0,0,0,0,0,56,16
,,,,,,,,,,,
54,54,0,0,0,0,0,0,0,0,56,16
,,,,,,,,,,,
54,54,0,0,0,0,0,0,0,0,56,16
,,,,,,,,,,,
54,53,0,0,0,0,0,0,0,0,56,16
,,,,,,,,,,,
54,54,0,0,0,0,0,0,0,0,56,16
,,,,,,,,,,,
54,54,0,0,0,0,0,0,0,0,56,16
,,,,,,,,,,,
54,54,0,0,0,0,0,0,0,0,56,16
,,,,,,,,,,,
54,54,0,0,0,0,0,0,0,0,56,16
,,,,,,,,,,,
54,54,0,0,0,0,0,0,0,0,56,16
,,,,,,,,,,,
54,54,0,0,0,0,0,0,0,0,56,16
,,,,,,,,,,,
54,55,0,0,0,0,0,0,0,0,56,16
,,,,,,,,,,,
54,54,0,0,0,0,0,0,0,0,56,16
,,,,,,,,,,,
54,54,0,0,0,0,0,0,0,0,56,16
,,,,,,,,,,,
54,53,0,0,0,0,0,0,0,0,56,16
,,,,,,,,,,,
54,54,0,0,0,0,0,0,0,0,56,16
,,,,,,,,,,,
54,55,0,0,0,0,0,0,1,0,56,16
,,,,,,,,,,,
54,53,0,0,0,0,0,0,1,0,56,16
,,,,,,,,,,,
54,55,0,0,0,0,0,0,1,0,56,16
,,,,,,,,,,,
54,55,0,0,0,0,0,0,1,0,56,16
,,,,,,,,,,,
54,53,0,0,0,0,0,0,1,0,56,16
,,,,,,,,,,,
54,55,0,0,0,0,0,0,1,0,56,16
,,,,,,,,,,,
54,54,0,0,0,0,0,0,1,0,56,16
,,,,,,,,,,,
54,48,0,0,0,0,0,0,1,0,56,16
,,,,,,,,,,,
54,146,0,0,0,0,0,0,1,0,56,16
,,,,,,,,,,,
54,-2,0,0,0,0,0,0,1,0,56,16
,,,,,,,,,,,
29,275,163,254,80,130,236,66,4159,505,56,16
,,,,,,,,,,,
29,18,163,254,80,130,236,66,4159,505,56,16
