poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
0,177,68598,17020,7268,10012,1982,2953,898387,55950,81,20
0,83,68598,17020,7268,10012,1982,2953,898387,55950,81,20
0,71,68598,17020,7268,10012,1982,2953,898387,55950,81,20
0,20,68598,17020,7268,10012,1982,2953,898387,55950,81,20
0,34,68598,17020,7268,10012,1982,2953,898387,55950,81,20
0,77,68598,17020,7268,10012,1982,2953,898387,55950,81,20
0,81,68598,17020,7268,10012,1982,2953,898387,55950,81,20
0,81,68598,17020,7268,10012,1982,2953,898387,55950,81,20
0,64,17435,31511,14922,27223,2651,5017,98547,46318,97,40
0,107,17435,31511,14922,27223,2651,5017,98547,46318,97,40
0,-19,17435,31511,14922,27223,2651,5017,98547,46318,97,40
0,71,17435,31511,14922,27223,2651,5017,98547,46318,97,40
0,128,17435,31511,14922,27223,2651,5017,98547,46318,97,40
0,-11,17435,31511,14922,27223,2651,5017,98547,46318,97,40
0,182,17435,31511,14922,27223,2651,5017,98547,46318,97,40
0,48,17435,31511,14922,27223,2651,5017,98547,46318,97,40
0,171,17435,31511,14922,27223,2651,5017,98547,46318,97,40
0,-326,31089,12373,11559,16849,3855,3408,315789,245337,84,30
0,-7,31089,12373,11559,16849,3855,3408,315789,245337,84,30
0,194,31089,12373,11559,16849,3855,3408,315789,245337,84,30
0,4,31089,12373,11559,16849,3855,3408,315789,245337,84,30
0,240,31089,12373,11559,16849,3855,3408,315789,245337,84,30
0,-349,31089,12373,11559,16849,3855,3408,315789,245337,84,30
0,-1224,31089,12373,11559,16849,3855,3408,315789,245337,84,30
0,1172,31089,12373,11559,16849,3855,3408,315789,245337,84,30
0,770,31089,12373,11559,16849,3855,3408,315789,245337,84,30
0,1,31089,12373,11559,16849,3855,3408,315789,245337,84,30
26,-1253,47802,48827,22428,27692,2752,8921,1251480,140763,84,30
26,-645,47802,48827,22428,27692,2752,8921,1251480,140763,84,30
26,87,47802,48827,22428,27692,2752,8921,1251480,140763,84,30
26,2047,47802,48827,22428,27692,2752,8921,1251480,140763,84,30
26,739,47802,48827,22428,27692,2752,8921,1251480,140763,84,30
26,-1095,47802,48827,22428,27692,2752,8921,1251480,140763,84,30
26,786,47802,48827,22428,27692,2752,8921,1251480,140763,84,30
26,265,47802,48827,22428,27692,2752,8921,1251480,140763,84,30
26,-253,47802,48827,22428,27692,2752,8921,1251480,140763,84,30
26,-1,47802,48827,22428,27692,2752,8921,1251480,140763,84,30
51,521,11912,16947,6463,18489,315,895,871176,10057,84,30
51,-2048,11912,16947,6463,18489,315,895,871176,10057,84,30
51,1660,11912,16947,6463,18489,315,895,871176,10057,84,30
51,432,11912,16947,6463,18489,315,895,871176,10057,84,30
51,227,11912,16947,6463,18489,315,895,871176,10057,84,30
51,-2048,11912,16947,6463,18489,315,895,871176,10057,84,30
51,-969,11912,16947,6463,18489,315,895,871176,10057,84,30
51,-51,11912,16947,6463,18489,315,895,871176,10057,84,30
51,39,11912,16947,6463,18489,315,895,871176,10057,84,30
51,52,11912,16947,6463,18489,315,895,871176,10057,84,30
51,53,16844,13369,9938,6378,1463,2749,89883,18111,84,30
51,54,16844,13369,9938,6378,1463,2749,89883,18111,84,30
51,53,16844,13369,9938,6378,1463,2749,89883,18111,84,30
51,54,16844,13369,9938,6378,1463,2749,89883,18111,84,30
51,54,16844,13369,9938,6378,1463,2749,89883,18111,84,30
51,54,16844,13369,9938,6378,1463,2749,89883,18111,84,30
51,54,16844,13369,9938,6378,1463,2749,89883,18111,84,30
51,54,16844,13369,9938,6378,1463,2749,89883,18111,84,30
51,54,16844,13369,9938,6378,1463,2749,89883,18111,84,30
51,53,16844,13369,9938,6378,1463,2749,89883,18111,84,30
54,53,0,0,0,0,0,0,4,2,84,30
54,54,0,0,0,0,0,0,4,2,84,30
54,53,0,0,0,0,0,0,4,2,84,30
