poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
25,276,1019,6756,3420,637,542,784,235233,40409,0,0
25,125,1019,6756,3420,637,542,784,235233,40409,0,0
25,55,1019,6756,3420,637,542,784,235233,40409,0,0
25,16,1019,6756,3420,637,542,784,235233,40409,0,0
25,102,1019,6756,3420,637,542,784,235233,40409,0,0
25,27,1019,6756,3420,637,542,784,235233,40409,0,0
25,-23,1019,6756,3420,637,542,784,235233,40409,0,0
25,76,1019,6756,3420,637,542,784,235233,40409,0,0
25,72,1019,6756,3420,637,542,784,235233,40409,0,0
25,26,44264,42879,11691,19648,9776,9115,261555,120407,0,0
25,60,44264,42879,11691,19648,9776,9115,261555,120407,0,0
25,140,44264,42879,11691,19648,9776,9115,261555,120407,0,0
25,-58,44264,42879,11691,19648,9776,9115,261555,120407,0,0
25,16,44264,42879,11691,19648,9776,9115,261555,120407,0,0
25,-26,44264,42879,11691,19648,9776,9115,261555,120407,0,0
25,38,44264,42879,11691,19648,9776,9115,261555,120407,0,0
25,65,44264,42879,11691,19648,9776,9115,261555,120407,0,0
25,122,44264,42879,11691,19648,9776,9115,261555,120407,0,0
25,33,44264,42879,11691,19648,9776,9115,261555,120407,0,0
0,86,21649,14143,4141,11264,3505,3302,449755,82345,0,0
0,-25,21649,14143,4141,11264,3505,3302,449755,82345,0,0
0,60,21649,14143,4141,11264,3505,3302,449755,82345,0,0
0,-157,21649,14143,4141,11264,3505,3302,449755,82345,0,0
0,118,21649,14143,4141,11264,3505,3302,449755,82345,0,0
0,465,21649,14143,4141,11264,3505,3302,449755,82345,0,0
0,198,21649,14143,4141,11264,3505,3302,449755,82345,0,0
0,-329,21649,14143,4141,11264,3505,3302,449755,82345,0,0
0,421,21649,14143,4141,11264,3505,3302,449755,82345,0,0
0,388,21649,14143,4141,11264,3505,3302,449755,82345,0,0
0,-1188,21162,20305,13952,9549,2669,3462,171385,23348,0,0
0,-145,21162,20305,13952,9549,2669,3462,171385,23348,0,0
0,26,21162,20305,13952,9549,2669,3462,171385,23348,0,0
0,51,21162,20305,13952,9549,2669,3462,171385,23348,0,0
0,54,21162,20305,13952,9549,2669,3462,171385,23348,0,0
0,54,21162,20305,13952,9549,2669,3462,171385,23348,0,0
0,54,21162,20305,13952,9549,2669,3462,171385,23348,0,0
0,54,21162,20305,13952,9549,2669,3462,171385,23348,0,0
0,54,21162,20305,13952,9549,2669,3462,171385,23348,0,0
0,54,21162,20305,13952,9549,2669,3462,171385,23348,0,0
80,54,113869,162823,13905,56704,7208,8949,718782,271945,0,0
80,54,113869,162823,13905,56704,7208,8949,718782,271945,0,0
80,54,113869,162823,13905,56704,7208,8949,718782,271945,0,0
80,54,113869,162823,13905,56704,7208,8949,718782,271945,0,0
80,54,113869,162823,13905,56704,7208,8949,718782,271945,0,0
80,54,113869,162823,13905,56704,7208,8949,718782,271945,0,0
80,54,113869,162823,13905,56704,7208,8949,718782,271945,0,0
80,54,113869,162823,13905,56704,7208,8949,718782,271945,0,0
80,54,113869,162823,13905,56704,7208,8949,718782,271945,0,0
80,54,113869,162823,13905,56704,7208,8949,718782,271945,0,0
54,54,0,0,0,0,0,0,0,0,0,0
54,54,0,0,0,0,0,0,0,0,0,0
54,54,0,0,0,0,0,0,0,0,0,0
54,54,0,0,0,0,0,0,0,0,0,0
54,54,0,0,0,0,0,0,0,0,0,0
54,54,0,0,0,0,0,0,0,0,0,0
54,54,0,0,0,0,0,0,0,0,0,0
54,54,0,0,0,0,0,0,0,0,0,0
54,54,0,0,0,0,0,0,0,0,0,0
54,54,0,0,0,0,0,0,0,0,0,0
54,54,0,0,0,0,0,0,0,0,0,0
54,54,0,0,0,0,0,0,0,0,0,0
54,54,0,0,0,0,0,0,0,0,0,0
54,55,0,0,0,0,0,0,0,0,0,0
54,54,0,0,0,0,0,0,0,0,0,0
54,53,0,0,0,0,0,0,0,0,0,0
54,54,0,0,0,0,0,0,0,0,0,0
54,2047,0,0,0,0,0,0,0,0,0,0
54,372,0,0,0,0,0,0,0,0,0,0
54,101,0,0,0,0,0,0,0,0,0,0
54,59,0,0,0,0,0,0,0,0,0,0
