poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
,,,,,,,,,,,
0,45,35134,62449,14770,25520,5767,17332,1276772,52431,53,57
,,,,,,,,,,,
0,138,35134,62449,14770,25520,5767,17332,1276772,52431,53,57
,,,,,,,,,,,
0,-147,35134,62449,14770,25520,5767,17332,1276772,52431,53,57
,,,,,,,,,,,
0,-124,35134,62449,14770,25520,5767,17332,1276772,52431,53,57
,,,,,,,,,,,
0,357,78677,3266,19211,20998,7477,12279,357924,147966,53,75
,,,,,,,,,,,
0,-325,78677,3266,19211,20998,7477,12279,357924,147966,53,75
,,,,,,,,,,,
0,649,78677,3266,19211,20998,7477,12279,357924,147966,53,75
,,,,,,,,,,,
0,-68,78677,3266,19211,20998,7477,12279,357924,147966,53,75
,,,,,,,,,,,
0,-212,78677,3266,19211,20998,7477,12279,357924,147966,53,75
,,,,,,,,,,,
0,-123,78677,3266,19211,20998,7477,12279,357924,147966,53,75
,,,,,,,,,,,
0,-173,78677,3266,19211,20998,7477,12279,357924,147966,53,75
,,,,,,,,,,,
0,992,78677,3266,19211,20998,7477,12279,357924,147966,53,75
,,,,,,,,,,,
0,824,78677,3266,19211,20998,7477,12279,357924,147966,53,75
,,,,,,,,,,,
0,-506,45948,15853,9797,8685,1087,2647,1214776,166306,35,70
,,,,,,,,,,,
0,-150,45948,15853,9797,8685,1087,2647,1214776,166306,35,70
,,,,,,,,,,,
0,-55,45948,15853,9797,8685,1087,2647,1214776,166306,35,70
,,,,,,,,,,,
0,104,45948,15853,9797,8685,1087,2647,1214776,166306,35,70
,,,,,,,,,,,
0,28,45948,15853,9797,8685,1087,2647,1214776,166306,35,70
,,,,,,,,,,,
0,131,45948,15853,9797,8685,1087,2647,1214776,166306,35,70
,,,,,,,,,,,
0,76,45948,15853,9797,8685,1087,2647,1214776,166306,35,70
,,,,,,,,,,,
0,160,45948,15853,9797,8685,1087,2647,1214776,166306,35,70
,,,,,,,,,,,
0,88,45948,15853,9797,8685,1087,2647,1214776,166306,35,70
,,,,,,,,,,,
0,-51,45948,15853,9797,8685,1087,2647,1214776,166306,35,70
,,,,,,,,,,,
0,57,7761,14060,4239,13158,1393,3072,1972702,20750,41,90
,,,,,,,,,,,
0,125,7761,14060,4239,13158,1393,3072,1972702,20750,41,90
,,,,,,,,,,,
0,43,7761,14060,4239,13158,1393,3072,1972702,20750,41,90
,,,,,,,,,,,
0,652,7761,14060,4239,13158,1393,3072,1972702,20750,41,90
,,,,,,,,,,,
0,-44,7761,14060,4239,13158,1393,3072,1972702,20750,41,90
,,,,,,,,,,,
0,-228,7761,14060,4239,13158,1393,3072,1972702,20750,41,90
,,,,,,,,,,,
0,-5,7761,14060,4239,13158,1393,3072,1972702,20750,41,90
,,,,,,,,,,,
0,189,7761,14060,4239,13158,1393,3072,1972702,20750,41,90
,,,,,,,,,,,
0,-198,7761,14060,4239,13158,1393,3072,1972702,20750,41,90
,,,,,,,,,,,
0,150,7761,14060,4239,13158,1393,3072,1972702,20750,41,90
,,,,,,,,,,,
0,354,32456,44663,18578,33350,4588,6748,1251921,226788,37,77
,,,,,,,,,,,
0,55,32456,44663,18578,33350,4588,6748,1251921,226788,37,77
,,,,,,,,,,,
0,359,32456,44663,18578,33350,4588,6748,1251921,226788,37,77
,,,,,,,,,,,
0,-2048,32456,44663,18578,33350,4588,6748,1251921,226788,37,77
,,,,,,,,,,,
0,-254,32456,44663,18578,33350,4588,6748,1251921,226788,37,77
,,,,,,,,,,,
0,-3,32456,44663,18578,33350,4588,6748,1251921,226788,37,77
,,,,,,,,,,,
0,32,32456,44663,18578,33350,4588,6748,1251921,226788,37,77
,,,,,,,,,,,
0,1541,32456,44663,18578,33350,4588,6748,1251921,226788,37,77
,,,,,,,,,,,
0,260,32456,44663,18578,33350,4588,6748,1251921,226788,37,77
,,,,,,,,,,,
51,82,315978,176274,603033,337036,51441,412617,1559050,909429,37,77
,,,,,,,,,,,
51,59,315978,176274,603033,337036,51441,412617,1559050,909429,37,77
,,,,,,,,,,,
51,-129,315978,176274,603033,337036,51441,412617,1559050,909429,37,77
,,,,,,,,,,,
51,-165,315978,176274,603033,337036,51441,412617,1559050,909429,37,77
,,,,,,,,,,,
51,48,315978,176274,603033,337036,51441,412617,1559050,909429,37,77
,,,,,,,,,,,
51,-20,315978,176274,603033,337036,51441,412617,1559050,909429,37,77
,,,,,,,,,,,
51,-74,315978,176274,603033,337036,51441,412617,1559050,909429,37,77
,,,,,,,,,,,
51,-22,315978,176274,603033,337036,51441,412617,1559050,909429,37,77
,,,,,,,,,,,
51,-93,315978,176274,603033,337036,51441,412617,1559050,909429,37,77
,,,,,,,,,,,
51,18,315978,176274,603033,337036,51441,412617,1559050,909429,37,77
