poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
0,180,36952,19528,38202,41542,2634,16059,2192432,414396,37,60
0,22,36952,19528,38202,41542,2634,16059,2192432,414396,37,60
0,-42,36952,19528,38202,41542,2634,16059,2192432,414396,37,60
0,91,36952,19528,38202,41542,2634,16059,2192432,414396,37,60
0,-42,36952,19528,38202,41542,2634,16059,2192432,414396,37,60
0,-1,36952,19528,38202,41542,2634,16059,2192432,414396,37,60
0,247,36952,19528,38202,41542,2634,16059,2192432,414396,37,60
0,21,36952,19528,38202,41542,2634,16059,2192432,414396,37,60
0,-22,36952,19528,38202,41542,2634,16059,2192432,414396,37,60
0,121,35301,13833,37258,41642,3567,17756,675109,196433,51,50
0,148,35301,13833,37258,41642,3567,17756,675109,196433,51,50
0,29,35301,13833,37258,41642,3567,17756,675109,196433,51,50
0,61,35301,13833,37258,41642,3567,17756,675109,196433,51,50
0,-42,35301,13833,37258,41642,3567,17756,675109,196433,51,50
0,-17,35301,13833,37258,41642,3567,17756,675109,196433,51,50
0,-28,35301,13833,37258,41642,3567,17756,675109,196433,51,50
0,96,35301,13833,37258,41642,3567,17756,675109,196433,51,50
0,130,35301,13833,37258,41642,3567,17756,675109,196433,51,50
0,55,35301,13833,37258,41642,3567,17756,675109,196433,51,50
0,26,22558,52808,13119,8518,3251,8252,313768,91106,50,51
0,65,22558,52808,13119,8518,3251,8252,313768,91106,50,51
0,85,22558,52808,13119,8518,3251,8252,313768,91106,50,51
0,17,22558,52808,13119,8518,3251,8252,313768,91106,50,51
0,66,22558,52808,13119,8518,3251,8252,313768,91106,50,51
0,64,22558,52808,13119,8518,3251,8252,313768,91106,50,51
0,44,22558,52808,13119,8518,3251,8252,313768,91106,50,51
0,59,22558,52808,13119,8518,3251,8252,313768,91106,50,51
0,181,22558,52808,13119,8518,3251,8252,313768,91106,50,51
0,-118,59247,104501,15352,49520,22401,43320,125402,155364,44,60
0,-195,59247,104501,15352,49520,22401,43320,125402,155364,44,60
0,4,59247,104501,15352,49520,22401,43320,125402,155364,44,60
0,88,59247,104501,15352,49520,22401,43320,125402,155364,44,60
0,150,59247,104501,15352,49520,22401,43320,125402,155364,44,60
0,170,59247,104501,15352,49520,22401,43320,125402,155364,44,60
0,71,59247,104501,15352,49520,22401,43320,125402,155364,44,60
0,43,59247,104501,15352,49520,22401,43320,125402,155364,44,60
0,39,59247,104501,15352,49520,22401,43320,125402,155364,44,60
0,274,59247,104501,15352,49520,22401,43320,125402,155364,44,60
0,-198,69685,70448,43468,220658,4086,16137,1495029,664083,40,63
0,-216,69685,70448,43468,220658,4086,16137,1495029,664083,40,63
0,-2048,69685,70448,43468,220658,4086,16137,1495029,664083,40,63
0,-285,69685,70448,43468,220658,4086,16137,1495029,664083,40,63
0,8,69685,70448,43468,220658,4086,16137,1495029,664083,40,63
0,48,69685,70448,43468,220658,4086,16137,1495029,664083,40,63
0,53,69685,70448,43468,220658,4086,16137,1495029,664083,40,63
0,53,69685,70448,43468,220658,4086,16137,1495029,664083,40,63
0,54,69685,70448,43468,220658,4086,16137,1495029,664083,40,63
51,2047,34707,36689,56906,52111,12932,25139,581456,113046,40,63
51,420,34707,36689,56906,52111,12932,25139,581456,113046,40,63
51,103,34707,36689,56906,52111,12932,25139,581456,113046,40,63
51,61,34707,36689,56906,52111,12932,25139,581456,113046,40,63
51,-110,34707,36689,56906,52111,12932,25139,581456,113046,40,63
51,112,34707,36689,56906,52111,12932,25139,581456,113046,40,63
51,-20,34707,36689,56906,52111,12932,25139,581456,113046,40,63
51,-9,34707,36689,56906,52111,12932,25139,581456,113046,40,63
51,58,34707,36689,56906,52111,12932,25139,581456,113046,40,63
51,16,34707,36689,56906,52111,12932,25139,581456,113046,40,63
51,-164,93483,149538,19692,57092,11598,14797,640653,353773,40,63
51,-13,93483,149538,19692,57092,11598,14797,640653,353773,40,63
