poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
0,105,316082,376819,158852,126531,42506,93827,1914269,483846,47,88
0,72,316082,376819,158852,126531,42506,93827,1914269,483846,47,88
0,168,316082,376819,158852,126531,42506,93827,1914269,483846,47,88
0,101,316082,376819,158852,126531,42506,93827,1914269,483846,47,88
0,146,43626,96388,25339,28247,9439,22865,2083171,563412,38,80
0,247,43626,96388,25339,28247,9439,22865,2083171,563412,38,80
0,-34,43626,96388,25339,28247,9439,22865,2083171,563412,38,80
0,551,43626,96388,25339,28247,9439,22865,2083171,563412,38,80
0,-426,43626,96388,25339,28247,9439,22865,2083171,563412,38,80
0,-337,43626,96388,25339,28247,9439,22865,2083171,563412,38,80
0,50,43626,96388,25339,28247,9439,22865,2083171,563412,38,80
0,418,43626,96388,25339,28247,9439,22865,2083171,563412,38,80
0,122,43626,96388,25339,28247,9439,22865,2083171,563412,38,80
0,27,43626,96388,25339,28247,9439,22865,2083171,563412,38,80
0,81,53684,13797,25980,8707,4178,4074,1565012,93557,48,77
0,132,53684,13797,25980,8707,4178,4074,1565012,93557,48,77
0,125,53684,13797,25980,8707,4178,4074,1565012,93557,48,77
0,85,53684,13797,25980,8707,4178,4074,1565012,93557,48,77
0,166,53684,13797,25980,8707,4178,4074,1565012,93557,48,77
0,-10,53684,13797,25980,8707,4178,4074,1565012,93557,48,77
0,72,53684,13797,25980,8707,4178,4074,1565012,93557,48,77
0,58,53684,13797,25980,8707,4178,4074,1565012,93557,48,77
0,151,53684,13797,25980,8707,4178,4074,1565012,93557,48,77
0,19,53684,13797,25980,8707,4178,4074,1565012,93557,48,77
0,35,22369,18671,31468,23579,2152,23067,106224,94228,61,56
0,112,22369,18671,31468,23579,2152,23067,106224,94228,61,56
0,90,22369,18671,31468,23579,2152,23067,106224,94228,61,56
0,112,22369,18671,31468,23579,2152,23067,106224,94228,61,56
0,630,22369,18671,31468,23579,2152,23067,106224,94228,61,56
0,-332,22369,18671,31468,23579,2152,23067,106224,94228,61,56
0,-103,22369,18671,31468,23579,2152,23067,106224,94228,61,56
0,-67,22369,18671,31468,23579,2152,23067,106224,94228,61,56
0,-67,22369,18671,31468,23579,2152,23067,106224,94228,61,56
0,90,4839,9572,5119,13257,925,3298,793730,57821,53,21
0,147,4839,9572,5119,13257,925,3298,793730,57821,53,21
0,25,4839,9572,5119,13257,925,3298,793730,57821,53,21
0,265,4839,9572,5119,13257,925,3298,793730,57821,53,21
0,-289,4839,9572,5119,13257,925,3298,793730,57821,53,21
0,-75,4839,9572,5119,13257,925,3298,793730,57821,53,21
0,-317,4839,9572,5119,13257,925,3298,793730,57821,53,21
0,352,4839,9572,5119,13257,925,3298,793730,57821,53,21
0,230,4839,9572,5119,13257,925,3298,793730,57821,53,21
0,229,4839,9572,5119,13257,925,3298,793730,57821,53,21
0,37,103331,21887,25514,33407,10926,23707,904586,579880,53,20
0,219,103331,21887,25514,33407,10926,23707,904586,579880,53,20
0,-92,103331,21887,25514,33407,10926,23707,904586,579880,53,20
0,249,103331,21887,25514,33407,10926,23707,904586,579880,53,20
0,922,103331,21887,25514,33407,10926,23707,904586,579880,53,20
0,-2048,103331,21887,25514,33407,10926,23707,904586,579880,53,20
0,-505,103331,21887,25514,33407,10926,23707,904586,579880,53,20
0,-17,103331,21887,25514,33407,10926,23707,904586,579880,53,20
0,44,103331,21887,25514,33407,10926,23707,904586,579880,53,20
25,53,610595,112346,689705,427056,132320,912987,2454363,417690,53,20
25,54,610595,112346,689705,427056,132320,912987,2454363,417690,53,20
25,54,610595,112346,689705,427056,132320,912987,2454363,417690,53,20
25,2047,610595,112346,689705,427056,132320,912987,2454363,417690,53,20
25,387,610595,112346,689705,427056,132320,912987,2454363,417690,53,20
25,104,610595,112346,689705,427056,132320,912987,2454363,417690,53,20
25,59,610595,112346,689705,427056,132320,912987,2454363,417690,53,20
25,56,610595,112346,689705,427056,132320,912987,2454363,417690,53,20
25,6,610595,112346,689705,427056,132320,912987,2454363,417690,53,20
25,-193,610595,112346,689705,427056,132320,912987,2454363,417690,53,20
25,609,27479,21426,12445,21792,1576,3326,403490,59901,53,20
25,481,27479,21426,12445,21792,1576,3326,403490,59901,53,20
25,451,27479,21426,12445,21792,1576,3326,403490,59901,53,20
25,91,27479,21426,12445,21792,1576,3326,403490,59901,53,20
25,16,27479,21426,12445,21792,1576,3326,403490,59901,53,20
25,99,27479,21426,12445,21792,1576,3326,403490,59901,53,20
