poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
,,,,,,,,,,,
0,-50,35554,52008,65649,59785,5291,21037,1291028,77247,40,40
,,,,,,,,,,,
0,160,35554,52008,65649,59785,5291,21037,1291028,77247,40,40
,,,,,,,,,,,
0,41,26042,26753,25158,28164,9373,15251,2629978,107639,56,50
,,,,,,,,,,,
0,-13,26042,26753,25158,28164,9373,15251,2629978,107639,56,50
,,,,,,,,,,,
0,-77,26042,26753,25158,28164,9373,15251,2629978,107639,56,50
,,,,,,,,,,,
0,135,26042,26753,25158,28164,9373,15251,2629978,107639,56,50
,,,,,,,,,,,
0,-188,26042,26753,25158,28164,9373,15251,2629978,107639,56,50
,,,,,,,,,,,
0,219,26042,26753,25158,28164,9373,15251,2629978,107639,56,50
,,,,,,,,,,,
0,-60,26042,26753,25158,28164,9373,15251,2629978,107639,56,50
,,,,,,,,,,,
0,-22,26042,26753,25158,28164,9373,15251,2629978,107639,56,50
,,,,,,,,,,,
0,80,26042,26753,25158,28164,9373,15251,2629978,107639,56,50
,,,,,,,,,,,
0,124,26042,26753,25158,28164,9373,15251,2629978,107639,56,50
,,,,,,,,,,,
0,70,2649,3306,7936,4516,215,4701,65286,26227,77,48
,,,,,,,,,,,
0,202,2649,3306,7936,4516,215,4701,65286,26227,77,48
,,,,,,,,,,,
0,118,2649,3306,7936,4516,215,4701,65286,26227,77,48
,,,,,,,,,,,
0,-131,2649,3306,7936,4516,215,4701,65286,26227,77,48
,,,,,,,,,,,
0,-183,2649,3306,7936,4516,215,4701,65286,26227,77,48
,,,,,,,,,,,
0,34,2649,3306,7936,4516,215,4701,65286,26227,77,48
,,,,,,,,,,,
0,259,2649,3306,7936,4516,215,4701,65286,26227,77,48
,,,,,,,,,,,
0,-294,2649,3306,7936,4516,215,4701,65286,26227,77,48
,,,,,,,,,,,
0,208,2649,3306,7936,4516,215,4701,65286,26227,77,48
,,,,,,,,,,,
0,338,2649,3306,7936,4516,215,4701,65286,26227,77,48
,,,,,,,,,,,
0,-136,27037,21096,33644,17726,6213,27407,617754,102159,96,67
,,,,,,,,,,,
0,-58,27037,21096,33644,17726,6213,27407,617754,102159,96,67
,,,,,,,,,,,
0,304,27037,21096,33644,17726,6213,27407,617754,102159,96,67
,,,,,,,,,,,
0,-593,27037,21096,33644,17726,6213,27407,617754,102159,96,67
,,,,,,,,,,,
0,772,27037,21096,33644,17726,6213,27407,617754,102159,96,67
,,,,,,,,,,,
0,-268,27037,21096,33644,17726,6213,27407,617754,102159,96,67
,,,,,,,,,,,
0,387,27037,21096,33644,17726,6213,27407,617754,102159,96,67
,,,,,,,,,,,
0,18,27037,21096,33644,17726,6213,27407,617754,102159,96,67
,,,,,,,,,,,
0,314,27037,21096,33644,17726,6213,27407,617754,102159,96,67
,,,,,,,,,,,
0,-154,11039,3784,16339,28868,3546,10010,953647,38397,93,57
,,,,,,,,,,,
0,-245,11039,3784,16339,28868,3546,10010,953647,38397,93,57
,,,,,,,,,,,
0,-136,11039,3784,16339,28868,3546,10010,953647,38397,93,57
,,,,,,,,,,,
0,-1441,11039,3784,16339,28868,3546,10010,953647,38397,93,57
,,,,,,,,,,,
0,-168,11039,3784,16339,28868,3546,10010,953647,38397,93,57
,,,,,,,,,,,
0,22,11039,3784,16339,28868,3546,10010,953647,38397,93,57
,,,,,,,,,,,
0,50,11039,3784,16339,28868,3546,10010,953647,38397,93,57
,,,,,,,,,,,
0,53,11039,3784,16339,28868,3546,10010,953647,38397,93,57
,,,,,,,,,,,
0,1274,11039,3784,16339,28868,3546,10010,953647,38397,93,57
,,,,,,,,,,,
0,216,11039,3784,16339,28868,3546,10010,953647,38397,93,57
,,,,,,,,,,,
51,74,6450,18621,13666,23542,3475,5767,122718,49109,93,57
,,,,,,,,,,,
51,58,6450,18621,13666,23542,3475,5767,122718,49109,93,57
,,,,,,,,,,,
51,43,6450,18621,13666,23542,3475,5767,122718,49109,93,57
,,,,,,,,,,,
51,-81,6450,18621,13666,23542,3475,5767,122718,49109,93,57
,,,,,,,,,,,
51,24,6450,18621,13666,23542,3475,5767,122718,49109,93,57
,,,,,,,,,,,
51,-141,6450,18621,13666,23542,3475,5767,122718,49109,93,57
,,,,,,,,,,,
51,-73,6450,18621,13666,23542,3475,5767,122718,49109,93,57
,,,,,,,,,,,
51,52,6450,18621,13666,23542,3475,5767,122718,49109,93,57
,,,,,,,,,,,
51,151,6450,18621,13666,23542,3475,5767,122718,49109,93,57
,,,,,,,,,,,
25,-462,40577,39573,17162,12984,2004,3264,1537163,107065,93,57
,,,,,,,,,,,
25,189,40577,39573,17162,12984,2004,3264,1537163,107065,93,57
,,,,,,,,,,,
25,-217,40577,39573,17162,12984,2004,3264,1537163,107065,93,57
,,,,,,,,,,,
25,105,40577,39573,17162,12984,2004,3264,1537163,107065,93,57
,,,,,,,,,,,
25,20,40577,39573,17162,12984,2004,3264,1537163,107065,93,57
,,,,,,,,,,,
25,-2,40577,39573,17162,12984,2004,3264,1537163,107065,93,57
,,,,,,,,,,,
25,6,40577,39573,17162,12984,2004,3264,1537163,107065,93,57
,,,,,,,,,,,
25,25,40577,39573,17162,12984,2004,3264,1537163,107065,93,57
,,,,,,,,,,,
25,215,40577,39573,17162,12984,2004,3264,1537163,107065,93,57
,,,,,,,,,,,
25,135,40577,39573,17162,12984,2004,3264,1537163,107065,93,57
