poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
0,-124,21795,20028,19188,11370,9071,15796,1445119,557429,37,3
0,304,21795,20028,19188,11370,9071,15796,1445119,557429,37,3
0,-514,21795,20028,19188,11370,9071,15796,1445119,557429,37,3
0,-363,21795,20028,19188,11370,9071,15796,1445119,557429,37,3
0,1352,21795,20028,19188,11370,9071,15796,1445119,557429,37,3
0,-2048,21795,20028,19188,11370,9071,15796,1445119,557429,37,3
0,1600,21795,20028,19188,11370,9071,15796,1445119,557429,37,3
0,-1025,21795,20028,19188,11370,9071,15796,1445119,557429,37,3
51,-2048,760065,231642,424281,592620,15287,190745,1089811,744327,37,3
51,2047,760065,231642,424281,592620,15287,190745,1089811,744327,37,3
51,364,760065,231642,424281,592620,15287,190745,1089811,744327,37,3
51,102,760065,231642,424281,592620,15287,190745,1089811,744327,37,3
51,-21,760065,231642,424281,592620,15287,190745,1089811,744327,37,3
51,-1381,760065,231642,424281,592620,15287,190745,1089811,744327,37,3
51,373,760065,231642,424281,592620,15287,190745,1089811,744327,37,3
51,98,760065,231642,424281,592620,15287,190745,1089811,744327,37,3
51,59,760065,231642,424281,592620,15287,190745,1089811,744327,37,3
51,-2048,760065,231642,424281,592620,15287,190745,1089811,744327,37,3
51,710,18377,8723,71237,27350,6777,17924,1136872,15455,37,3
51,-2048,18377,8723,71237,27350,6777,17924,1136872,15455,37,3
51,-517,18377,8723,71237,27350,6777,17924,1136872,15455,37,3
51,963,18377,8723,71237,27350,6777,17924,1136872,15455,37,3
51,173,18377,8723,71237,27350,6777,17924,1136872,15455,37,3
51,-1575,18377,8723,71237,27350,6777,17924,1136872,15455,37,3
51,-600,18377,8723,71237,27350,6777,17924,1136872,15455,37,3
51,-23,18377,8723,71237,27350,6777,17924,1136872,15455,37,3
51,42,18377,8723,71237,27350,6777,17924,1136872,15455,37,3
51,-1082,33138,10073,35064,62805,7580,25889,287331,103915,37,3
51,-461,33138,10073,35064,62805,7580,25889,287331,103915,37,3
51,-22,33138,10073,35064,62805,7580,25889,287331,103915,37,3
51,42,33138,10073,35064,62805,7580,25889,287331,103915,37,3
51,52,33138,10073,35064,62805,7580,25889,287331,103915,37,3
51,54,33138,10073,35064,62805,7580,25889,287331,103915,37,3
51,2047,33138,10073,35064,62805,7580,25889,287331,103915,37,3
51,101,33138,10073,35064,62805,7580,25889,287331,103915,37,3
51,963,33138,10073,35064,62805,7580,25889,287331,103915,37,3
51,-2048,33138,10073,35064,62805,7580,25889,287331,103915,37,3
80,2047,44701,4976,42476,42468,46226,56969,785017,199226,37,3
80,1681,44701,4976,42476,42468,46226,56969,785017,199226,37,3
80,195,44701,4976,42476,42468,46226,56969,785017,199226,37,3
80,-954,44701,4976,42476,42468,46226,56969,785017,199226,37,3
80,-78,44701,4976,42476,42468,46226,56969,785017,199226,37,3
80,35,44701,4976,42476,42468,46226,56969,785017,199226,37,3
80,52,44701,4976,42476,42468,46226,56969,785017,199226,37,3
80,53,44701,4976,42476,42468,46226,56969,785017,199226,37,3
80,53,44701,4976,42476,42468,46226,56969,785017,199226,37,3
80,53,60098,14468,35614,62553,14361,12427,259568,27422,37,3
80,-804,60098,14468,35614,62553,14361,12427,259568,27422,37,3
80,-1896,60098,14468,35614,62553,14361,12427,259568,27422,37,3
80,1733,60098,14468,35614,62553,14361,12427,259568,27422,37,3
80,295,60098,14468,35614,62553,14361,12427,259568,27422,37,3
80,1673,60098,14468,35614,62553,14361,12427,259568,27422,37,3
80,1512,60098,14468,35614,62553,14361,12427,259568,27422,37,3
80,460,60098,14468,35614,62553,14361,12427,259568,27422,37,3
80,-483,60098,14468,35614,62553,14361,12427,259568,27422,37,3
80,-634,60098,14468,35614,62553,14361,12427,259568,27422,37,3
80,-49,35467,65297,93410,42456,26837,58536,191078,120113,37,3
80,794,35467,65297,93410,42456,26837,58536,191078,120113,37,3
80,-2048,35467,65297,93410,42456,26837,58536,191078,120113,37,3
80,-516,35467,65297,93410,42456,26837,58536,191078,120113,37,3
80,1723,35467,65297,93410,42456,26837,58536,191078,120113,37,3
80,-1912,35467,65297,93410,42456,26837,58536,191078,120113,37,3
80,-199,35467,65297,93410,42456,26837,58536,191078,120113,37,3
80,1446,35467,65297,93410,42456,26837,58536,191078,120113,37,3
80,248,35467,65297,93410,42456,26837,58536,191078,120113,37,3
80,80,35467,65297,93410,42456,26837,58536,191078,120113,37,3
51,56,18211,11220,28161,49431,22108,47079,534790,56485,0,0
51,304,18211,11220,28161,49431,22108,47079,534790,56485,0,0
51,-2048,18211,11220,28161,49431,22108,47079,534790,56485,0,0
51,2047,18211,11220,28161,49431,22108,47079,534790,56485,0,0
51,1929,18211,11220,28161,49431,22108,47079,534790,56485,0,0
51,1090,18211,11220,28161,49431,22108,47079,534790,56485,0,0
51,2001,18211,11220,28161,49431,22108,47079,534790,56485,0,0
51,-1399,18211,11220,28161,49431,22108,47079,534790,56485,0,0
51,-636,18211,11220,28161,49431,22108,47079,534790,56485,0,0
51,2047,126661,161706,238316,215564,47392,105231,790119,243437,0,0
51,416,126661,161706,238316,215564,47392,105231,790119,243437,0,0
51,-1016,126661,161706,238316,215564,47392,105231,790119,243437,0,0
