poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
0,-41,18047,94522,9630,11745,2511,4591,882430,114134,0,0
0,-69,18047,94522,9630,11745,2511,4591,882430,114134,0,0
0,-1,18047,94522,9630,11745,2511,4591,882430,114134,0,0
0,57,18047,94522,9630,11745,2511,4591,882430,114134,0,0
0,50,18047,94522,9630,11745,2511,4591,882430,114134,0,0
0,308,18047,94522,9630,11745,2511,4591,882430,114134,0,0
0,449,18047,94522,9630,11745,2511,4591,882430,114134,0,0
0,105,18047,94522,9630,11745,2511,4591,882430,114134,0,0
0,-2048,18047,94522,9630,11745,2511,4591,882430,114134,0,0
0,-339,18047,94522,9630,11745,2511,4591,882430,114134,0,0
0,0,18047,94522,9630,11745,2511,4591,882430,114134,0,0
0,48,18047,94522,9630,11745,2511,4591,882430,114134,0,0
0,53,18047,94522,9630,11745,2511,4591,882430,114134,0,0
0,54,18047,94522,9630,11745,2511,4591,882430,114134,0,0
0,53,18047,94522,9630,11745,2511,4591,882430,114134,0,0
0,53,18047,94522,9630,11745,2511,4591,882430,114134,0,0
0,54,18047,94522,9630,11745,2511,4591,882430,114134,0,0
0,54,18047,94522,9630,11745,2511,4591,882430,114134,0,0
0,54,18047,94522,9630,11745,2511,4591,882430,114134,0,0
54,53,8245,12585,2682,5208,557,904,87424,35101,0,0
54,54,8245,12585,2682,5208,557,904,87424,35101,0,0
54,54,8245,12585,2682,5208,557,904,87424,35101,0,0
54,53,8245,12585,2682,5208,557,904,87424,35101,0,0
54,53,8245,12585,2682,5208,557,904,87424,35101,0,0
54,53,8245,12585,2682,5208,557,904,87424,35101,0,0
54,54,8245,12585,2682,5208,557,904,87424,35101,0,0
54,54,8245,12585,2682,5208,557,904,87424,35101,0,0
54,53,8245,12585,2682,5208,557,904,87424,35101,0,0
54,53,8245,12585,2682,5208,557,904,87424,35101,0,0
54,53,2,1,0,2,2,0,5,7,0,0
54,53,2,1,0,2,2,0,5,7,0,0
54,53,2,1,0,2,2,0,5,7,0,0
54,53,2,1,0,2,2,0,5,7,0,0
54,54,2,1,0,2,2,0,5,7,0,0
54,53,2,1,0,2,2,0,5,7,0,0
54,53,2,1,0,2,2,0,5,7,0,0
54,53,2,1,0,2,2,0,5,7,0,0
54,54,2,1,0,2,2,0,5,7,0,0
54,53,2,3,0,4,0,0,8,2,0,0
54,54,2,3,0,4,0,0,8,2,0,0
54,53,2,3,0,4,0,0,8,2,0,0
54,54,2,3,0,4,0,0,8,2,0,0
54,54,2,3,0,4,0,0,8,2,0,0
54,54,2,3,0,4,0,0,8,2,0,0
54,54,2,3,0,4,0,0,8,2,0,0
54,54,2,3,0,4,0,0,8,2,0,0
54,54,2,3,0,4,0,0,8,2,0,0
54,54,2,3,0,4,0,0,8,2,0,0
54,55,0,1,0,0,0,0,21,2,0,0
54,54,0,1,0,0,0,0,21,2,0,0
54,68,0,1,0,0,0,0,21,2,0,0
54,40,0,1,0,0,0,0,21,2,0,0
54,154,0,1,0,0,0,0,21,2,0,0
54,42,0,1,0,0,0,0,21,2,0,0
54,-5,0,1,0,0,0,0,21,2,0,0
54,122,0,1,0,0,0,0,21,2,0,0
54,377,0,1,0,0,0,0,21,2,0,0
200,234,46573,49641,3364,10322,2436,3594,6498,34951,0,0
200,487,46573,49641,3364,10322,2436,3594,6498,34951,0,0
200,-169,46573,49641,3364,10322,2436,3594,6498,34951,0,0
200,402,46573,49641,3364,10322,2436,3594,6498,34951,0,0
200,73,46573,49641,3364,10322,2436,3594,6498,34951,0,0
200,295,46573,49641,3364,10322,2436,3594,6498,34951,0,0
200,-22,46573,49641,3364,10322,2436,3594,6498,34951,0,0
200,423,46573,49641,3364,10322,2436,3594,6498,34951,0,0
200,276,46573,49641,3364,10322,2436,3594,6498,34951,0,0
200,-275,46573,49641,3364,10322,2436,3594,6498,34951,0,0
200,618,85521,309708,29027,177078,15392,10062,253410,523784,0,0
200,160,85521,309708,29027,177078,15392,10062,253410,523784,0,0
200,-10,85521,309708,29027,177078,15392,10062,253410,523784,0,0
200,-299,85521,309708,29027,177078,15392,10062,253410,523784,0,0
200,515,85521,309708,29027,177078,15392,10062,253410,523784,0,0
200,-313,85521,309708,29027,177078,15392,10062,253410,523784,0,0
200,576,85521,309708,29027,177078,15392,10062,253410,523784,0,0
200,-174,85521,309708,29027,177078,15392,10062,253410,523784,0,0
200,472,85521,309708,29027,177078,15392,10062,253410,523784,0,0
200,170,33425,42676,8502,28566,3451,1344,254185,60973,0,0
