poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
0,10,1979,13751,5274,11259,11384,9816,20940,18900,0,0
0,36,1979,13751,5274,11259,11384,9816,20940,18900,0,0
0,13,1979,13751,5274,11259,11384,9816,20940,18900,0,0
0,40,1979,13751,5274,11259,11384,9816,20940,18900,0,0
0,65,1979,13751,5274,11259,11384,9816,20940,18900,0,0
0,-43,1979,13751,5274,11259,11384,9816,20940,18900,0,0
0,76,1979,13751,5274,11259,11384,9816,20940,18900,0,0
0,-2,1979,13751,5274,11259,11384,9816,20940,18900,0,0
0,10,6537,10926,13819,13498,12006,9543,38400,71229,0,0
0,29,6537,10926,13819,13498,12006,9543,38400,71229,0,0
0,-41,6537,10926,13819,13498,12006,9543,38400,71229,0,0
0,106,6537,10926,13819,13498,12006,9543,38400,71229,0,0
0,81,6537,10926,13819,13498,12006,9543,38400,71229,0,0
0,90,6537,10926,13819,13498,12006,9543,38400,71229,0,0
0,120,6537,10926,13819,13498,12006,9543,38400,71229,0,0
0,90,6537,10926,13819,13498,12006,9543,38400,71229,0,0
0,-12,6537,10926,13819,13498,12006,9543,38400,71229,0,0
0,300,6537,10926,13819,13498,12006,9543,38400,71229,0,0
0,1196,36642,12060,9859,11548,5135,16693,218972,46433,30,44
0,251,36642,12060,9859,11548,5135,16693,218972,46433,30,44
0,-2048,36642,12060,9859,11548,5135,16693,218972,46433,30,44
0,-230,36642,12060,9859,11548,5135,16693,218972,46433,30,44
0,11,36642,12060,9859,11548,5135,16693,218972,46433,30,44
0,49,36642,12060,9859,11548,5135,16693,218972,46433,30,44
0,53,36642,12060,9859,11548,5135,16693,218972,46433,30,44
0,54,36642,12060,9859,11548,5135,16693,218972,46433,30,44
0,54,36642,12060,9859,11548,5135,16693,218972,46433,30,44
0,54,36642,12060,9859,11548,5135,16693,218972,46433,30,44
25,54,5333,8486,20047,20790,968,933,90955,7330,30,44
25,1884,5333,8486,20047,20790,968,933,90955,7330,30,44
25,-2048,5333,8486,20047,20790,968,933,90955,7330,30,44
25,-262,5333,8486,20047,20790,968,933,90955,7330,30,44
25,10,5333,8486,20047,20790,968,933,90955,7330,30,44
25,49,5333,8486,20047,20790,968,933,90955,7330,30,44
25,53,5333,8486,20047,20790,968,933,90955,7330,30,44
25,54,5333,8486,20047,20790,968,933,90955,7330,30,44
25,54,5333,8486,20047,20790,968,933,90955,7330,30,44
80,53,22908,14900,34992,19972,15910,29381,339162,78902,30,44
80,54,22908,14900,34992,19972,15910,29381,339162,78902,30,44
80,54,22908,14900,34992,19972,15910,29381,339162,78902,30,44
80,54,22908,14900,34992,19972,15910,29381,339162,78902,30,44
80,54,22908,14900,34992,19972,15910,29381,339162,78902,30,44
80,54,22908,14900,34992,19972,15910,29381,339162,78902,30,44
80,54,22908,14900,34992,19972,15910,29381,339162,78902,30,44
80,54,22908,14900,34992,19972,15910,29381,339162,78902,30,44
80,54,22908,14900,34992,19972,15910,29381,339162,78902,30,44
80,53,22908,14900,34992,19972,15910,29381,339162,78902,30,44
54,54,0,0,0,1,0,0,0,0,30,44
54,54,0,0,0,1,0,0,0,0,30,44
54,54,0,0,0,1,0,0,0,0,30,44
54,54,0,0,0,1,0,0,0,0,30,44
54,54,0,0,0,1,0,0,0,0,30,44
54,54,0,0,0,1,0,0,0,0,30,44
54,54,0,0,0,1,0,0,0,0,30,44
54,54,0,0,0,1,0,0,0,0,30,44
54,54,0,0,0,1,0,0,0,0,30,44
54,54,0,0,0,0,0,0,0,0,30,44
54,54,0,0,0,0,0,0,0,0,30,44
54,54,0,0,0,0,0,0,0,0,30,44
54,54,0,0,0,0,0,0,0,0,30,44
54,54,0,0,0,0,0,0,0,0,30,44
54,54,0,0,0,0,0,0,0,0,30,44
54,54,0,0,0,0,0,0,0,0,30,44
54,54,0,0,0,0,0,0,0,0,30,44
54,55,0,0,0,0,0,0,0,0,30,44
54,55,0,0,0,0,0,0,0,0,30,44
54,55,1,2,0,2,0,0,13,1,30,44
54,55,1,2,0,2,0,0,13,1,30,44
54,55,1,2,0,2,0,0,13,1,30,44
54,57,1,2,0,2,0,0,13,1,30,44
54,56,1,2,0,2,0,0,13,1,30,44
54,106,1,2,0,2,0,0,13,1,30,44
54,69,1,2,0,2,0,0,13,1,30,44
54,219,1,2,0,2,0,0,13,1,30,44
54,156,1,2,0,2,0,0,13,1,30,44
54,60,96,599,700,270,227,375,48702,2608,30,44
54,28,96,599,700,270,227,375,48702,2608,30,44
54,211,96,599,700,270,227,375,48702,2608,30,44
