poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
25,13,71414,40575,80933,163397,2992,8775,1488524,127613,64,100
25,87,71414,40575,80933,163397,2992,8775,1488524,127613,64,100
25,77,71414,40575,80933,163397,2992,8775,1488524,127613,64,100
25,120,71414,40575,80933,163397,2992,8775,1488524,127613,64,100
25,5,71414,40575,80933,163397,2992,8775,1488524,127613,64,100
25,247,71414,40575,80933,163397,2992,8775,1488524,127613,64,100
0,129,13546,23915,7968,11338,1579,1439,557340,70379,63,100
0,1,13546,23915,7968,11338,1579,1439,557340,70379,63,100
0,121,13546,23915,7968,11338,1579,1439,557340,70379,63,100
0,86,13546,23915,7968,11338,1579,1439,557340,70379,63,100
0,85,13546,23915,7968,11338,1579,1439,557340,70379,63,100
0,-177,13546,23915,7968,11338,1579,1439,557340,70379,63,100
0,64,13546,23915,7968,11338,1579,1439,557340,70379,63,100
0,28,13546,23915,7968,11338,1579,1439,557340,70379,63,100
0,35,13546,23915,7968,11338,1579,1439,557340,70379,63,100
0,160,13546,23915,7968,11338,1579,1439,557340,70379,63,100
0,10,13846,75765,4758,7198,2036,2370,774574,269906,23,87
0,66,13846,75765,4758,7198,2036,2370,774574,269906,23,87
0,114,13846,75765,4758,7198,2036,2370,774574,269906,23,87
0,-371,13846,75765,4758,7198,2036,2370,774574,269906,23,87
0,-333,13846,75765,4758,7198,2036,2370,774574,269906,23,87
0,966,13846,75765,4758,7198,2036,2370,774574,269906,23,87
0,684,13846,75765,4758,7198,2036,2370,774574,269906,23,87
0,89,13846,75765,4758,7198,2036,2370,774574,269906,23,87
0,23,13846,75765,4758,7198,2036,2370,774574,269906,23,87
0,7,13846,75765,4758,7198,2036,2370,774574,269906,23,87
0,316,30458,52806,8520,15906,3458,13359,871512,276585,1,66
0,107,30458,52806,8520,15906,3458,13359,871512,276585,1,66
0,24,30458,52806,8520,15906,3458,13359,871512,276585,1,66
0,105,30458,52806,8520,15906,3458,13359,871512,276585,1,66
0,58,30458,52806,8520,15906,3458,13359,871512,276585,1,66
0,-762,30458,52806,8520,15906,3458,13359,871512,276585,1,66
0,-54,30458,52806,8520,15906,3458,13359,871512,276585,1,66
0,37,30458,52806,8520,15906,3458,13359,871512,276585,1,66
0,52,30458,52806,8520,15906,3458,13359,871512,276585,1,66
25,53,29625,32885,8254,14558,2630,2756,534996,13243,1,66
25,54,29625,32885,8254,14558,2630,2756,534996,13243,1,66
25,53,29625,32885,8254,14558,2630,2756,534996,13243,1,66
25,54,29625,32885,8254,14558,2630,2756,534996,13243,1,66
25,54,29625,32885,8254,14558,2630,2756,534996,13243,1,66
25,54,29625,32885,8254,14558,2630,2756,534996,13243,1,66
25,53,29625,32885,8254,14558,2630,2756,534996,13243,1,66
25,53,29625,32885,8254,14558,2630,2756,534996,13243,1,66
25,53,29625,32885,8254,14558,2630,2756,534996,13243,1,66
25,54,29625,32885,8254,14558,2630,2756,534996,13243,1,66
54,54,1,0,2,1,1,1,1,3,1,66
54,54,1,0,2,1,1,1,1,3,1,66
54,54,1,0,2,1,1,1,1,3,1,66
54,54,1,0,2,1,1,1,1,3,1,66
54,2047,1,0,2,1,1,1,1,3,1,66
54,385,1,0,2,1,1,1,1,3,1,66
54,-1605,1,0,2,1,1,1,1,3,1,66
54,-808,1,0,2,1,1,1,1,3,1,66
54,714,1,0,2,1,1,1,1,3,1,66
51,147,184997,69795,72764,169115,46301,60839,2446958,635953,1,66
51,67,184997,69795,72764,169115,46301,60839,2446958,635953,1,66
51,54,184997,69795,72764,169115,46301,60839,2446958,635953,1,66
51,52,184997,69795,72764,169115,46301,60839,2446958,635953,1,66
