poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
0,173,21437,22099,14284,16476,2778,15032,538517,25365,64,83
0,17,21437,22099,14284,16476,2778,15032,538517,25365,64,83
0,-284,21437,22099,14284,16476,2778,15032,538517,25365,64,83
0,-81,21437,22099,14284,16476,2778,15032,538517,25365,64,83
0,205,21437,22099,14284,16476,2778,15032,538517,25365,64,83
0,407,21437,22099,14284,16476,2778,15032,538517,25365,64,83
0,-455,21437,22099,14284,16476,2778,15032,538517,25365,64,83
0,176,21437,22099,14284,16476,2778,15032,538517,25365,64,83
0,18,21437,22099,14284,16476,2778,15032,538517,25365,64,83
0,119,36575,30441,98248,13732,8222,28598,1293862,417192,80,66
0,74,36575,30441,98248,13732,8222,28598,1293862,417192,80,66
0,74,36575,30441,98248,13732,8222,28598,1293862,417192,80,66
0,8,36575,30441,98248,13732,8222,28598,1293862,417192,80,66
0,104,36575,30441,98248,13732,8222,28598,1293862,417192,80,66
0,85,36575,30441,98248,13732,8222,28598,1293862,417192,80,66
0,-17,36575,30441,98248,13732,8222,28598,1293862,417192,80,66
0,72,36575,30441,98248,13732,8222,28598,1293862,417192,80,66
0,82,36575,30441,98248,13732,8222,28598,1293862,417192,80,66
0,20,36575,30441,98248,13732,8222,28598,1293862,417192,80,66
0,105,5533,6107,2741,3440,418,2431,103684,28059,70,63
0,181,5533,6107,2741,3440,418,2431,103684,28059,70,63
0,17,5533,6107,2741,3440,418,2431,103684,28059,70,63
0,151,5533,6107,2741,3440,418,2431,103684,28059,70,63
0,151,5533,6107,2741,3440,418,2431,103684,28059,70,63
0,104,5533,6107,2741,3440,418,2431,103684,28059,70,63
0,483,5533,6107,2741,3440,418,2431,103684,28059,70,63
0,165,5533,6107,2741,3440,418,2431,103684,28059,70,63
0,68,5533,6107,2741,3440,418,2431,103684,28059,70,63
0,55,11585,26156,4047,8199,1738,5479,412217,36486,37,63
0,2047,11585,26156,4047,8199,1738,5479,412217,36486,37,63
0,-1098,11585,26156,4047,8199,1738,5479,412217,36486,37,63
0,2047,11585,26156,4047,8199,1738,5479,412217,36486,37,63
0,-461,11585,26156,4047,8199,1738,5479,412217,36486,37,63
0,-35,11585,26156,4047,8199,1738,5479,412217,36486,37,63
0,42,11585,26156,4047,8199,1738,5479,412217,36486,37,63
0,52,11585,26156,4047,8199,1738,5479,412217,36486,37,63
0,54,11585,26156,4047,8199,1738,5479,412217,36486,37,63
0,54,11585,26156,4047,8199,1738,5479,412217,36486,37,63
80,54,88861,113794,34622,20987,47913,53725,258961,206580,37,63
80,54,88861,113794,34622,20987,47913,53725,258961,206580,37,63
80,54,88861,113794,34622,20987,47913,53725,258961,206580,37,63
80,54,88861,113794,34622,20987,47913,53725,258961,206580,37,63
80,53,88861,113794,34622,20987,47913,53725,258961,206580,37,63
80,54,88861,113794,34622,20987,47913,53725,258961,206580,37,63
80,53,88861,113794,34622,20987,47913,53725,258961,206580,37,63
80,53,88861,113794,34622,20987,47913,53725,258961,206580,37,63
80,54,88861,113794,34622,20987,47913,53725,258961,206580,37,63
54,54,0,0,1,0,0,1,2,1,37,63
54,53,0,0,1,0,0,1,2,1,37,63
54,54,0,0,1,0,0,1,2,1,37,63
54,54,0,0,1,0,0,1,2,1,37,63
54,54,0,0,1,0,0,1,2,1,37,63
54,54,0,0,1,0,0,1,2,1,37,63
54,54,0,0,1,0,0,1,2,1,37,63
54,53,0,0,1,0,0,1,2,1,37,63
54,53,0,0,1,0,0,1,2,1,37,63
54,54,0,0,1,0,0,1,2,1,37,63
54,54,0,0,0,0,0,1,3,1,37,63
54,54,0,0,0,0,0,1,3,1,37,63
54,54,0,0,0,0,0,1,3,1,37,63
54,54,0,0,0,0,0,1,3,1,37,63
54,2047,0,0,0,0,0,1,3,1,37,63
54,376,0,0,0,0,0,1,3,1,37,63
54,99,0,0,0,0,0,1,3,1,37,63
54,58,0,0,0,0,0,1,3,1,37,63
54,53,0,0,0,0,0,1,3,1,37,63
54,53,0,0,0,0,0,1,3,1,37,63
25,53,313394,355828,169426,296405,30965,29133,2236777,830688,37,63
