poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
,,,,,,,,,,,
25,64,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,
25,-179,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,
25,-581,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,
25,-353,15484,15834,7582,6072,1454,1919,1108213,27750,0,0
,,,,,,,,,,,
25,729,15484,15834,7582,6072,1454,1919,1108213,27750,0,0
,,,,,,,,,,,
25,931,15484,15834,7582,6072,1454,1919,1108213,27750,0,0
,,,,,,,,,,,
25,-190,15484,15834,7582,6072,1454,1919,1108213,27750,0,0
,,,,,,,,,,,
25,499,15484,15834,7582,6072,1454,1919,1108213,27750,0,0
,,,,,,,,,,,
25,295,15484,15834,7582,6072,1454,1919,1108213,27750,0,0
,,,,,,,,,,,
25,97,15484,15834,7582,6072,1454,1919,1108213,27750,0,0
,,,,,,,,,,,
25,297,15484,15834,7582,6072,1454,1919,1108213,27750,0,0
,,,,,,,,,,,
25,112,15484,15834,7582,6072,1454,1919,1108213,27750,0,0
,,,,,,,,,,,
25,-109,15484,15834,7582,6072,1454,1919,1108213,27750,0,0
,,,,,,,,,,,
0,-472,36545,106828,34543,68662,7664,8580,1072687,274925,0,0
,,,,,,,,,,,
0,-214,36545,106828,34543,68662,7664,8580,1072687,274925,0,0
,,,,,,,,,,,
0,-905,36545,106828,34543,68662,7664,8580,1072687,274925,0,0
,,,,,,,,,,,
0,-163,36545,106828,34543,68662,7664,8580,1072687,274925,0,0
,,,,,,,,,,,
0,-122,36545,106828,34543,68662,7664,8580,1072687,274925,0,0
,,,,,,,,,,,
0,701,36545,106828,34543,68662,7664,8580,1072687,274925,0,0
,,,,,,,,,,,
0,797,36545,106828,34543,68662,7664,8580,1072687,274925,0,0
,,,,,,,,,,,
0,434,36545,106828,34543,68662,7664,8580,1072687,274925,0,0
,,,,,,,,,,,
0,137,36545,106828,34543,68662,7664,8580,1072687,274925,0,0
,,,,,,,,,,,
0,65,36545,106828,34543,68662,7664,8580,1072687,274925,0,0
,,,,,,,,,,,
0,55,13455,13438,20786,7440,1386,3221,2011725,28039,0,0
,,,,,,,,,,,
0,320,13455,13438,20786,7440,1386,3221,2011725,28039,0,0
,,,,,,,,,,,
0,-1377,13455,13438,20786,7440,1386,3221,2011725,28039,0,0
,,,,,,,,,,,
0,-136,13455,13438,20786,7440,1386,3221,2011725,28039,0,0
,,,,,,,,,,,
0,1078,13455,13438,20786,7440,1386,3221,2011725,28039,0,0
,,,,,,,,,,,
0,-963,13455,13438,20786,7440,1386,3221,2011725,28039,0,0
,,,,,,,,,,,
0,-81,13455,13438,20786,7440,1386,3221,2011725,28039,0,0
,,,,,,,,,,,
0,35,13455,13438,20786,7440,1386,3221,2011725,28039,0,0
,,,,,,,,,,,
