poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
,,,,,,,,,,,
0,60,9649,4817,12739,3961,5710,8285,26447,22698,88,54
,,,,,,,,,,,
0,-85,9649,4817,12739,3961,5710,8285,26447,22698,88,54
,,,,,,,,,,,
0,-84,9649,4817,12739,3961,5710,8285,26447,22698,88,54
,,,,,,,,,,,
0,91,9649,4817,12739,3961,5710,8285,26447,22698,88,54
,,,,,,,,,,,
0,82,9649,4817,12739,3961,5710,8285,26447,22698,88,54
,,,,,,,,,,,
0,45,9649,4817,12739,3961,5710,8285,26447,22698,88,54
,,,,,,,,,,,
0,91,9649,4817,12739,3961,5710,8285,26447,22698,88,54
,,,,,,,,,,,
0,333,9649,4817,12739,3961,5710,8285,26447,22698,88,54
,,,,,,,,,,,
0,-229,9649,4817,12739,3961,5710,8285,26447,22698,88,54
,,,,,,,,,,,
0,98,49630,87798,38074,4337,6963,24513,741685,110203,78,69
,,,,,,,,,,,
0,42,49630,87798,38074,4337,6963,24513,741685,110203,78,69
,,,,,,,,,,,
0,224,49630,87798,38074,4337,6963,24513,741685,110203,78,69
,,,,,,,,,,,
0,485,49630,87798,38074,4337,6963,24513,741685,110203,78,69
,,,,,,,,,,,
0,-196,49630,87798,38074,4337,6963,24513,741685,110203,78,69
,,,,,,,,,,,
0,106,49630,87798,38074,4337,6963,24513,741685,110203,78,69
,,,,,,,,,,,
0,29,49630,87798,38074,4337,6963,24513,741685,110203,78,69
,,,,,,,,,,,
0,57,49630,87798,38074,4337,6963,24513,741685,110203,78,69
,,,,,,,,,,,
0,45,49630,87798,38074,4337,6963,24513,741685,110203,78,69
,,,,,,,,,,,
0,11,49630,87798,38074,4337,6963,24513,741685,110203,78,69
,,,,,,,,,,,
0,72,49630,87798,38074,4337,6963,24513,741685,110203,78,69
,,,,,,,,,,,
0,102,49630,87798,38074,4337,6963,24513,741685,110203,78,69
,,,,,,,,,,,
0,37,49630,87798,38074,4337,6963,24513,741685,110203,78,69
,,,,,,,,,,,
0,40,49630,87798,38074,4337,6963,24513,741685,110203,78,69
,,,,,,,,,,,
0,471,49630,87798,38074,4337,6963,24513,741685,110203,78,69
,,,,,,,,,,,
0,451,49630,87798,38074,4337,6963,24513,741685,110203,78,69
,,,,,,,,,,,
0,-2026,49630,87798,38074,4337,6963,24513,741685,110203,78,69
,,,,,,,,,,,
0,-1717,49630,87798,38074,4337,6963,24513,741685,110203,78,69
,,,,,,,,,,,
0,-200,49630,87798,38074,4337,6963,24513,741685,110203,78,69
,,,,,,,,,,,
51,16,1027108,1260920,71630,288886,13519,39619,727086,961451,66,75
,,,,,,,,,,,
51,49,1027108,1260920,71630,288886,13519,39619,727086,961451,66,75
,,,,,,,,,,,
51,53,1027108,1260920,71630,288886,13519,39619,727086,961451,66,75
,,,,,,,,,,,
51,54,1027108,1260920,71630,288886,13519,39619,727086,961451,66,75
,,,,,,,,,,,
51,54,1027108,1260920,71630,288886,13519,39619,727086,961451,66,75
,,,,,,,,,,,
51,1977,1027108,1260920,71630,288886,13519,39619,727086,961451,66,75
,,,,,,,,,,,
51,311,1027108,1260920,71630,288886,13519,39619,727086,961451,66,75
,,,,,,,,,,,
51,87,1027108,1260920,71630,288886,13519,39619,727086,961451,66,75
,,,,,,,,,,,
51,57,1027108,1260920,71630,288886,13519,39619,727086,961451,66,75
,,,,,,,,,,,
51,54,1027108,1260920,71630,288886,13519,39619,727086,961451,66,75
,,,,,,,,,,,
25,54,26579,18895,13132,21334,1729,3249,333149,96066,66,75
,,,,,,,,,,,
