poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
0,-83,29750,16200,41514,19017,7288,9732,1827055,140801,21,44
0,-139,29750,16200,41514,19017,7288,9732,1827055,140801,21,44
0,-22,29750,16200,41514,19017,7288,9732,1827055,140801,21,44
0,439,29750,16200,41514,19017,7288,9732,1827055,140801,21,44
0,-41,29750,16200,41514,19017,7288,9732,1827055,140801,21,44
0,-632,29750,16200,41514,19017,7288,9732,1827055,140801,21,44
0,-931,29750,16200,41514,19017,7288,9732,1827055,140801,21,44
0,-1650,29750,16200,41514,19017,7288,9732,1827055,140801,21,44
0,-106,29750,16200,41514,19017,7288,9732,1827055,140801,21,44
0,2047,29750,16200,41514,19017,7288,9732,1827055,140801,21,44
0,524,29750,16200,41514,19017,7288,9732,1827055,140801,21,44
0,1,29750,16200,41514,19017,7288,9732,1827055,140801,21,44
0,7,29750,16200,41514,19017,7288,9732,1827055,140801,21,44
51,-716,16939,78056,48547,47264,6410,7182,1676665,83585,24,87
51,-1876,16939,78056,48547,47264,6410,7182,1676665,83585,24,87
51,1641,16939,78056,48547,47264,6410,7182,1676665,83585,24,87
51,267,16939,78056,48547,47264,6410,7182,1676665,83585,24,87
51,76,16939,78056,48547,47264,6410,7182,1676665,83585,24,87
51,-72,16939,78056,48547,47264,6410,7182,1676665,83585,24,87
51,-286,16939,78056,48547,47264,6410,7182,1676665,83585,24,87
51,171,16939,78056,48547,47264,6410,7182,1676665,83585,24,87
51,-1435,16939,78056,48547,47264,6410,7182,1676665,83585,24,87
51,695,16939,78056,48547,47264,6410,7182,1676665,83585,24,87
51,693,18711,27366,55358,125524,3879,6872,788070,96463,24,87
51,-921,18711,27366,55358,125524,3879,6872,788070,96463,24,87
51,-156,18711,27366,55358,125524,3879,6872,788070,96463,24,87
51,-24,18711,27366,55358,125524,3879,6872,788070,96463,24,87
51,43,18711,27366,55358,125524,3879,6872,788070,96463,24,87
51,2047,18711,27366,55358,125524,3879,6872,788070,96463,24,87
51,803,18711,27366,55358,125524,3879,6872,788070,96463,24,87
51,115,18711,27366,55358,125524,3879,6872,788070,96463,24,87
51,67,18711,27366,55358,125524,3879,6872,788070,96463,24,87
51,54,49881,225163,113079,258395,74712,87365,2434298,417053,24,87
51,53,49881,225163,113079,258395,74712,87365,2434298,417053,24,87
51,53,49881,225163,113079,258395,74712,87365,2434298,417053,24,87
51,56,49881,225163,113079,258395,74712,87365,2434298,417053,24,87
51,53,49881,225163,113079,258395,74712,87365,2434298,417053,24,87
51,-626,49881,225163,113079,258395,74712,87365,2434298,417053,24,87
51,112,49881,225163,113079,258395,74712,87365,2434298,417053,24,87
51,-1380,49881,225163,113079,258395,74712,87365,2434298,417053,24,87
51,218,49881,225163,113079,258395,74712,87365,2434298,417053,24,87
51,82,49881,225163,113079,258395,74712,87365,2434298,417053,24,87
51,-122,49881,225163,113079,258395,74712,87365,2434298,417053,24,87
51,601,49881,225163,113079,258395,74712,87365,2434298,417053,24,87
51,-363,49881,225163,113079,258395,74712,87365,2434298,417053,24,87
51,1340,49881,225163,113079,258395,74712,87365,2434298,417053,24,87
51,289,49881,225163,113079,258395,74712,87365,2434298,417053,24,87
51,-210,49881,225163,113079,258395,74712,87365,2434298,417053,24,87
51,-805,49881,225163,113079,258395,74712,87365,2434298,417053,24,87
51,-265,49881,225163,113079,258395,74712,87365,2434298,417053,24,87
51,312,49881,225163,113079,258395,74712,87365,2434298,417053,24,87
26,211,46382,78708,88916,132212,5285,10236,1978421,406224,24,87
26,242,46382,78708,88916,132212,5285,10236,1978421,406224,24,87
26,460,46382,78708,88916,132212,5285,10236,1978421,406224,24,87
26,-106,46382,78708,88916,132212,5285,10236,1978421,406224,24,87
26,-65,46382,78708,88916,132212,5285,10236,1978421,406224,24,87
26,-21,46382,78708,88916,132212,5285,10236,1978421,406224,24,87
26,151,46382,78708,88916,132212,5285,10236,1978421,406224,24,87
26,-2,46382,78708,88916,132212,5285,10236,1978421,406224,24,87
26,-108,46382,78708,88916,132212,5285,10236,1978421,406224,24,87
26,4,46382,78708,88916,132212,5285,10236,1978421,406224,24,87
0,52,16169,55382,11417,16170,1732,5388,525875,79511,21,70
0,162,16169,55382,11417,16170,1732,5388,525875,79511,21,70
0,80,16169,55382,11417,16170,1732,5388,525875,79511,21,70
0,182,16169,55382,11417,16170,1732,5388,525875,79511,21,70
0,-117,16169,55382,11417,16170,1732,5388,525875,79511,21,70
0,203,16169,55382,11417,16170,1732,5388,525875,79511,21,70
0,228,16169,55382,11417,16170,1732,5388,525875,79511,21,70
