poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
0,449,6254,9674,5201,3946,700,2048,163784,73868,41,37
26,-492,39904,20118,71457,93301,6728,8025,546730,79226,41,37
26,501,39904,20118,71457,93301,6728,8025,546730,79226,41,37
26,466,39904,20118,71457,93301,6728,8025,546730,79226,41,37
26,148,39904,20118,71457,93301,6728,8025,546730,79226,41,37
26,58,39904,20118,71457,93301,6728,8025,546730,79226,41,37
26,9,39904,20118,71457,93301,6728,8025,546730,79226,41,37
26,19,39904,20118,71457,93301,6728,8025,546730,79226,41,37
26,-105,39904,20118,71457,93301,6728,8025,546730,79226,41,37
26,-123,39904,20118,71457,93301,6728,8025,546730,79226,41,37
26,3,39904,20118,71457,93301,6728,8025,546730,79226,41,37
0,5,8651,8595,1837,3741,309,1205,316257,34302,41,51
0,-94,8651,8595,1837,3741,309,1205,316257,34302,41,51
0,52,8651,8595,1837,3741,309,1205,316257,34302,41,51
0,155,8651,8595,1837,3741,309,1205,316257,34302,41,51
0,32,8651,8595,1837,3741,309,1205,316257,34302,41,51
0,156,8651,8595,1837,3741,309,1205,316257,34302,41,51
0,-67,8651,8595,1837,3741,309,1205,316257,34302,41,51
0,112,8651,8595,1837,3741,309,1205,316257,34302,41,51
0,-2,8651,8595,1837,3741,309,1205,316257,34302,41,51
0,52,8651,8595,1837,3741,309,1205,316257,34302,41,51
0,65,2673,3676,4655,6039,1770,3996,179477,9441,44,47
0,1,2673,3676,4655,6039,1770,3996,179477,9441,44,47
0,-35,2673,3676,4655,6039,1770,3996,179477,9441,44,47
0,85,2673,3676,4655,6039,1770,3996,179477,9441,44,47
0,304,2673,3676,4655,6039,1770,3996,179477,9441,44,47
0,265,2673,3676,4655,6039,1770,3996,179477,9441,44,47
0,293,2673,3676,4655,6039,1770,3996,179477,9441,44,47
0,220,2673,3676,4655,6039,1770,3996,179477,9441,44,47
0,587,2673,3676,4655,6039,1770,3996,179477,9441,44,47
0,-12,2673,3676,4655,6039,1770,3996,179477,9441,44,47
0,854,57813,125048,78533,87231,4851,10524,544178,354080,37,48
0,115,57813,125048,78533,87231,4851,10524,544178,354080,37,48
0,-669,57813,125048,78533,87231,4851,10524,544178,354080,37,48
0,116,57813,125048,78533,87231,4851,10524,544178,354080,37,48
0,999,57813,125048,78533,87231,4851,10524,544178,354080,37,48
0,-18,57813,125048,78533,87231,4851,10524,544178,354080,37,48
0,-197,57813,125048,78533,87231,4851,10524,544178,354080,37,48
0,12,57813,125048,78533,87231,4851,10524,544178,354080,37,48
0,99,57813,125048,78533,87231,4851,10524,544178,354080,37,48
0,181,5592,5493,10072,7654,909,3467,183243,29594,50,50
0,220,5592,5493,10072,7654,909,3467,183243,29594,50,50
0,92,5592,5493,10072,7654,909,3467,183243,29594,50,50
0,-1112,5592,5493,10072,7654,909,3467,183243,29594,50,50
0,613,5592,5493,10072,7654,909,3467,183243,29594,50,50
0,2047,5592,5493,10072,7654,909,3467,183243,29594,50,50
0,1393,5592,5493,10072,7654,909,3467,183243,29594,50,50
0,-694,5592,5493,10072,7654,909,3467,183243,29594,50,50
0,-44,5592,5493,10072,7654,909,3467,183243,29594,50,50
0,38,5592,5493,10072,7654,909,3467,183243,29594,50,50
51,52,401590,205380,177194,180749,9354,51879,1573408,562609,50,50
51,53,401590,205380,177194,180749,9354,51879,1573408,562609,50,50
51,1237,401590,205380,177194,180749,9354,51879,1573408,562609,50,50
51,134,401590,205380,177194,180749,9354,51879,1573408,562609,50,50
51,66,401590,205380,177194,180749,9354,51879,1573408,562609,50,50
51,54,401590,205380,177194,180749,9354,51879,1573408,562609,50,50
51,53,401590,205380,177194,180749,9354,51879,1573408,562609,50,50
51,54,401590,205380,177194,180749,9354,51879,1573408,562609,50,50
51,55,401590,205380,177194,180749,9354,51879,1573408,562609,50,50
51,54,401590,205380,177194,180749,9354,51879,1573408,562609,50,50
