poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
0,-788,45579,70606,77965,160126,2805,18833,1444112,554188,43,66
0,865,45579,70606,77965,160126,2805,18833,1444112,554188,43,66
0,-267,45579,70606,77965,160126,2805,18833,1444112,554188,43,66
0,480,45579,70606,77965,160126,2805,18833,1444112,554188,43,66
0,120,45579,70606,77965,160126,2805,18833,1444112,554188,43,66
0,-115,45579,70606,77965,160126,2805,18833,1444112,554188,43,66
0,195,45579,70606,77965,160126,2805,18833,1444112,554188,43,66
0,225,45579,70606,77965,160126,2805,18833,1444112,554188,43,66
0,434,45579,70606,77965,160126,2805,18833,1444112,554188,43,66
0,-569,17416,107770,81972,151118,7535,23356,1236364,312804,48,53
0,-1661,17416,107770,81972,151118,7535,23356,1236364,312804,48,53
0,-497,17416,107770,81972,151118,7535,23356,1236364,312804,48,53
0,413,17416,107770,81972,151118,7535,23356,1236364,312804,48,53
0,-76,17416,107770,81972,151118,7535,23356,1236364,312804,48,53
0,278,17416,107770,81972,151118,7535,23356,1236364,312804,48,53
0,28,17416,107770,81972,151118,7535,23356,1236364,312804,48,53
0,52,17416,107770,81972,151118,7535,23356,1236364,312804,48,53
0,87,17416,107770,81972,151118,7535,23356,1236364,312804,48,53
0,409,17416,107770,81972,151118,7535,23356,1236364,312804,48,53
26,65,71246,51216,44567,30355,1094,5697,1344877,109922,48,53
26,-131,71246,51216,44567,30355,1094,5697,1344877,109922,48,53
26,359,71246,51216,44567,30355,1094,5697,1344877,109922,48,53
26,504,71246,51216,44567,30355,1094,5697,1344877,109922,48,53
26,473,71246,51216,44567,30355,1094,5697,1344877,109922,48,53
26,328,71246,51216,44567,30355,1094,5697,1344877,109922,48,53
26,89,71246,51216,44567,30355,1094,5697,1344877,109922,48,53
26,-69,71246,51216,44567,30355,1094,5697,1344877,109922,48,53
26,28,71246,51216,44567,30355,1094,5697,1344877,109922,48,53
26,48,71246,51216,44567,30355,1094,5697,1344877,109922,48,53
26,250,71246,51216,44567,30355,1094,5697,1344877,109922,48,53
26,146,71246,51216,44567,30355,1094,5697,1344877,109922,48,53
26,-139,71246,51216,44567,30355,1094,5697,1344877,109922,48,53
26,-2048,71246,51216,44567,30355,1094,5697,1344877,109922,48,53
26,-1115,71246,51216,44567,30355,1094,5697,1344877,109922,48,53
26,-40,71246,51216,44567,30355,1094,5697,1344877,109922,48,53
26,41,71246,51216,44567,30355,1094,5697,1344877,109922,48,53
26,53,71246,51216,44567,30355,1094,5697,1344877,109922,48,53
26,54,71246,51216,44567,30355,1094,5697,1344877,109922,48,53
26,996,71246,51216,44567,30355,1094,5697,1344877,109922,48,53
51,180,9307,18687,6174,15754,1159,1736,371533,71069,50,35
51,73,9307,18687,6174,15754,1159,1736,371533,71069,50,35
51,55,9307,18687,6174,15754,1159,1736,371533,71069,50,35
51,53,9307,18687,6174,15754,1159,1736,371533,71069,50,35
51,53,9307,18687,6174,15754,1159,1736,371533,71069,50,35
51,54,9307,18687,6174,15754,1159,1736,371533,71069,50,35
51,156,9307,18687,6174,15754,1159,1736,371533,71069,50,35
51,773,9307,18687,6174,15754,1159,1736,371533,71069,50,35
51,183,9307,18687,6174,15754,1159,1736,371533,71069,50,35
51,73,9307,18687,6174,15754,1159,1736,371533,71069,50,35
25,345,58729,34204,62318,52413,1843,25471,211652,118391,50,35
25,376,58729,34204,62318,52413,1843,25471,211652,118391,50,35
25,-98,58729,34204,62318,52413,1843,25471,211652,118391,50,35
25,-75,58729,34204,62318,52413,1843,25471,211652,118391,50,35
25,-487,58729,34204,62318,52413,1843,25471,211652,118391,50,35
25,-259,58729,34204,62318,52413,1843,25471,211652,118391,50,35
25,523,58729,34204,62318,52413,1843,25471,211652,118391,50,35
25,2047,58729,34204,62318,52413,1843,25471,211652,118391,50,35
25,475,58729,34204,62318,52413,1843,25471,211652,118391,50,35
25,-1640,58729,34204,62318,52413,1843,25471,211652,118391,50,35
51,297,81889,81106,53055,63524,25593,33962,700642,127316,50,35
51,1537,81889,81106,53055,63524,25593,33962,700642,127316,50,35
51,843,81889,81106,53055,63524,25593,33962,700642,127316,50,35
51,408,81889,81106,53055,63524,25593,33962,700642,127316,50,35
51,-562,81889,81106,53055,63524,25593,33962,700642,127316,50,35
51,-2,81889,81106,53055,63524,25593,33962,700642,127316,50,35
51,-97,81889,81106,53055,63524,25593,33962,700642,127316,50,35
51,2047,81889,81106,53055,63524,25593,33962,700642,127316,50,35
51,555,81889,81106,53055,63524,25593,33962,700642,127316,50,35
51,134,81889,81106,53055,63524,25593,33962,700642,127316,50,35
51,64,66323,334391,209073,254082,46247,41088,988859,558168,50,35
