poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
0,-165,81577,100954,43816,12937,11368,12321,2108922,221941,37,56
0,-58,81577,100954,43816,12937,11368,12321,2108922,221941,37,56
0,-1352,81577,100954,43816,12937,11368,12321,2108922,221941,37,56
26,977,6750,8117,6962,8097,472,605,1081631,23454,37,56
26,539,6750,8117,6962,8097,472,605,1081631,23454,37,56
26,-307,6750,8117,6962,8097,472,605,1081631,23454,37,56
26,1217,6750,8117,6962,8097,472,605,1081631,23454,37,56
26,629,6750,8117,6962,8097,472,605,1081631,23454,37,56
26,-353,6750,8117,6962,8097,472,605,1081631,23454,37,56
26,580,6750,8117,6962,8097,472,605,1081631,23454,37,56
26,293,6750,8117,6962,8097,472,605,1081631,23454,37,56
26,75,6750,8117,6962,8097,472,605,1081631,23454,37,56
26,-23,6750,8117,6962,8097,472,605,1081631,23454,37,56
26,106,13114,9965,14287,10046,3137,5104,214078,31076,37,56
26,68,13114,9965,14287,10046,3137,5104,214078,31076,37,56
26,135,13114,9965,14287,10046,3137,5104,214078,31076,37,56
26,214,13114,9965,14287,10046,3137,5104,214078,31076,37,56
26,106,13114,9965,14287,10046,3137,5104,214078,31076,37,56
26,74,13114,9965,14287,10046,3137,5104,214078,31076,37,56
26,-134,13114,9965,14287,10046,3137,5104,214078,31076,37,56
26,-449,13114,9965,14287,10046,3137,5104,214078,31076,37,56
26,-708,13114,9965,14287,10046,3137,5104,214078,31076,37,56
26,-252,13114,9965,14287,10046,3137,5104,214078,31076,37,56
0,214,404986,27004,80274,177388,3596,24060,1161947,392779,34,66
0,353,404986,27004,80274,177388,3596,24060,1161947,392779,34,66
0,89,404986,27004,80274,177388,3596,24060,1161947,392779,34,66
0,297,404986,27004,80274,177388,3596,24060,1161947,392779,34,66
0,-310,404986,27004,80274,177388,3596,24060,1161947,392779,34,66
0,635,404986,27004,80274,177388,3596,24060,1161947,392779,34,66
0,72,404986,27004,80274,177388,3596,24060,1161947,392779,34,66
0,299,404986,27004,80274,177388,3596,24060,1161947,392779,34,66
0,-1004,404986,27004,80274,177388,3596,24060,1161947,392779,34,66
0,-91,404986,27004,80274,177388,3596,24060,1161947,392779,34,66
51,33,107593,257236,111956,143742,45281,5825,1379059,845899,34,66
51,51,107593,257236,111956,143742,45281,5825,1379059,845899,34,66
51,53,107593,257236,111956,143742,45281,5825,1379059,845899,34,66
51,700,107593,257236,111956,143742,45281,5825,1379059,845899,34,66
51,153,107593,257236,111956,143742,45281,5825,1379059,845899,34,66
51,68,107593,257236,111956,143742,45281,5825,1379059,845899,34,66
51,55,107593,257236,111956,143742,45281,5825,1379059,845899,34,66
51,53,107593,257236,111956,143742,45281,5825,1379059,845899,34,66
51,53,107593,257236,111956,143742,45281,5825,1379059,845899,34,66
51,53,107593,257236,111956,143742,45281,5825,1379059,845899,34,66
25,53,20634,26411,17476,19702,1600,2741,309099,46058,34,66
25,39,20634,26411,17476,19702,1600,2741,309099,46058,34,66
25,56,20634,26411,17476,19702,1600,2741,309099,46058,34,66
25,55,20634,26411,17476,19702,1600,2741,309099,46058,34,66
25,-269,20634,26411,17476,19702,1600,2741,309099,46058,34,66
25,82,20634,26411,17476,19702,1600,2741,309099,46058,34,66
25,26,20634,26411,17476,19702,1600,2741,309099,46058,34,66
25,43,20634,26411,17476,19702,1600,2741,309099,46058,34,66
25,-43,20634,26411,17476,19702,1600,2741,309099,46058,34,66
25,17,55879,120665,41605,26119,6478,11547,271592,165857,34,66
25,584,55879,120665,41605,26119,6478,11547,271592,165857,34,66
25,437,55879,120665,41605,26119,6478,11547,271592,165857,34,66
25,101,55879,120665,41605,26119,6478,11547,271592,165857,34,66
25,34,55879,120665,41605,26119,6478,11547,271592,165857,34,66
25,66,55879,120665,41605,26119,6478,11547,271592,165857,34,66
25,56,55879,120665,41605,26119,6478,11547,271592,165857,34,66
25,-967,55879,120665,41605,26119,6478,11547,271592,165857,34,66
