poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
,,,,,,,,,,,
0,-1015,7451,9181,24754,17017,493,1215,621792,20703,50,34
,,,,,,,,,,,
0,131,7451,9181,24754,17017,493,1215,621792,20703,50,34
,,,,,,,,,,,
0,167,7451,9181,24754,17017,493,1215,621792,20703,50,34
,,,,,,,,,,,
0,-231,7451,9181,24754,17017,493,1215,621792,20703,50,34
,,,,,,,,,,,
51,192,283124,42618,191452,257921,15929,43099,1821102,1759677,50,34
,,,,,,,,,,,
51,178,283124,42618,191452,257921,15929,43099,1821102,1759677,50,34
,,,,,,,,,,,
51,-58,283124,42618,191452,257921,15929,43099,1821102,1759677,50,34
,,,,,,,,,,,
51,76,283124,42618,191452,257921,15929,43099,1821102,1759677,50,34
,,,,,,,,,,,
51,65,283124,42618,191452,257921,15929,43099,1821102,1759677,50,34
,,,,,,,,,,,
51,19,283124,42618,191452,257921,15929,43099,1821102,1759677,50,34
,,,,,,,,,,,
51,102,283124,42618,191452,257921,15929,43099,1821102,1759677,50,34
,,,,,,,,,,,
51,26,283124,42618,191452,257921,15929,43099,1821102,1759677,50,34
,,,,,,,,,,,
51,-212,283124,42618,191452,257921,15929,43099,1821102,1759677,50,34
,,,,,,,,,,,
51,170,283124,42618,191452,257921,15929,43099,1821102,1759677,50,34
,,,,,,,,,,,
0,132,12181,4335,46778,22420,733,3616,765217,197117,64,14
,,,,,,,,,,,
0,73,12181,4335,46778,22420,733,3616,765217,197117,64,14
,,,,,,,,,,,
0,178,12181,4335,46778,22420,733,3616,765217,197117,64,14
,,,,,,,,,,,
0,-40,12181,4335,46778,22420,733,3616,765217,197117,64,14
,,,,,,,,,,,
0,181,12181,4335,46778,22420,733,3616,765217,197117,64,14
,,,,,,,,,,,
0,-3,12181,4335,46778,22420,733,3616,765217,197117,64,14
,,,,,,,,,,,
0,34,12181,4335,46778,22420,733,3616,765217,197117,64,14
,,,,,,,,,,,
0,20,12181,4335,46778,22420,733,3616,765217,197117,64,14
,,,,,,,,,,,
0,0,12181,4335,46778,22420,733,3616,765217,197117,64,14
,,,,,,,,,,,
0,4,12181,4335,46778,22420,733,3616,765217,197117,64,14
,,,,,,,,,,,
