poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
0,53,2199,9679,1960,1183,363,1321,158844,20043,60,57
0,138,2199,9679,1960,1183,363,1321,158844,20043,60,57
0,177,2199,9679,1960,1183,363,1321,158844,20043,60,57
0,70,2199,9679,1960,1183,363,1321,158844,20043,60,57
0,-20,2199,9679,1960,1183,363,1321,158844,20043,60,57
0,8,2199,9679,1960,1183,363,1321,158844,20043,60,57
0,45,6639,2574,5012,1763,1716,2015,256655,34423,51,51
0,105,6639,2574,5012,1763,1716,2015,256655,34423,51,51
0,82,6639,2574,5012,1763,1716,2015,256655,34423,51,51
0,9,6639,2574,5012,1763,1716,2015,256655,34423,51,51
0,84,6639,2574,5012,1763,1716,2015,256655,34423,51,51
0,36,6639,2574,5012,1763,1716,2015,256655,34423,51,51
0,50,6639,2574,5012,1763,1716,2015,256655,34423,51,51
0,185,6639,2574,5012,1763,1716,2015,256655,34423,51,51
0,-213,6639,2574,5012,1763,1716,2015,256655,34423,51,51
0,-51,6639,2574,5012,1763,1716,2015,256655,34423,51,51
0,71,21811,144617,21504,25710,9182,10402,782377,37115,57,66
0,-12,21811,144617,21504,25710,9182,10402,782377,37115,57,66
0,129,21811,144617,21504,25710,9182,10402,782377,37115,57,66
0,17,21811,144617,21504,25710,9182,10402,782377,37115,57,66
0,184,21811,144617,21504,25710,9182,10402,782377,37115,57,66
0,65,21811,144617,21504,25710,9182,10402,782377,37115,57,66
0,23,21811,144617,21504,25710,9182,10402,782377,37115,57,66
0,326,21811,144617,21504,25710,9182,10402,782377,37115,57,66
0,-274,21811,144617,21504,25710,9182,10402,782377,37115,57,66
0,-248,5430,3894,2803,5908,606,2903,825530,10951,69,77
0,138,5430,3894,2803,5908,606,2903,825530,10951,69,77
0,220,5430,3894,2803,5908,606,2903,825530,10951,69,77
0,105,5430,3894,2803,5908,606,2903,825530,10951,69,77
0,218,5430,3894,2803,5908,606,2903,825530,10951,69,77
0,-126,5430,3894,2803,5908,606,2903,825530,10951,69,77
0,-247,5430,3894,2803,5908,606,2903,825530,10951,69,77
0,96,5430,3894,2803,5908,606,2903,825530,10951,69,77
0,343,5430,3894,2803,5908,606,2903,825530,10951,69,77
0,473,5430,3894,2803,5908,606,2903,825530,10951,69,77
0,-1677,12290,7975,3610,6327,766,4977,75704,43917,67,74
0,-178,12290,7975,3610,6327,766,4977,75704,43917,67,74
0,22,12290,7975,3610,6327,766,4977,75704,43917,67,74
0,50,12290,7975,3610,6327,766,4977,75704,43917,67,74
0,53,12290,7975,3610,6327,766,4977,75704,43917,67,74
0,54,12290,7975,3610,6327,766,4977,75704,43917,67,74
0,53,12290,7975,3610,6327,766,4977,75704,43917,67,74
0,53,12290,7975,3610,6327,766,4977,75704,43917,67,74
0,53,12290,7975,3610,6327,766,4977,75704,43917,67,74
51,54,7388,5889,8359,8936,136,1580,233457,4456,67,74
51,54,7388,5889,8359,8936,136,1580,233457,4456,67,74
51,54,7388,5889,8359,8936,136,1580,233457,4456,67,74
51,54,7388,5889,8359,8936,136,1580,233457,4456,67,74
51,53,7388,5889,8359,8936,136,1580,233457,4456,67,74
51,53,7388,5889,8359,8936,136,1580,233457,4456,67,74
51,54,7388,5889,8359,8936,136,1580,233457,4456,67,74
51,54,7388,5889,8359,8936,136,1580,233457,4456,67,74
51,54,7388,5889,8359,8936,136,1580,233457,4456,67,74
51,53,7388,5889,8359,8936,136,1580,233457,4456,67,74
54,53,0,0,0,2,0,1,3,0,67,74
54,54,0,0,0,2,0,1,3,0,67,74
54,54,0,0,0,2,0,1,3,0,67,74
54,53,0,0,0,2,0,1,3,0,67,74
54,54,0,0,0,2,0,1,3,0,67,74
54,54,0,0,0,2,0,1,3,0,67,74
54,54,0,0,0,2,0,1,3,0,67,74
54,54,0,0,0,2,0,1,3,0,67,74
54,2047,0,0,0,2,0,1,3,0,67,74
54,644,461743,36287,371773,701960,132563,254845,866150,755364,67,74
54,135,461743,36287,371773,701960,132563,254845,866150,755364,67,74
54,68,461743,36287,371773,701960,132563,254845,866150,755364,67,74
54,109,461743,36287,371773,701960,132563,254845,866150,755364,67,74
54,-1912,461743,36287,371773,701960,132563,254845,866150,755364,67,74
54,1346,461743,36287,371773,701960,132563,254845,866150,755364,67,74
54,2047,461743,36287,371773,701960,132563,254845,866150,755364,67,74
54,-2048,461743,36287,371773,701960,132563,254845,866150,755364,67,74
54,376,461743,36287,371773,701960,132563,254845,866150,755364,67,74
54,97,461743,36287,371773,701960,132563,254845,866150,755364,67,74
51,58,73093,135967,47745,111854,46018,37865,1840320,319683,67,74
51,53,73093,135967,47745,111854,46018,37865,1840320,319683,67,74
51,52,73093,135967,47745,111854,46018,37865,1840320,319683,67,74
51,689,73093,135967,47745,111854,46018,37865,1840320,319683,67,74
51,1213,73093,135967,47745,111854,46018,37865,1840320,319683,67,74
51,1291,73093,135967,47745,111854,46018,37865,1840320,319683,67,74
51,1730,73093,135967,47745,111854,46018,37865,1840320,319683,67,74
51,218,73093,135967,47745,111854,46018,37865,1840320,319683,67,74
51,710,73093,135967,47745,111854,46018,37865,1840320,319683,67,74
80,-377,748549,602565,441054,704159,43295,413760,758210,1063495,67,74
80,427,748549,602565,441054,704159,43295,413760,758210,1063495,67,74
80,117,748549,602565,441054,704159,43295,413760,758210,1063495,67,74
80,61,748549,602565,441054,704159,43295,413760,758210,1063495,67,74
80,55,748549,602565,441054,704159,43295,413760,758210,1063495,67,74
80,55,748549,602565,441054,704159,43295,413760,758210,1063495,67,74
80,55,748549,602565,441054,704159,43295,413760,758210,1063495,67,74
80,55,748549,602565,441054,704159,43295,413760,758210,1063495,67,74
80,55,748549,602565,441054,704159,43295,413760,758210,1063495,67,74
80,55,748549,602565,441054,704159,43295,413760,758210,1063495,67,74
80,55,748549,602565,441054,704159,43295,413760,758210,1063495,67,74
80,55,748549,602565,441054,704159,43295,413760,758210,1063495,67,74
80,55,748549,602565,441054,704159,43295,413760,758210,1063495,67,74
80,55,748549,602565,441054,704159,43295,413760,758210,1063495,67,74
80,55,748549,602565,441054,704159,43295,413760,758210,1063495,67,74
