poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
0,244,26607,25725,14201,52518,4381,8879,277033,171898,0,0
0,176,26607,25725,14201,52518,4381,8879,277033,171898,0,0
0,-38,26607,25725,14201,52518,4381,8879,277033,171898,0,0
0,83,26607,25725,14201,52518,4381,8879,277033,171898,0,0
0,147,26607,25725,14201,52518,4381,8879,277033,171898,0,0
0,183,26607,25725,14201,52518,4381,8879,277033,171898,0,0
0,-155,26607,25725,14201,52518,4381,8879,277033,171898,0,0
0,23,26607,25725,14201,52518,4381,8879,277033,171898,0,0
0,136,26607,25725,14201,52518,4381,8879,277033,171898,0,0
0,218,26607,25725,14201,52518,4381,8879,277033,171898,0,0
0,50,20871,24978,12359,18556,2723,3245,1066954,46004,0,0
0,-23,20871,24978,12359,18556,2723,3245,1066954,46004,0,0
0,70,20871,24978,12359,18556,2723,3245,1066954,46004,0,0
0,-35,20871,24978,12359,18556,2723,3245,1066954,46004,0,0
0,-60,20871,24978,12359,18556,2723,3245,1066954,46004,0,0
0,-52,20871,24978,12359,18556,2723,3245,1066954,46004,0,0
0,-1302,20871,24978,12359,18556,2723,3245,1066954,46004,0,0
0,540,20871,24978,12359,18556,2723,3245,1066954,46004,0,0
0,-392,20871,24978,12359,18556,2723,3245,1066954,46004,0,0
0,28,208740,351914,133153,257004,11051,44656,2237274,497588,48,35
0,66,208740,351914,133153,257004,11051,44656,2237274,497588,48,35
0,568,208740,351914,133153,257004,11051,44656,2237274,497588,48,35
0,-106,208740,351914,133153,257004,11051,44656,2237274,497588,48,35
0,-257,208740,351914,133153,257004,11051,44656,2237274,497588,48,35
0,316,208740,351914,133153,257004,11051,44656,2237274,497588,48,35
0,172,208740,351914,133153,257004,11051,44656,2237274,497588,48,35
0,-102,208740,351914,133153,257004,11051,44656,2237274,497588,48,35
0,-78,208740,351914,133153,257004,11051,44656,2237274,497588,48,35
0,74,208740,351914,133153,257004,11051,44656,2237274,497588,48,35
0,277,31381,120010,34840,33865,4081,18960,1028696,291885,43,47
0,240,31381,120010,34840,33865,4081,18960,1028696,291885,43,47
0,353,31381,120010,34840,33865,4081,18960,1028696,291885,43,47
0,-1653,31381,120010,34840,33865,4081,18960,1028696,291885,43,47
0,-173,31381,120010,34840,33865,4081,18960,1028696,291885,43,47
0,23,31381,120010,34840,33865,4081,18960,1028696,291885,43,47
0,50,31381,120010,34840,33865,4081,18960,1028696,291885,43,47
0,53,31381,120010,34840,33865,4081,18960,1028696,291885,43,47
0,54,31381,120010,34840,33865,4081,18960,1028696,291885,43,47
51,53,85314,212902,100961,106751,60290,25422,1134358,726828,43,47
51,54,85314,212902,100961,106751,60290,25422,1134358,726828,43,47
51,54,85314,212902,100961,106751,60290,25422,1134358,726828,43,47
51,54,85314,212902,100961,106751,60290,25422,1134358,726828,43,47
51,54,85314,212902,100961,106751,60290,25422,1134358,726828,43,47
