poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
0,33,6240,24852,7057,16458,3265,15404,629252,11344,37,69
0,-19,6240,24852,7057,16458,3265,15404,629252,11344,37,69
0,53,6240,24852,7057,16458,3265,15404,629252,11344,37,69
0,65,6335,15790,5757,14211,3959,4666,855529,96033,48,63
0,468,6335,15790,5757,14211,3959,4666,855529,96033,48,63
0,-267,6335,15790,5757,14211,3959,4666,855529,96033,48,63
0,73,6335,15790,5757,14211,3959,4666,855529,96033,48,63
0,20,6335,15790,5757,14211,3959,4666,855529,96033,48,63
0,245,6335,15790,5757,14211,3959,4666,855529,96033,48,63
0,-85,6335,15790,5757,14211,3959,4666,855529,96033,48,63
0,28,6335,15790,5757,14211,3959,4666,855529,96033,48,63
0,88,6335,15790,5757,14211,3959,4666,855529,96033,48,63
0,166,6335,15790,5757,14211,3959,4666,855529,96033,48,63
0,-59,89752,86811,74985,43308,13164,46473,1983432,341109,74,67
0,-14,89752,86811,74985,43308,13164,46473,1983432,341109,74,67
0,152,89752,86811,74985,43308,13164,46473,1983432,341109,74,67
0,98,89752,86811,74985,43308,13164,46473,1983432,341109,74,67
0,294,89752,86811,74985,43308,13164,46473,1983432,341109,74,67
0,-109,89752,86811,74985,43308,13164,46473,1983432,341109,74,67
0,75,89752,86811,74985,43308,13164,46473,1983432,341109,74,67
0,22,89752,86811,74985,43308,13164,46473,1983432,341109,74,67
0,-356,89752,86811,74985,43308,13164,46473,1983432,341109,74,67
0,-8,11156,56380,12536,9906,5484,10204,955632,67134,96,93
0,472,11156,56380,12536,9906,5484,10204,955632,67134,96,93
0,36,11156,56380,12536,9906,5484,10204,955632,67134,96,93
0,182,11156,56380,12536,9906,5484,10204,955632,67134,96,93
0,-520,11156,56380,12536,9906,5484,10204,955632,67134,96,93
0,-221,11156,56380,12536,9906,5484,10204,955632,67134,96,93
0,531,11156,56380,12536,9906,5484,10204,955632,67134,96,93
0,-2048,11156,56380,12536,9906,5484,10204,955632,67134,96,93
0,-364,11156,56380,12536,9906,5484,10204,955632,67134,96,93
0,2,11156,56380,12536,9906,5484,10204,955632,67134,96,93
25,45,29810,59167,8421,31938,4470,7858,969091,10209,96,93
25,53,29810,59167,8421,31938,4470,7858,969091,10209,96,93
25,53,29810,59167,8421,31938,4470,7858,969091,10209,96,93
25,54,29810,59167,8421,31938,4470,7858,969091,10209,96,93
25,54,29810,59167,8421,31938,4470,7858,969091,10209,96,93
25,54,29810,59167,8421,31938,4470,7858,969091,10209,96,93
25,54,29810,59167,8421,31938,4470,7858,969091,10209,96,93
25,54,29810,59167,8421,31938,4470,7858,969091,10209,96,93
25,53,29810,59167,8421,31938,4470,7858,969091,10209,96,93
54,54,168,244,74,87,10,26,1853,769,96,93
54,53,168,244,74,87,10,26,1853,769,96,93
54,54,168,244,74,87,10,26,1853,769,96,93
54,2047,168,244,74,87,10,26,1853,769,96,93
54,373,168,244,74,87,10,26,1853,769,96,93
54,96,168,244,74,87,10,26,1853,769,96,93
54,58,168,244,74,87,10,26,1853,769,96,93
54,54,168,244,74,87,10,26,1853,769,96,93
54,55,168,244,74,87,10,26,1853,769,96,93
54,44,168,244,74,87,10,26,1853,769,96,93
25,9,26206,17078,12768,21697,1472,3145,328543,82379,96,93
25,-28,26206,17078,12768,21697,1472,3145,328543,82379,96,93
25,83,26206,17078,12768,21697,1472,3145,328543,82379,96,93
25,89,26206,17078,12768,21697,1472,3145,328543,82379,96,93
25,192,26206,17078,12768,21697,1472,3145,328543,82379,96,93
25,-4,26206,17078,12768,21697,1472,3145,328543,82379,96,93
25,101,26206,17078,12768,21697,1472,3145,328543,82379,96,93
25,-106,26206,17078,12768,21697,1472,3145,328543,82379,96,93
25,68,26206,17078,12768,21697,1472,3145,328543,82379,96,93
0,8,70404,75330,57470,84704,9079,34745,2940479,378039,90,80
0,-132,70404,75330,57470,84704,9079,34745,2940479,378039,90,80
0,180,70404,75330,57470,84704,9079,34745,2940479,378039,90,80
0,352,70404,75330,57470,84704,9079,34745,2940479,378039,90,80
0,-455,70404,75330,57470,84704,9079,34745,2940479,378039,90,80
0,5,70404,75330,57470,84704,9079,34745,2940479,378039,90,80
0,163,70404,75330,57470,84704,9079,34745,2940479,378039,90,80
0,53,70404,75330,57470,84704,9079,34745,2940479,378039,90,80
0,151,70404,75330,57470,84704,9079,34745,2940479,378039,90,80
0,263,70404,75330,57470,84704,9079,34745,2940479,378039,90,80
0,156,40170,48776,18984,24513,2802,18242,1739671,143634,100,90
0,116,40170,48776,18984,24513,2802,18242,1739671,143634,100,90
0,-148,40170,48776,18984,24513,2802,18242,1739671,143634,100,90
0,-113,40170,48776,18984,24513,2802,18242,1739671,143634,100,90
0,70,40170,48776,18984,24513,2802,18242,1739671,143634,100,90
0,107,40170,48776,18984,24513,2802,18242,1739671,143634,100,90
0,-20,40170,48776,18984,24513,2802,18242,1739671,143634,100,90
0,619,40170,48776,18984,24513,2802,18242,1739671,143634,100,90
0,-30,40170,48776,18984,24513,2802,18242,1739671,143634,100,90
0,-49,12962,13240,9851,23079,4405,3364,383941,91061,88,83
0,-339,12962,13240,9851,23079,4405,3364,383941,91061,88,83
0,71,12962,13240,9851,23079,4405,3364,383941,91061,88,83
0,226,12962,13240,9851,23079,4405,3364,383941,91061,88,83
0,2,12962,13240,9851,23079,4405,3364,383941,91061,88,83
0,-37,12962,13240,9851,23079,4405,3364,383941,91061,88,83
0,22,12962,13240,9851,23079,4405,3364,383941,91061,88,83
0,119,12962,13240,9851,23079,4405,3364,383941,91061,88,83
0,114,12962,13240,9851,23079,4405,3364,383941,91061,88,83
0,-40,12962,13240,9851,23079,4405,3364,383941,91061,88,83
0,103,4994,15519,19378,3834,4944,11629,764745,34175,100,74
0,77,4994,15519,19378,3834,4944,11629,764745,34175,100,74
0,69,4994,15519,19378,3834,4944,11629,764745,34175,100,74
0,56,4994,15519,19378,3834,4944,11629,764745,34175,100,74
0,116,4994,15519,19378,3834,4944,11629,764745,34175,100,74
0,-21,4994,15519,19378,3834,4944,11629,764745,34175,100,74
0,96,4994,15519,19378,3834,4944,11629,764745,34175,100,74
