poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
25,52,46461,50677,32661,45125,5233,10957,1954956,78964,0,0
25,22,46461,50677,32661,45125,5233,10957,1954956,78964,0,0
25,61,46461,50677,32661,45125,5233,10957,1954956,78964,0,0
25,41,46461,50677,32661,45125,5233,10957,1954956,78964,0,0
25,90,46461,50677,32661,45125,5233,10957,1954956,78964,0,0
25,113,46461,50677,32661,45125,5233,10957,1954956,78964,0,0
25,23,46461,50677,32661,45125,5233,10957,1954956,78964,0,0
25,-59,46461,50677,32661,45125,5233,10957,1954956,78964,0,0
25,34,46461,50677,32661,45125,5233,10957,1954956,78964,0,0
25,56,46461,50677,32661,45125,5233,10957,1954956,78964,0,0
0,42,41064,111347,9467,16272,7500,6637,585687,34955,0,0
0,152,41064,111347,9467,16272,7500,6637,585687,34955,0,0
0,-277,41064,111347,9467,16272,7500,6637,585687,34955,0,0
0,97,41064,111347,9467,16272,7500,6637,585687,34955,0,0
0,18,41064,111347,9467,16272,7500,6637,585687,34955,0,0
0,27,41064,111347,9467,16272,7500,6637,585687,34955,0,0
0,66,41064,111347,9467,16272,7500,6637,585687,34955,0,0
0,-65,41064,111347,9467,16272,7500,6637,585687,34955,0,0
0,136,41064,111347,9467,16272,7500,6637,585687,34955,0,0
0,123,18117,23567,3772,11708,1500,1636,480668,54103,0,0
0,-84,18117,23567,3772,11708,1500,1636,480668,54103,0,0
0,-228,18117,23567,3772,11708,1500,1636,480668,54103,0,0
0,-57,18117,23567,3772,11708,1500,1636,480668,54103,0,0
0,166,18117,23567,3772,11708,1500,1636,480668,54103,0,0
0,21,18117,23567,3772,11708,1500,1636,480668,54103,0,0
0,208,18117,23567,3772,11708,1500,1636,480668,54103,0,0
0,33,18117,23567,3772,11708,1500,1636,480668,54103,0,0
0,165,18117,23567,3772,11708,1500,1636,480668,54103,0,0
0,236,18117,23567,3772,11708,1500,1636,480668,54103,0,0
0,217,54838,8459,32021,60349,13960,27365,1496047,289037,61,24
0,132,54838,8459,32021,60349,13960,27365,1496047,289037,61,24
0,-2048,54838,8459,32021,60349,13960,27365,1496047,289037,61,24
0,-381,54838,8459,32021,60349,13960,27365,1496047,289037,61,24
0,-4,54838,8459,32021,60349,13960,27365,1496047,289037,61,24
0,45,54838,8459,32021,60349,13960,27365,1496047,289037,61,24
0,53,54838,8459,32021,60349,13960,27365,1496047,289037,61,24
0,54,54838,8459,32021,60349,13960,27365,1496047,289037,61,24
0,54,54838,8459,32021,60349,13960,27365,1496047,289037,61,24
25,54,34952,13498,25425,27634,1000,6401,289189,74735,61,24
25,54,34952,13498,25425,27634,1000,6401,289189,74735,61,24
25,54,34952,13498,25425,27634,1000,6401,289189,74735,61,24
25,54,34952,13498,25425,27634,1000,6401,289189,74735,61,24
25,54,34952,13498,25425,27634,1000,6401,289189,74735,61,24
25,53,34952,13498,25425,27634,1000,6401,289189,74735,61,24
25,53,34952,13498,25425,27634,1000,6401,289189,74735,61,24
25,54,34952,13498,25425,27634,1000,6401,289189,74735,61,24
25,54,34952,13498,25425,27634,1000,6401,289189,74735,61,24
25,54,34952,13498,25425,27634,1000,6401,289189,74735,61,24
54,54,0,0,0,1,0,1,1,0,61,24
54,53,0,0,0,1,0,1,1,0,61,24
54,54,0,0,0,1,0,1,1,0,61,24
54,54,0,0,0,1,0,1,1,0,61,24
