poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
25,676,107993,98519,128771,91388,3820,4418,1630064,96330,40,44
25,-2048,107993,98519,128771,91388,3820,4418,1630064,96330,40,44
25,1562,107993,98519,128771,91388,3820,4418,1630064,96330,40,44
25,327,107993,98519,128771,91388,3820,4418,1630064,96330,40,44
25,1056,107993,98519,128771,91388,3820,4418,1630064,96330,40,44
25,120,107993,98519,128771,91388,3820,4418,1630064,96330,40,44
25,-1945,107993,98519,128771,91388,3820,4418,1630064,96330,40,44
25,833,107993,98519,128771,91388,3820,4418,1630064,96330,40,44
25,1044,107993,98519,128771,91388,3820,4418,1630064,96330,40,44
25,-469,107993,98519,128771,91388,3820,4418,1630064,96330,40,44
51,1299,28327,52449,99967,6689,11225,22797,1372353,251607,40,44
51,708,28327,52449,99967,6689,11225,22797,1372353,251607,40,44
51,128,28327,52449,99967,6689,11225,22797,1372353,251607,40,44
51,-18,28327,52449,99967,6689,11225,22797,1372353,251607,40,44
51,-354,28327,52449,99967,6689,11225,22797,1372353,251607,40,44
51,-1998,28327,52449,99967,6689,11225,22797,1372353,251607,40,44
51,1161,28327,52449,99967,6689,11225,22797,1372353,251607,40,44
51,304,28327,52449,99967,6689,11225,22797,1372353,251607,40,44
51,16,28327,52449,99967,6689,11225,22797,1372353,251607,40,44
51,-19,28487,9497,24657,28219,2041,13739,385718,67848,40,44
51,-345,28487,9497,24657,28219,2041,13739,385718,67848,40,44
51,-1518,28487,9497,24657,28219,2041,13739,385718,67848,40,44
51,-514,28487,9497,24657,28219,2041,13739,385718,67848,40,44
51,1781,28487,9497,24657,28219,2041,13739,385718,67848,40,44
51,169,28487,9497,24657,28219,2041,13739,385718,67848,40,44
51,-87,28487,9497,24657,28219,2041,13739,385718,67848,40,44
51,178,28487,9497,24657,28219,2041,13739,385718,67848,40,44
51,37,28487,9497,24657,28219,2041,13739,385718,67848,40,44
26,-66,9603,5221,5110,7558,1230,1120,911747,78078,40,44
26,23,9603,5221,5110,7558,1230,1120,911747,78078,40,44
26,297,9603,5221,5110,7558,1230,1120,911747,78078,40,44
26,1667,9603,5221,5110,7558,1230,1120,911747,78078,40,44
26,-228,9603,5221,5110,7558,1230,1120,911747,78078,40,44
26,10,9603,5221,5110,7558,1230,1120,911747,78078,40,44
26,51,9603,5221,5110,7558,1230,1120,911747,78078,40,44
26,53,9603,5221,5110,7558,1230,1120,911747,78078,40,44
26,54,9603,5221,5110,7558,1230,1120,911747,78078,40,44
26,54,9603,5221,5110,7558,1230,1120,911747,78078,40,44
51,54,8953,14273,2071,2037,482,372,266882,37058,40,44
51,54,8953,14273,2071,2037,482,372,266882,37058,40,44
51,53,8953,14273,2071,2037,482,372,266882,37058,40,44
51,54,8953,14273,2071,2037,482,372,266882,37058,40,44
51,54,8953,14273,2071,2037,482,372,266882,37058,40,44
51,54,8953,14273,2071,2037,482,372,266882,37058,40,44
51,54,8953,14273,2071,2037,482,372,266882,37058,40,44
51,54,8953,14273,2071,2037,482,372,266882,37058,40,44
51,54,8953,14273,2071,2037,482,372,266882,37058,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,53,0,0,0,0,0,0,0,0,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,55,0,0,0,0,1,0,1,0,40,44
