poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
0,-1610,1580,5149,1230,7160,471,817,976484,35033,0,0
0,-177,1580,5149,1230,7160,471,817,976484,35033,0,0
0,23,1580,5149,1230,7160,471,817,976484,35033,0,0
0,213,1580,5149,1230,7160,471,817,976484,35033,0,0
0,1341,1580,5149,1230,7160,471,817,976484,35033,0,0
51,589,9070,3040,4078,9398,293,526,750237,55591,0,0
51,273,9070,3040,4078,9398,293,526,750237,55591,0,0
51,58,9070,3040,4078,9398,293,526,750237,55591,0,0
51,12,9070,3040,4078,9398,293,526,750237,55591,0,0
51,38,9070,3040,4078,9398,293,526,750237,55591,0,0
51,9,9070,3040,4078,9398,293,526,750237,55591,0,0
51,4,9070,3040,4078,9398,293,526,750237,55591,0,0
51,-68,9070,3040,4078,9398,293,526,750237,55591,0,0
51,170,9070,3040,4078,9398,293,526,750237,55591,0,0
51,98,9070,3040,4078,9398,293,526,750237,55591,0,0
0,6,5397,12760,1203,2887,266,581,675150,60593,56,90
0,-1017,5397,12760,1203,2887,266,581,675150,60593,56,90
0,428,5397,12760,1203,2887,266,581,675150,60593,56,90
0,265,5397,12760,1203,2887,266,581,675150,60593,56,90
0,-316,5397,12760,1203,2887,266,581,675150,60593,56,90
0,-294,5397,12760,1203,2887,266,581,675150,60593,56,90
0,501,5397,12760,1203,2887,266,581,675150,60593,56,90
0,1212,5397,12760,1203,2887,266,581,675150,60593,56,90
0,229,5397,12760,1203,2887,266,581,675150,60593,56,90
0,122,5397,12760,1203,2887,266,581,675150,60593,56,90
51,71,15194,32190,15422,11586,1630,2665,1414791,23332,56,90
51,-38,15194,32190,15422,11586,1630,2665,1414791,23332,56,90
51,-49,15194,32190,15422,11586,1630,2665,1414791,23332,56,90
51,146,15194,32190,15422,11586,1630,2665,1414791,23332,56,90
51,-43,15194,32190,15422,11586,1630,2665,1414791,23332,56,90
51,406,15194,32190,15422,11586,1630,2665,1414791,23332,56,90
51,-1285,15194,32190,15422,11586,1630,2665,1414791,23332,56,90
51,-161,15194,32190,15422,11586,1630,2665,1414791,23332,56,90
51,24,15194,32190,15422,11586,1630,2665,1414791,23332,56,90
51,51,15194,32190,15422,11586,1630,2665,1414791,23332,56,90
25,53,30519,27403,20116,24231,4063,6106,883884,42561,56,90
25,53,30519,27403,20116,24231,4063,6106,883884,42561,56,90
25,54,30519,27403,20116,24231,4063,6106,883884,42561,56,90
25,54,30519,27403,20116,24231,4063,6106,883884,42561,56,90
25,54,30519,27403,20116,24231,4063,6106,883884,42561,56,90
25,54,30519,27403,20116,24231,4063,6106,883884,42561,56,90
25,54,30519,27403,20116,24231,4063,6106,883884,42561,56,90
25,54,30519,27403,20116,24231,4063,6106,883884,42561,56,90
25,54,30519,27403,20116,24231,4063,6106,883884,42561,56,90
25,53,30519,27403,20116,24231,4063,6106,883884,42561,56,90
54,54,0,0,0,0,0,0,12,1,56,90
54,54,0,0,0,0,0,0,12,1,56,90
54,53,0,0,0,0,0,0,12,1,56,90
54,54,0,0,0,0,0,0,12,1,56,90
54,54,0,0,0,0,0,0,12,1,56,90
54,53,0,0,0,0,0,0,12,1,56,90
54,53,0,0,0,0,0,0,12,1,56,90
54,54,0,0,0,0,0,0,12,1,56,90
54,54,0,0,0,0,0,0,12,1,56,90
54,54,0,0,0,0,0,0,12,1,56,90
54,53,0,0,0,0,0,0,1,0,56,90
54,54,0,0,0,0,0,0,1,0,56,90
54,2047,0,0,0,0,0,0,1,0,56,90
54,587,0,0,0,0,0,0,1,0,56,90
54,123,0,0,0,0,0,0,1,0,56,90
