poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
0,12,4445,4388,16201,10572,2048,2675,945110,61680,53,34
0,260,4445,4388,16201,10572,2048,2675,945110,61680,53,34
0,164,4445,4388,16201,10572,2048,2675,945110,61680,53,34
0,-23,4445,4388,16201,10572,2048,2675,945110,61680,53,34
0,42,4445,4388,16201,10572,2048,2675,945110,61680,53,34
0,81,4445,4388,16201,10572,2048,2675,945110,61680,53,34
0,-25,4445,4388,16201,10572,2048,2675,945110,61680,53,34
0,34,4445,4388,16201,10572,2048,2675,945110,61680,53,34
0,106,4445,4388,16201,10572,2048,2675,945110,61680,53,34
0,87,4445,4388,16201,10572,2048,2675,945110,61680,53,34
0,10,4445,4388,16201,10572,2048,2675,945110,61680,53,34
0,-3,4445,4388,16201,10572,2048,2675,945110,61680,53,34
0,73,4445,4388,16201,10572,2048,2675,945110,61680,53,34
0,65,4445,4388,16201,10572,2048,2675,945110,61680,53,34
0,132,4445,4388,16201,10572,2048,2675,945110,61680,53,34
0,88,43319,17885,8482,10320,2052,2606,814681,89482,24,27
0,49,43319,17885,8482,10320,2052,2606,814681,89482,24,27
0,64,43319,17885,8482,10320,2052,2606,814681,89482,24,27
0,119,43319,17885,8482,10320,2052,2606,814681,89482,24,27
0,-121,43319,17885,8482,10320,2052,2606,814681,89482,24,27
0,24,43319,17885,8482,10320,2052,2606,814681,89482,24,27
0,101,43319,17885,8482,10320,2052,2606,814681,89482,24,27
0,96,43319,17885,8482,10320,2052,2606,814681,89482,24,27
0,-1762,43319,17885,8482,10320,2052,2606,814681,89482,24,27
0,720,43319,17885,8482,10320,2052,2606,814681,89482,24,27
0,341,54720,30971,116583,115518,2769,7173,455529,506128,23,27
0,340,54720,30971,116583,115518,2769,7173,455529,506128,23,27
0,-25,54720,30971,116583,115518,2769,7173,455529,506128,23,27
0,-631,54720,30971,116583,115518,2769,7173,455529,506128,23,27
0,-193,54720,30971,116583,115518,2769,7173,455529,506128,23,27
0,224,54720,30971,116583,115518,2769,7173,455529,506128,23,27
0,512,54720,30971,116583,115518,2769,7173,455529,506128,23,27
0,565,54720,30971,116583,115518,2769,7173,455529,506128,23,27
0,370,54720,30971,116583,115518,2769,7173,455529,506128,23,27
0,75,54720,30971,116583,115518,2769,7173,455529,506128,23,27
0,-1499,54720,30971,116583,115518,2769,7173,455529,506128,23,27
0,-92,54720,30971,116583,115518,2769,7173,455529,506128,23,27
0,40,54720,30971,116583,115518,2769,7173,455529,506128,23,27
0,52,54720,30971,116583,115518,2769,7173,455529,506128,23,27
0,53,54720,30971,116583,115518,2769,7173,455529,506128,23,27
0,54,54720,30971,116583,115518,2769,7173,455529,506128,23,27
0,54,54720,30971,116583,115518,2769,7173,455529,506128,23,27
0,54,54720,30971,116583,115518,2769,7173,455529,506128,23,27
0,54,54720,30971,116583,115518,2769,7173,455529,506128,23,27
80,54,15016,44433,25097,6096,14442,16569,1315917,260314,40,44
80,54,15016,44433,25097,6096,14442,16569,1315917,260314,40,44
80,54,15016,44433,25097,6096,14442,16569,1315917,260314,40,44
80,54,15016,44433,25097,6096,14442,16569,1315917,260314,40,44
80,54,15016,44433,25097,6096,14442,16569,1315917,260314,40,44
80,54,15016,44433,25097,6096,14442,16569,1315917,260314,40,44
80,54,15016,44433,25097,6096,14442,16569,1315917,260314,40,44
80,54,15016,44433,25097,6096,14442,16569,1315917,260314,40,44
80,54,15016,44433,25097,6096,14442,16569,1315917,260314,40,44
80,54,15016,44433,25097,6096,14442,16569,1315917,260314,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,54,0,0,0,0,0,0,0,0,40,44
54,2047,0,0,0,0,0,0,0,0,40,44
54,-2048,0,0,0,0,0,0,0,0,40,44
