poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
0,167,28404,59942,27716,6314,6031,19511,1150546,102761,57,100
0,-147,28404,59942,27716,6314,6031,19511,1150546,102761,57,100
0,89,28404,59942,27716,6314,6031,19511,1150546,102761,57,100
0,96,28404,59942,27716,6314,6031,19511,1150546,102761,57,100
0,81,28404,59942,27716,6314,6031,19511,1150546,102761,57,100
0,202,28404,59942,27716,6314,6031,19511,1150546,102761,57,100
0,7,28404,59942,27716,6314,6031,19511,1150546,102761,57,100
0,-20,28404,59942,27716,6314,6031,19511,1150546,102761,57,100
0,21,28404,59942,27716,6314,6031,19511,1150546,102761,57,100
0,51,4451,2811,2461,6145,243,2635,178357,61075,48,80
0,-20,4451,2811,2461,6145,243,2635,178357,61075,48,80
0,151,4451,2811,2461,6145,243,2635,178357,61075,48,80
0,68,4451,2811,2461,6145,243,2635,178357,61075,48,80
0,108,4451,2811,2461,6145,243,2635,178357,61075,48,80
0,-56,4451,2811,2461,6145,243,2635,178357,61075,48,80
0,-24,4451,2811,2461,6145,243,2635,178357,61075,48,80
0,54,4451,2811,2461,6145,243,2635,178357,61075,48,80
0,147,4451,2811,2461,6145,243,2635,178357,61075,48,80
0,92,21207,85972,24957,10440,2980,20578,335064,151156,48,81
0,51,21207,85972,24957,10440,2980,20578,335064,151156,48,81
0,39,21207,85972,24957,10440,2980,20578,335064,151156,48,81
0,23,21207,85972,24957,10440,2980,20578,335064,151156,48,81
0,8,21207,85972,24957,10440,2980,20578,335064,151156,48,81
0,-2,21207,85972,24957,10440,2980,20578,335064,151156,48,81
0,-243,21207,85972,24957,10440,2980,20578,335064,151156,48,81
0,421,21207,85972,24957,10440,2980,20578,335064,151156,48,81
0,3,21207,85972,24957,10440,2980,20578,335064,151156,48,81
0,-58,21207,85972,24957,10440,2980,20578,335064,151156,48,81
0,-12,21879,42962,14882,8564,2832,4373,970313,128105,43,66
0,53,21879,42962,14882,8564,2832,4373,970313,128105,43,66
0,-18,21879,42962,14882,8564,2832,4373,970313,128105,43,66
0,349,21879,42962,14882,8564,2832,4373,970313,128105,43,66
0,-583,21879,42962,14882,8564,2832,4373,970313,128105,43,66
0,-2,21879,42962,14882,8564,2832,4373,970313,128105,43,66
0,50,21879,42962,14882,8564,2832,4373,970313,128105,43,66
0,117,21879,42962,14882,8564,2832,4373,970313,128105,43,66
0,-141,21879,42962,14882,8564,2832,4373,970313,128105,43,66
0,-219,49525,67713,21549,33898,8329,10512,1093220,652057,24,54
0,249,49525,67713,21549,33898,8329,10512,1093220,652057,24,54
0,156,49525,67713,21549,33898,8329,10512,1093220,652057,24,54
0,177,49525,67713,21549,33898,8329,10512,1093220,652057,24,54
0,407,49525,67713,21549,33898,8329,10512,1093220,652057,24,54
0,258,49525,67713,21549,33898,8329,10512,1093220,652057,24,54
0,-861,49525,67713,21549,33898,8329,10512,1093220,652057,24,54
0,-68,49525,67713,21549,33898,8329,10512,1093220,652057,24,54
0,38,49525,67713,21549,33898,8329,10512,1093220,652057,24,54
0,52,49525,67713,21549,33898,8329,10512,1093220,652057,24,54
25,54,24964,33306,3568,3396,3004,3391,804654,35960,24,54
25,54,24964,33306,3568,3396,3004,3391,804654,35960,24,54
25,54,24964,33306,3568,3396,3004,3391,804654,35960,24,54
25,54,24964,33306,3568,3396,3004,3391,804654,35960,24,54
25,54,24964,33306,3568,3396,3004,3391,804654,35960,24,54
25,1067,24964,33306,3568,3396,3004,3391,804654,35960,24,54
25,211,24964,33306,3568,3396,3004,3391,804654,35960,24,54
25,72,24964,33306,3568,3396,3004,3391,804654,35960,24,54
25,53,24964,33306,3568,3396,3004,3391,804654,35960,24,54
25,-18,24964,33306,3568,3396,3004,3391,804654,35960,24,54
25,729,22432,24963,16929,20355,1644,2817,274020,41225,24,54
25,281,22432,24963,16929,20355,1644,2817,274020,41225,24,54
