poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
,,,,,,,,,,,
0,119,41155,19616,16161,48236,5588,34445,909452,165077,34,63
,,,,,,,,,,,
0,39,41155,19616,16161,48236,5588,34445,909452,165077,34,63
,,,,,,,,,,,
0,71,41155,19616,16161,48236,5588,34445,909452,165077,34,63
,,,,,,,,,,,
0,-27,41155,19616,16161,48236,5588,34445,909452,165077,34,63
,,,,,,,,,,,
0,-23,41155,19616,16161,48236,5588,34445,909452,165077,34,63
,,,,,,,,,,,
0,-35,1925,9042,4448,15516,1581,3657,1241937,81040,26,47
,,,,,,,,,,,
0,864,1925,9042,4448,15516,1581,3657,1241937,81040,26,47
,,,,,,,,,,,
0,-151,1925,9042,4448,15516,1581,3657,1241937,81040,26,47
,,,,,,,,,,,
0,-321,1925,9042,4448,15516,1581,3657,1241937,81040,26,47
,,,,,,,,,,,
0,109,1925,9042,4448,15516,1581,3657,1241937,81040,26,47
,,,,,,,,,,,
0,19,1925,9042,4448,15516,1581,3657,1241937,81040,26,47
,,,,,,,,,,,
0,150,1925,9042,4448,15516,1581,3657,1241937,81040,26,47
,,,,,,,,,,,
0,1,1925,9042,4448,15516,1581,3657,1241937,81040,26,47
,,,,,,,,,,,
0,58,1925,9042,4448,15516,1581,3657,1241937,81040,26,47
,,,,,,,,,,,
0,-8,35784,39983,9003,12199,4980,4543,1335599,32806,26,57
,,,,,,,,,,,
0,90,35784,39983,9003,12199,4980,4543,1335599,32806,26,57
,,,,,,,,,,,
0,-18,35784,39983,9003,12199,4980,4543,1335599,32806,26,57
,,,,,,,,,,,
0,59,35784,39983,9003,12199,4980,4543,1335599,32806,26,57
,,,,,,,,,,,
0,200,35784,39983,9003,12199,4980,4543,1335599,32806,26,57
,,,,,,,,,,,
0,96,35784,39983,9003,12199,4980,4543,1335599,32806,26,57
,,,,,,,,,,,
0,-4,35784,39983,9003,12199,4980,4543,1335599,32806,26,57
,,,,,,,,,,,
0,91,35784,39983,9003,12199,4980,4543,1335599,32806,26,57
,,,,,,,,,,,
0,-9,35784,39983,9003,12199,4980,4543,1335599,32806,26,57
,,,,,,,,,,,
0,92,35784,39983,9003,12199,4980,4543,1335599,32806,26,57
,,,,,,,,,,,
0,114,5651,101040,39295,50440,4470,79231,2446867,467158,35,57
,,,,,,,,,,,
0,125,5651,101040,39295,50440,4470,79231,2446867,467158,35,57
,,,,,,,,,,,
0,-90,5651,101040,39295,50440,4470,79231,2446867,467158,35,57
,,,,,,,,,,,
0,155,5651,101040,39295,50440,4470,79231,2446867,467158,35,57
,,,,,,,,,,,
0,108,5651,101040,39295,50440,4470,79231,2446867,467158,35,57
,,,,,,,,,,,
0,138,5651,101040,39295,50440,4470,79231,2446867,467158,35,57
,,,,,,,,,,,
0,-139,5651,101040,39295,50440,4470,79231,2446867,467158,35,57
,,,,,,,,,,,
0,-29,5651,101040,39295,50440,4470,79231,2446867,467158,35,57
,,,,,,,,,,,
0,124,5651,101040,39295,50440,4470,79231,2446867,467158,35,57
,,,,,,,,,,,
0,596,16049,13187,8827,19577,5080,7166,974919,107444,34,56
,,,,,,,,,,,
0,560,16049,13187,8827,19577,5080,7166,974919,107444,34,56
,,,,,,,,,,,
0,-747,16049,13187,8827,19577,5080,7166,974919,107444,34,56
,,,,,,,,,,,
0,-52,16049,13187,8827,19577,5080,7166,974919,107444,34,56
,,,,,,,,,,,
0,38,16049,13187,8827,19577,5080,7166,974919,107444,34,56
,,,,,,,,,,,
0,52,16049,13187,8827,19577,5080,7166,974919,107444,34,56
,,,,,,,,,,,
0,53,16049,13187,8827,19577,5080,7166,974919,107444,34,56
,,,,,,,,,,,
0,2047,16049,13187,8827,19577,5080,7166,974919,107444,34,56
,,,,,,,,,,,
0,496,16049,13187,8827,19577,5080,7166,974919,107444,34,56
,,,,,,,,,,,
0,96,16049,13187,8827,19577,5080,7166,974919,107444,34,56
,,,,,,,,,,,
51,60,72305,25727,87401,51778,27706,32645,1824996,143112,34,56
,,,,,,,,,,,
51,-77,72305,25727,87401,51778,27706,32645,1824996,143112,34,56
,,,,,,,,,,,
51,25,72305,25727,87401,51778,27706,32645,1824996,143112,34,56
,,,,,,,,,,,
51,113,72305,25727,87401,51778,27706,32645,1824996,143112,34,56
,,,,,,,,,,,
51,-75,72305,25727,87401,51778,27706,32645,1824996,143112,34,56
,,,,,,,,,,,
51,-54,72305,25727,87401,51778,27706,32645,1824996,143112,34,56
,,,,,,,,,,,
51,2,72305,25727,87401,51778,27706,32645,1824996,143112,34,56
,,,,,,,,,,,
51,-82,72305,25727,87401,51778,27706,32645,1824996,143112,34,56
,,,,,,,,,,,
51,215,72305,25727,87401,51778,27706,32645,1824996,143112,34,56
,,,,,,,,,,,
51,-55,72305,25727,87401,51778,27706,32645,1824996,143112,34,56
