poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
0,621,18597,19041,8522,7668,486,2104,438550,98389,26,34
0,-172,18597,19041,8522,7668,486,2104,438550,98389,26,34
0,-172,18597,19041,8522,7668,486,2104,438550,98389,26,34
0,-101,18597,19041,8522,7668,486,2104,438550,98389,26,34
0,156,18597,19041,8522,7668,486,2104,438550,98389,26,34
0,-502,18597,19041,8522,7668,486,2104,438550,98389,26,34
0,272,18597,19041,8522,7668,486,2104,438550,98389,26,34
0,370,18597,19041,8522,7668,486,2104,438550,98389,26,34
0,193,18597,19041,8522,7668,486,2104,438550,98389,26,34
0,1474,18597,19041,8522,7668,486,2104,438550,98389,26,34
0,-813,18597,19041,8522,7668,486,2104,438550,98389,26,34
0,-77,18597,19041,8522,7668,486,2104,438550,98389,26,34
51,36,28826,18807,45907,31464,14901,9095,622678,103103,43,63
51,52,28826,18807,45907,31464,14901,9095,622678,103103,43,63
51,54,28826,18807,45907,31464,14901,9095,622678,103103,43,63
51,54,28826,18807,45907,31464,14901,9095,622678,103103,43,63
51,1484,28826,18807,45907,31464,14901,9095,622678,103103,43,63
51,245,28826,18807,45907,31464,14901,9095,622678,103103,43,63
51,77,28826,18807,45907,31464,14901,9095,622678,103103,43,63
51,58,28826,18807,45907,31464,14901,9095,622678,103103,43,63
51,56,28826,18807,45907,31464,14901,9095,622678,103103,43,63
51,-75,28826,18807,45907,31464,14901,9095,622678,103103,43,63
25,-73,29380,12919,12120,19236,1632,3151,370476,86616,43,63
25,17,29380,12919,12120,19236,1632,3151,370476,86616,43,63
25,-5,29380,12919,12120,19236,1632,3151,370476,86616,43,63
25,-28,29380,12919,12120,19236,1632,3151,370476,86616,43,63
25,123,29380,12919,12120,19236,1632,3151,370476,86616,43,63
25,34,29380,12919,12120,19236,1632,3151,370476,86616,43,63
25,151,29380,12919,12120,19236,1632,3151,370476,86616,43,63
25,-683,29380,12919,12120,19236,1632,3151,370476,86616,43,63
25,150,29380,12919,12120,19236,1632,3151,370476,86616,43,63
0,508,22617,3465,1872,9746,649,3503,413294,13148,35,83
0,-103,22617,3465,1872,9746,649,3503,413294,13148,35,83
0,356,22617,3465,1872,9746,649,3503,413294,13148,35,83
0,451,22617,3465,1872,9746,649,3503,413294,13148,35,83
0,43,22617,3465,1872,9746,649,3503,413294,13148,35,83
0,-453,22617,3465,1872,9746,649,3503,413294,13148,35,83
0,-257,22617,3465,1872,9746,649,3503,413294,13148,35,83
0,435,22617,3465,1872,9746,649,3503,413294,13148,35,83
0,87,22617,3465,1872,9746,649,3503,413294,13148,35,83
0,-308,22617,3465,1872,9746,649,3503,413294,13148,35,83
0,616,1012,5151,799,2215,175,658,164799,28769,27,69
0,83,1012,5151,799,2215,175,658,164799,28769,27,69
0,176,1012,5151,799,2215,175,658,164799,28769,27,69
0,-157,1012,5151,799,2215,175,658,164799,28769,27,69
0,-103,1012,5151,799,2215,175,658,164799,28769,27,69
0,-90,1012,5151,799,2215,175,658,164799,28769,27,69
0,-1613,1012,5151,799,2215,175,658,164799,28769,27,69
0,-168,1012,5151,799,2215,175,658,164799,28769,27,69
0,24,1012,5151,799,2215,175,658,164799,28769,27,69
51,51,3917,9185,4748,3181,1575,2541,246413,13797,27,69
51,53,3917,9185,4748,3181,1575,2541,246413,13797,27,69
51,1398,3917,9185,4748,3181,1575,2541,246413,13797,27,69
51,214,3917,9185,4748,3181,1575,2541,246413,13797,27,69
51,74,3917,9185,4748,3181,1575,2541,246413,13797,27,69
51,57,3917,9185,4748,3181,1575,2541,246413,13797,27,69
51,57,3917,9185,4748,3181,1575,2541,246413,13797,27,69
51,52,3917,9185,4748,3181,1575,2541,246413,13797,27,69
51,-3,3917,9185,4748,3181,1575,2541,246413,13797,27,69
51,-137,3917,9185,4748,3181,1575,2541,246413,13797,27,69
51,-114,3917,9185,4748,3181,1575,2541,246413,13797,27,69
51,-37,3917,9185,4748,3181,1575,2541,246413,13797,27,69
51,96,3917,9185,4748,3181,1575,2541,246413,13797,27,69
51,19,3917,9185,4748,3181,1575,2541,246413,13797,27,69
51,49,3917,9185,4748,3181,1575,2541,246413,13797,27,69
51,35,3917,9185,4748,3181,1575,2541,246413,13797,27,69
51,35,3917,9185,4748,3181,1575,2541,246413,13797,27,69
51,39,3917,9185,4748,3181,1575,2541,246413,13797,27,69
