poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
,,,,,,,,,,,
0,124,2130,22972,5525,2899,1239,1568,29378,24686,69,94
,,,,,,,,,,,
0,131,2130,22972,5525,2899,1239,1568,29378,24686,69,94
,,,,,,,,,,,
0,-295,2130,22972,5525,2899,1239,1568,29378,24686,69,94
,,,,,,,,,,,
0,536,2130,22972,5525,2899,1239,1568,29378,24686,69,94
,,,,,,,,,,,
0,-310,2130,22972,5525,2899,1239,1568,29378,24686,69,94
,,,,,,,,,,,
0,-289,2130,22972,5525,2899,1239,1568,29378,24686,69,94
,,,,,,,,,,,
0,72,12285,9481,6401,13187,1103,5768,266671,265004,57,77
,,,,,,,,,,,
0,119,12285,9481,6401,13187,1103,5768,266671,265004,57,77
,,,,,,,,,,,
0,-233,12285,9481,6401,13187,1103,5768,266671,265004,57,77
,,,,,,,,,,,
0,610,12285,9481,6401,13187,1103,5768,266671,265004,57,77
,,,,,,,,,,,
0,-202,12285,9481,6401,13187,1103,5768,266671,265004,57,77
,,,,,,,,,,,
0,12,12285,9481,6401,13187,1103,5768,266671,265004,57,77
,,,,,,,,,,,
0,246,12285,9481,6401,13187,1103,5768,266671,265004,57,77
,,,,,,,,,,,
0,-3,12285,9481,6401,13187,1103,5768,266671,265004,57,77
,,,,,,,,,,,
0,-203,12285,9481,6401,13187,1103,5768,266671,265004,57,77
,,,,,,,,,,,
0,-226,12285,9481,6401,13187,1103,5768,266671,265004,57,77
,,,,,,,,,,,
0,217,131727,23358,58900,111199,7220,23324,2338315,736365,47,57
,,,,,,,,,,,
0,-24,131727,23358,58900,111199,7220,23324,2338315,736365,47,57
,,,,,,,,,,,
0,90,131727,23358,58900,111199,7220,23324,2338315,736365,47,57
,,,,,,,,,,,
0,-313,131727,23358,58900,111199,7220,23324,2338315,736365,47,57
,,,,,,,,,,,
0,566,131727,23358,58900,111199,7220,23324,2338315,736365,47,57
,,,,,,,,,,,
0,-34,131727,23358,58900,111199,7220,23324,2338315,736365,47,57
,,,,,,,,,,,
0,461,131727,23358,58900,111199,7220,23324,2338315,736365,47,57
,,,,,,,,,,,
0,133,131727,23358,58900,111199,7220,23324,2338315,736365,47,57
,,,,,,,,,,,
0,71,131727,23358,58900,111199,7220,23324,2338315,736365,47,57
,,,,,,,,,,,
0,-774,29993,38693,53725,17944,3217,13835,988123,105794,47,63
,,,,,,,,,,,
0,530,29993,38693,53725,17944,3217,13835,988123,105794,47,63
,,,,,,,,,,,
0,-21,29993,38693,53725,17944,3217,13835,988123,105794,47,63
,,,,,,,,,,,
0,-1509,29993,38693,53725,17944,3217,13835,988123,105794,47,63
,,,,,,,,,,,
0,529,29993,38693,53725,17944,3217,13835,988123,105794,47,63
,,,,,,,,,,,
0,296,29993,38693,53725,17944,3217,13835,988123,105794,47,63
,,,,,,,,,,,
0,585,29993,38693,53725,17944,3217,13835,988123,105794,47,63
,,,,,,,,,,,
0,-779,29993,38693,53725,17944,3217,13835,988123,105794,47,63
,,,,,,,,,,,
0,-56,29993,38693,53725,17944,3217,13835,988123,105794,47,63
,,,,,,,,,,,
0,38,29993,38693,53725,17944,3217,13835,988123,105794,47,63
,,,,,,,,,,,
51,52,35669,35305,13347,8715,4491,17198,83465,68881,47,63
,,,,,,,,,,,
51,1701,35669,35305,13347,8715,4491,17198,83465,68881,47,63
,,,,,,,,,,,
51,274,35669,35305,13347,8715,4491,17198,83465,68881,47,63
,,,,,,,,,,,
51,87,35669,35305,13347,8715,4491,17198,83465,68881,47,63
,,,,,,,,,,,
51,59,35669,35305,13347,8715,4491,17198,83465,68881,47,63
,,,,,,,,,,,
51,38,35669,35305,13347,8715,4491,17198,83465,68881,47,63
,,,,,,,,,,,
51,-91,35669,35305,13347,8715,4491,17198,83465,68881,47,63
,,,,,,,,,,,
51,-185,35669,35305,13347,8715,4491,17198,83465,68881,47,63
,,,,,,,,,,,
51,84,35669,35305,13347,8715,4491,17198,83465,68881,47,63
,,,,,,,,,,,
51,251,35669,35305,13347,8715,4491,17198,83465,68881,47,63
,,,,,,,,,,,
25,131,26009,19681,14363,19555,2431,3371,727115,100357,47,63
,,,,,,,,,,,
25,-161,26009,19681,14363,19555,2431,3371,727115,100357,47,63
,,,,,,,,,,,
25,-150,26009,19681,14363,19555,2431,3371,727115,100357,47,63
,,,,,,,,,,,
25,124,26009,19681,14363,19555,2431,3371,727115,100357,47,63
,,,,,,,,,,,
25,176,26009,19681,14363,19555,2431,3371,727115,100357,47,63
,,,,,,,,,,,
25,59,26009,19681,14363,19555,2431,3371,727115,100357,47,63
,,,,,,,,,,,
25,-7,26009,19681,14363,19555,2431,3371,727115,100357,47,63
,,,,,,,,,,,
25,64,26009,19681,14363,19555,2431,3371,727115,100357,47,63
,,,,,,,,,,,
25,-37,26009,19681,14363,19555,2431,3371,727115,100357,47,63
