poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
0,133,2499,2224,553,1806,81,565,383881,14825,29,56
0,409,20887,55325,10052,5092,1715,6793,667356,81202,27,53
0,172,20887,55325,10052,5092,1715,6793,667356,81202,27,53
0,91,20887,55325,10052,5092,1715,6793,667356,81202,27,53
0,81,20887,55325,10052,5092,1715,6793,667356,81202,27,53
0,-91,20887,55325,10052,5092,1715,6793,667356,81202,27,53
0,-55,20887,55325,10052,5092,1715,6793,667356,81202,27,53
0,837,20887,55325,10052,5092,1715,6793,667356,81202,27,53
0,-178,20887,55325,10052,5092,1715,6793,667356,81202,27,53
0,-88,20887,55325,10052,5092,1715,6793,667356,81202,27,53
0,851,20887,55325,10052,5092,1715,6793,667356,81202,27,53
0,500,11043,30712,9036,10756,1530,2999,275771,75445,26,47
0,117,11043,30712,9036,10756,1530,2999,275771,75445,26,47
0,-809,11043,30712,9036,10756,1530,2999,275771,75445,26,47
0,-59,11043,30712,9036,10756,1530,2999,275771,75445,26,47
0,38,11043,30712,9036,10756,1530,2999,275771,75445,26,47
0,51,11043,30712,9036,10756,1530,2999,275771,75445,26,47
0,54,11043,30712,9036,10756,1530,2999,275771,75445,26,47
0,54,11043,30712,9036,10756,1530,2999,275771,75445,26,47
0,53,11043,30712,9036,10756,1530,2999,275771,75445,26,47
0,54,11043,30712,9036,10756,1530,2999,275771,75445,26,47
51,53,8511,13245,2700,3506,974,430,503397,9848,26,47
51,54,8511,13245,2700,3506,974,430,503397,9848,26,47
51,54,8511,13245,2700,3506,974,430,503397,9848,26,47
51,54,8511,13245,2700,3506,974,430,503397,9848,26,47
51,53,8511,13245,2700,3506,974,430,503397,9848,26,47
51,54,8511,13245,2700,3506,974,430,503397,9848,26,47
51,54,8511,13245,2700,3506,974,430,503397,9848,26,47
51,53,8511,13245,2700,3506,974,430,503397,9848,26,47
51,54,8511,13245,2700,3506,974,430,503397,9848,26,47
54,53,0,0,0,1,2,0,3,1,26,47
54,54,0,0,0,1,2,0,3,1,26,47
54,54,0,0,0,1,2,0,3,1,26,47
54,54,0,0,0,1,2,0,3,1,26,47
54,54,0,0,0,1,2,0,3,1,26,47
54,54,0,0,0,1,2,0,3,1,26,47
54,54,0,0,0,1,2,0,3,1,26,47
54,54,0,0,0,1,2,0,3,1,26,47
54,54,0,0,0,1,2,0,3,1,26,47
54,54,0,0,0,1,2,0,3,1,26,47
54,53,0,2,1,1,1,1,3,2,26,47
54,54,0,2,1,1,1,1,3,2,26,47
54,53,0,2,1,1,1,1,3,2,26,47
54,2047,0,2,1,1,1,1,3,2,26,47
54,-2048,0,2,1,1,1,1,3,2,26,47
54,-438,0,2,1,1,1,1,3,2,26,47
54,-10,0,2,1,1,1,1,3,2,26,47
54,43,0,2,1,1,1,1,3,2,26,47
54,53,0,2,1,1,1,1,3,2,26,47
80,54,25190,14590,82137,44434,78330,42535,1361246,155782,26,47
80,54,25190,14590,82137,44434,78330,42535,1361246,155782,26,47
80,55,25190,14590,82137,44434,78330,42535,1361246,155782,26,47
80,58,25190,14590,82137,44434,78330,42535,1361246,155782,26,47
80,54,25190,14590,82137,44434,78330,42535,1361246,155782,26,47
80,43,25190,14590,82137,44434,78330,42535,1361246,155782,26,47
80,67,25190,14590,82137,44434,78330,42535,1361246,155782,26,47
80,187,25190,14590,82137,44434,78330,42535,1361246,155782,26,47
80,437,25190,14590,82137,44434,78330,42535,1361246,155782,26,47
80,97,25190,14590,82137,44434,78330,42535,1361246,155782,26,47
54,483,14392,12614,11709,6099,432,1875,233193,167393,26,47
54,-423,14392,12614,11709,6099,432,1875,233193,167393,26,47
54,274,14392,12614,11709,6099,432,1875,233193,167393,26,47
54,598,14392,12614,11709,6099,432,1875,233193,167393,26,47
54,83,14392,12614,11709,6099,432,1875,233193,167393,26,47
54,-171,14392,12614,11709,6099,432,1875,233193,167393,26,47
54,86,14392,12614,11709,6099,432,1875,233193,167393,26,47
54,28,14392,12614,11709,6099,432,1875,233193,167393,26,47
54,152,14392,12614,11709,6099,432,1875,233193,167393,26,47
200,234,155075,177128,20910,29353,7240,28332,2997442,150124,0,0
200,408,155075,177128,20910,29353,7240,28332,2997442,150124,0,0
200,328,155075,177128,20910,29353,7240,28332,2997442,150124,0,0
200,-92,155075,177128,20910,29353,7240,28332,2997442,150124,0,0
200,8,155075,177128,20910,29353,7240,28332,2997442,150124,0,0
200,-57,155075,177128,20910,29353,7240,28332,2997442,150124,0,0
200,50,155075,177128,20910,29353,7240,28332,2997442,150124,0,0
200,-132,155075,177128,20910,29353,7240,28332,2997442,150124,0,0
200,36,155075,177128,20910,29353,7240,28332,2997442,150124,0,0
