poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
0,220,3078,8477,6659,6276,793,1585,43778,45740,41,13
0,83,3078,8477,6659,6276,793,1585,43778,45740,41,13
0,-22,3078,8477,6659,6276,793,1585,43778,45740,41,13
0,12,3078,8477,6659,6276,793,1585,43778,45740,41,13
0,113,3078,8477,6659,6276,793,1585,43778,45740,41,13
0,75,3078,8477,6659,6276,793,1585,43778,45740,41,13
0,-6,3078,8477,6659,6276,793,1585,43778,45740,41,13
0,-28,3078,8477,6659,6276,793,1585,43778,45740,41,13
0,109,3078,8477,6659,6276,793,1585,43778,45740,41,13
0,-46,10595,16353,2005,5016,599,3610,140360,42503,27,21
0,22,10595,16353,2005,5016,599,3610,140360,42503,27,21
0,39,10595,16353,2005,5016,599,3610,140360,42503,27,21
0,43,10595,16353,2005,5016,599,3610,140360,42503,27,21
0,118,10595,16353,2005,5016,599,3610,140360,42503,27,21
0,115,10595,16353,2005,5016,599,3610,140360,42503,27,21
0,25,10595,16353,2005,5016,599,3610,140360,42503,27,21
0,396,10595,16353,2005,5016,599,3610,140360,42503,27,21
0,-670,10595,16353,2005,5016,599,3610,140360,42503,27,21
0,-50,10595,16353,2005,5016,599,3610,140360,42503,27,21
51,40,37332,7443,56572,96294,10756,16442,923493,184966,27,21
51,52,37332,7443,56572,96294,10756,16442,923493,184966,27,21
51,54,37332,7443,56572,96294,10756,16442,923493,184966,27,21
51,54,37332,7443,56572,96294,10756,16442,923493,184966,27,21
51,54,37332,7443,56572,96294,10756,16442,923493,184966,27,21
51,54,37332,7443,56572,96294,10756,16442,923493,184966,27,21
51,54,37332,7443,56572,96294,10756,16442,923493,184966,27,21
51,54,37332,7443,56572,96294,10756,16442,923493,184966,27,21
51,53,37332,7443,56572,96294,10756,16442,923493,184966,27,21
51,53,37332,7443,56572,96294,10756,16442,923493,184966,27,21
54,54,238,312,76,140,21,22,2515,1001,27,21
54,54,238,312,76,140,21,22,2515,1001,27,21
54,55,238,312,76,140,21,22,2515,1001,27,21
54,54,238,312,76,140,21,22,2515,1001,27,21
54,54,238,312,76,140,21,22,2515,1001,27,21
54,54,238,312,76,140,21,22,2515,1001,27,21
54,54,238,312,76,140,21,22,2515,1001,27,21
54,54,238,312,76,140,21,22,2515,1001,27,21
54,54,238,312,76,140,21,22,2515,1001,27,21
54,54,0,0,0,1,0,0,0,0,27,21
54,54,0,0,0,1,0,0,0,0,27,21
54,54,0,0,0,1,0,0,0,0,27,21
54,54,0,0,0,1,0,0,0,0,27,21
54,54,0,0,0,1,0,0,0,0,27,21
54,54,0,0,0,1,0,0,0,0,27,21
54,53,0,0,0,1,0,0,0,0,27,21
54,54,0,0,0,1,0,0,0,0,27,21
54,54,0,0,0,1,0,0,0,0,27,21
54,54,0,0,0,1,0,0,0,0,27,21
54,54,0,0,1,2,0,1,0,1,27,21
54,54,0,0,1,2,0,1,0,1,27,21
54,54,0,0,1,2,0,1,0,1,27,21
54,54,0,0,1,2,0,1,0,1,27,21
54,54,0,0,1,2,0,1,0,1,27,21
54,54,0,0,1,2,0,1,0,1,27,21
54,54,0,0,1,2,0,1,0,1,27,21
54,55,0,0,1,2,0,1,0,1,27,21
54,55,0,0,1,2,0,1,0,1,27,21
54,55,0,0,0,0,0,0,35,1,27,21
54,55,0,0,0,0,0,0,35,1,27,21
54,56,0,0,0,0,0,0,35,1,27,21
54,65,0,0,0,0,0,0,35,1,27,21
54,72,0,0,0,0,0,0,35,1,27,21
54,73,0,0,0,0,0,0,35,1,27,21
54,135,0,0,0,0,0,0,35,1,27,21
54,103,0,0,0,0,0,0,35,1,27,21
54,160,0,0,0,0,0,0,35,1,27,21
54,114,0,0,0,0,0,0,35,1,27,21
200,251,355,249,203,80,394,375,39381,3286,0,0
200,-454,355,249,203,80,394,375,39381,3286,0,0
200,436,355,249,203,80,394,375,39381,3286,0,0
200,341,355,249,203,80,394,375,39381,3286,0,0
200,133,355,249,203,80,394,375,39381,3286,0,0
200,209,355,249,203,80,394,375,39381,3286,0,0
200,154,355,249,203,80,394,375,39381,3286,0,0
200,104,355,249,203,80,394,375,39381,3286,0,0
200,103,355,249,203,80,394,375,39381,3286,0,0
200,92,6195,66106,8540,5847,5870,13597,162312,39177,0,0
200,48,6195,66106,8540,5847,5870,13597,162312,39177,0,0
