poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
0,-317,5945,2391,4555,2314,841,741,409332,18808,24,53
0,197,5945,2391,4555,2314,841,741,409332,18808,24,53
0,40,5945,2391,4555,2314,841,741,409332,18808,24,53
0,68,5945,2391,4555,2314,841,741,409332,18808,24,53
0,33,5945,2391,4555,2314,841,741,409332,18808,24,53
0,21,5945,2391,4555,2314,841,741,409332,18808,24,53
0,73,53089,67460,27217,18306,13224,19061,695077,277308,37,51
0,61,53089,67460,27217,18306,13224,19061,695077,277308,37,51
0,72,53089,67460,27217,18306,13224,19061,695077,277308,37,51
0,34,53089,67460,27217,18306,13224,19061,695077,277308,37,51
0,37,53089,67460,27217,18306,13224,19061,695077,277308,37,51
0,73,53089,67460,27217,18306,13224,19061,695077,277308,37,51
0,12,53089,67460,27217,18306,13224,19061,695077,277308,37,51
0,50,53089,67460,27217,18306,13224,19061,695077,277308,37,51
0,116,53089,67460,27217,18306,13224,19061,695077,277308,37,51
0,57,53089,67460,27217,18306,13224,19061,695077,277308,37,51
0,41,14535,5603,7559,3766,4453,4044,49037,19269,57,60
0,7,14535,5603,7559,3766,4453,4044,49037,19269,57,60
0,53,14535,5603,7559,3766,4453,4044,49037,19269,57,60
0,42,14535,5603,7559,3766,4453,4044,49037,19269,57,60
0,72,14535,5603,7559,3766,4453,4044,49037,19269,57,60
0,75,14535,5603,7559,3766,4453,4044,49037,19269,57,60
0,115,14535,5603,7559,3766,4453,4044,49037,19269,57,60
0,33,14535,5603,7559,3766,4453,4044,49037,19269,57,60
0,17,14535,5603,7559,3766,4453,4044,49037,19269,57,60
0,157,20836,3596,10456,20383,6249,33057,236807,76266,74,66
0,-34,20836,3596,10456,20383,6249,33057,236807,76266,74,66
0,61,20836,3596,10456,20383,6249,33057,236807,76266,74,66
0,105,20836,3596,10456,20383,6249,33057,236807,76266,74,66
0,171,20836,3596,10456,20383,6249,33057,236807,76266,74,66
0,0,20836,3596,10456,20383,6249,33057,236807,76266,74,66
0,8,20836,3596,10456,20383,6249,33057,236807,76266,74,66
0,50,20836,3596,10456,20383,6249,33057,236807,76266,74,66
0,118,20836,3596,10456,20383,6249,33057,236807,76266,74,66
0,194,20836,3596,10456,20383,6249,33057,236807,76266,74,66
0,48,1164,9126,4175,4493,821,3459,381936,24598,69,64
0,508,1164,9126,4175,4493,821,3459,381936,24598,69,64
0,149,1164,9126,4175,4493,821,3459,381936,24598,69,64
0,-2048,1164,9126,4175,4493,821,3459,381936,24598,69,64
0,-598,1164,9126,4175,4493,821,3459,381936,24598,69,64
0,-30,1164,9126,4175,4493,821,3459,381936,24598,69,64
0,41,1164,9126,4175,4493,821,3459,381936,24598,69,64
0,53,1164,9126,4175,4493,821,3459,381936,24598,69,64
0,53,1164,9126,4175,4493,821,3459,381936,24598,69,64
0,54,1164,9126,4175,4493,821,3459,381936,24598,69,64
25,53,39242,21737,5255,5532,3144,2681,660839,21053,69,64
25,53,39242,21737,5255,5532,3144,2681,660839,21053,69,64
25,53,39242,21737,5255,5532,3144,2681,660839,21053,69,64
25,53,39242,21737,5255,5532,3144,2681,660839,21053,69,64
25,54,39242,21737,5255,5532,3144,2681,660839,21053,69,64
25,54,39242,21737,5255,5532,3144,2681,660839,21053,69,64
25,53,39242,21737,5255,5532,3144,2681,660839,21053,69,64
25,54,39242,21737,5255,5532,3144,2681,660839,21053,69,64
25,54,39242,21737,5255,5532,3144,2681,660839,21053,69,64
54,54,2,0,1,2,1,0,1,1,69,64
54,2047,2,0,1,2,1,0,1,1,69,64
54,535,2,0,1,2,1,0,1,1,69,64
54,117,2,0,1,2,1,0,1,1,69,64
54,-1917,2,0,1,2,1,0,1,1,69,64
