poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
0,-120,6387,22605,10234,7512,2623,2961,139789,100125,75,88
0,370,18084,41047,12301,4111,1456,3602,1686415,70290,83,83
0,139,18084,41047,12301,4111,1456,3602,1686415,70290,83,83
0,208,18084,41047,12301,4111,1456,3602,1686415,70290,83,83
0,122,18084,41047,12301,4111,1456,3602,1686415,70290,83,83
0,118,18084,41047,12301,4111,1456,3602,1686415,70290,83,83
0,49,18084,41047,12301,4111,1456,3602,1686415,70290,83,83
0,64,18084,41047,12301,4111,1456,3602,1686415,70290,83,83
0,23,18084,41047,12301,4111,1456,3602,1686415,70290,83,83
0,12,18084,41047,12301,4111,1456,3602,1686415,70290,83,83
0,11,18084,41047,12301,4111,1456,3602,1686415,70290,83,83
0,108,7403,17281,1661,9084,526,3415,985855,71183,63,78
0,66,7403,17281,1661,9084,526,3415,985855,71183,63,78
0,82,7403,17281,1661,9084,526,3415,985855,71183,63,78
0,108,7403,17281,1661,9084,526,3415,985855,71183,63,78
0,-6,7403,17281,1661,9084,526,3415,985855,71183,63,78
0,68,7403,17281,1661,9084,526,3415,985855,71183,63,78
0,-56,7403,17281,1661,9084,526,3415,985855,71183,63,78
0,13,7403,17281,1661,9084,526,3415,985855,71183,63,78
0,-189,7403,17281,1661,9084,526,3415,985855,71183,63,78
0,-41,7403,17281,1661,9084,526,3415,985855,71183,63,78
0,-34,9802,3751,8773,18516,559,785,82802,97490,67,75
0,601,9802,3751,8773,18516,559,785,82802,97490,67,75
0,149,9802,3751,8773,18516,559,785,82802,97490,67,75
0,64,9802,3751,8773,18516,559,785,82802,97490,67,75
0,54,9802,3751,8773,18516,559,785,82802,97490,67,75
0,-1017,9802,3751,8773,18516,559,785,82802,97490,67,75
0,-87,9802,3751,8773,18516,559,785,82802,97490,67,75
0,35,9802,3751,8773,18516,559,785,82802,97490,67,75
0,51,9802,3751,8773,18516,559,785,82802,97490,67,75
25,53,6664,8134,3451,2235,1047,1391,84122,7265,67,75
25,54,6664,8134,3451,2235,1047,1391,84122,7265,67,75
25,54,6664,8134,3451,2235,1047,1391,84122,7265,67,75
25,54,6664,8134,3451,2235,1047,1391,84122,7265,67,75
25,54,6664,8134,3451,2235,1047,1391,84122,7265,67,75
25,54,6664,8134,3451,2235,1047,1391,84122,7265,67,75
25,54,6664,8134,3451,2235,1047,1391,84122,7265,67,75
25,54,6664,8134,3451,2235,1047,1391,84122,7265,67,75
25,54,6664,8134,3451,2235,1047,1391,84122,7265,67,75
25,54,6664,8134,3451,2235,1047,1391,84122,7265,67,75
54,54,0,0,0,0,0,0,0,0,67,75
54,54,0,0,0,0,0,0,0,0,67,75
54,54,0,0,0,0,0,0,0,0,67,75
54,54,0,0,0,0,0,0,0,0,67,75
54,54,0,0,0,0,0,0,0,0,67,75
54,54,0,0,0,0,0,0,0,0,67,75
54,54,0,0,0,0,0,0,0,0,67,75
54,54,0,0,0,0,0,0,0,0,67,75
54,54,0,0,0,0,0,0,0,0,67,75
54,54,0,0,0,0,0,0,0,0,67,75
54,54,0,0,0,0,0,0,0,0,67,75
54,54,0,0,0,0,0,0,0,0,67,75
54,54,0,0,0,0,0,0,0,0,67,75
54,54,0,0,0,0,0,0,0,0,67,75
54,54,0,0,0,0,0,0,0,0,67,75
54,54,0,0,0,0,0,0,0,0,67,75
54,54,0,0,0,0,0,0,0,0,67,75
54,54,0,0,0,0,0,0,0,0,67,75
54,54,0,0,0,0,0,0,0,0,67,75
54,54,0,0,0,0,0,0,0,0,67,75
54,54,0,0,0,0,0,0,0,0,67,75
54,55,0,0,0,0,0,0,0,0,67,75
54,55,0,0,0,0,0,0,0,0,67,75
54,55,0,0,0,0,0,0,0,0,67,75
54,66,0,0,0,0,0,0,0,0,67,75
54,56,0,0,0,0,0,0,0,0,67,75
54,114,0,0,0,0,0,0,0,0,67,75
54,28,0,0,0,0,0,0,0,0,67,75
