poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
51,-66,36458,64012,120227,104198,11396,22013,302411,215734,34,20
51,-33,36458,64012,120227,104198,11396,22013,302411,215734,34,20
51,40,36458,64012,120227,104198,11396,22013,302411,215734,34,20
25,-123,33452,94051,26959,62344,3274,7635,2534437,292138,34,20
25,256,33452,94051,26959,62344,3274,7635,2534437,292138,34,20
25,-2048,33452,94051,26959,62344,3274,7635,2534437,292138,34,20
25,-244,33452,94051,26959,62344,3274,7635,2534437,292138,34,20
25,6,33452,94051,26959,62344,3274,7635,2534437,292138,34,20
25,294,33452,94051,26959,62344,3274,7635,2534437,292138,34,20
25,1110,33452,94051,26959,62344,3274,7635,2534437,292138,34,20
25,-449,33452,94051,26959,62344,3274,7635,2534437,292138,34,20
25,915,33452,94051,26959,62344,3274,7635,2534437,292138,34,20
25,-545,33452,94051,26959,62344,3274,7635,2534437,292138,34,20
51,872,110381,110161,100660,109465,15168,30480,627694,330083,34,20
51,343,110381,110161,100660,109465,15168,30480,627694,330083,34,20
51,93,110381,110161,100660,109465,15168,30480,627694,330083,34,20
51,60,110381,110161,100660,109465,15168,30480,627694,330083,34,20
51,54,110381,110161,100660,109465,15168,30480,627694,330083,34,20
51,54,110381,110161,100660,109465,15168,30480,627694,330083,34,20
51,53,110381,110161,100660,109465,15168,30480,627694,330083,34,20
51,54,110381,110161,100660,109465,15168,30480,627694,330083,34,20
51,54,110381,110161,100660,109465,15168,30480,627694,330083,34,20
51,-1388,110381,110161,100660,109465,15168,30480,627694,330083,34,20
51,-427,28140,34137,43126,20738,6697,8368,436493,32242,34,20
51,1992,28140,34137,43126,20738,6697,8368,436493,32242,34,20
51,-834,28140,34137,43126,20738,6697,8368,436493,32242,34,20
51,-76,28140,34137,43126,20738,6697,8368,436493,32242,34,20
51,35,28140,34137,43126,20738,6697,8368,436493,32242,34,20
51,52,28140,34137,43126,20738,6697,8368,436493,32242,34,20
51,1124,28140,34137,43126,20738,6697,8368,436493,32242,34,20
51,208,28140,34137,43126,20738,6697,8368,436493,32242,34,20
51,75,28140,34137,43126,20738,6697,8368,436493,32242,34,20
51,64,28140,34137,43126,20738,6697,8368,436493,32242,34,20
51,53,28140,34137,43126,20738,6697,8368,436493,32242,34,20
51,53,28140,34137,43126,20738,6697,8368,436493,32242,34,20
51,53,28140,34137,43126,20738,6697,8368,436493,32242,34,20
51,-583,28140,34137,43126,20738,6697,8368,436493,32242,34,20
51,-18,28140,34137,43126,20738,6697,8368,436493,32242,34,20
51,26,28140,34137,43126,20738,6697,8368,436493,32242,34,20
51,44,28140,34137,43126,20738,6697,8368,436493,32242,34,20
51,49,28140,34137,43126,20738,6697,8368,436493,32242,34,20
51,52,28140,34137,43126,20738,6697,8368,436493,32242,34,20
51,54,28140,34137,43126,20738,6697,8368,436493,32242,34,20
51,54,28140,34137,43126,20738,6697,8368,436493,32242,34,20
51,54,28140,34137,43126,20738,6697,8368,436493,32242,34,20
51,54,28140,34137,43126,20738,6697,8368,436493,32242,34,20
51,54,28140,34137,43126,20738,6697,8368,436493,32242,34,20
51,54,28140,34137,43126,20738,6697,8368,436493,32242,34,20
51,2047,28140,34137,43126,20738,6697,8368,436493,32242,34,20
51,581,28140,34137,43126,20738,6697,8368,436493,32242,34,20
51,135,28140,34137,43126,20738,6697,8368,436493,32242,34,20
25,17,57060,46254,25204,66684,8696,14979,267198,63456,34,20
25,881,57060,46254,25204,66684,8696,14979,267198,63456,34,20
25,-2048,57060,46254,25204,66684,8696,14979,267198,63456,34,20
25,-1708,57060,46254,25204,66684,8696,14979,267198,63456,34,20
25,-218,57060,46254,25204,66684,8696,14979,267198,63456,34,20
25,17,57060,46254,25204,66684,8696,14979,267198,63456,34,20
25,49,57060,46254,25204,66684,8696,14979,267198,63456,34,20
25,53,57060,46254,25204,66684,8696,14979,267198,63456,34,20
25,54,57060,46254,25204,66684,8696,14979,267198,63456,34,20
25,54,57060,46254,25204,66684,8696,14979,267198,63456,34,20
51,55,49184,208838,119864,309854,21145,127832,381213,307004,34,20
51,-477,49184,208838,119864,309854,21145,127832,381213,307004,34,20
51,-14,49184,208838,119864,309854,21145,127832,381213,307004,34,20
51,44,49184,208838,119864,309854,21145,127832,381213,307004,34,20
51,1623,49184,208838,119864,309854,21145,127832,381213,307004,34,20
51,-771,49184,208838,119864,309854,21145,127832,381213,307004,34,20
51,-234,49184,208838,119864,309854,21145,127832,381213,307004,34,20
