poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
0,-190,4331,15129,7971,10643,357,953,525281,30383,53,35
0,-28,4331,15129,7971,10643,357,953,525281,30383,53,35
0,91,4331,15129,7971,10643,357,953,525281,30383,53,35
0,-23,4331,15129,7971,10643,357,953,525281,30383,53,35
0,-26,4331,15129,7971,10643,357,953,525281,30383,53,35
0,-69,4331,15129,7971,10643,357,953,525281,30383,53,35
0,-69,4331,15129,7971,10643,357,953,525281,30383,53,35
0,154,4331,15129,7971,10643,357,953,525281,30383,53,35
0,23,4331,15129,7971,10643,357,953,525281,30383,53,35
0,-70,4331,15129,7971,10643,357,953,525281,30383,53,35
0,-23,4331,15129,7971,10643,357,953,525281,30383,53,35
0,-9,23066,95924,11884,19572,4331,7448,199304,151993,53,60
0,137,23066,95924,11884,19572,4331,7448,199304,151993,53,60
0,122,23066,95924,11884,19572,4331,7448,199304,151993,53,60
0,44,23066,95924,11884,19572,4331,7448,199304,151993,53,60
0,16,23066,95924,11884,19572,4331,7448,199304,151993,53,60
0,151,23066,95924,11884,19572,4331,7448,199304,151993,53,60
0,245,23066,95924,11884,19572,4331,7448,199304,151993,53,60
0,228,23066,95924,11884,19572,4331,7448,199304,151993,53,60
0,36,23066,95924,11884,19572,4331,7448,199304,151993,53,60
0,-166,23066,95924,11884,19572,4331,7448,199304,151993,53,60
0,-437,34697,42770,8219,20737,3864,5375,541484,45092,43,84
0,-19,34697,42770,8219,20737,3864,5375,541484,45092,43,84
0,185,34697,42770,8219,20737,3864,5375,541484,45092,43,84
0,72,34697,42770,8219,20737,3864,5375,541484,45092,43,84
0,135,34697,42770,8219,20737,3864,5375,541484,45092,43,84
0,135,34697,42770,8219,20737,3864,5375,541484,45092,43,84
0,66,34697,42770,8219,20737,3864,5375,541484,45092,43,84
0,251,34697,42770,8219,20737,3864,5375,541484,45092,43,84
0,200,34697,42770,8219,20737,3864,5375,541484,45092,43,84
0,156,34697,42770,8219,20737,3864,5375,541484,45092,43,84
0,294,13021,68159,13800,34819,2957,2275,3209320,88880,37,88
0,72,13021,68159,13800,34819,2957,2275,3209320,88880,37,88
0,232,13021,68159,13800,34819,2957,2275,3209320,88880,37,88
0,274,13021,68159,13800,34819,2957,2275,3209320,88880,37,88
0,86,13021,68159,13800,34819,2957,2275,3209320,88880,37,88
0,-1314,13021,68159,13800,34819,2957,2275,3209320,88880,37,88
0,-134,13021,68159,13800,34819,2957,2275,3209320,88880,37,88
0,24,13021,68159,13800,34819,2957,2275,3209320,88880,37,88
0,50,13021,68159,13800,34819,2957,2275,3209320,88880,37,88
0,1178,13021,68159,13800,34819,2957,2275,3209320,88880,37,88
51,234,69195,78665,27519,43837,6449,8414,737286,118293,37,88
51,76,69195,78665,27519,43837,6449,8414,737286,118293,37,88
51,56,69195,78665,27519,43837,6449,8414,737286,118293,37,88
51,53,69195,78665,27519,43837,6449,8414,737286,118293,37,88
51,53,69195,78665,27519,43837,6449,8414,737286,118293,37,88
51,53,69195,78665,27519,43837,6449,8414,737286,118293,37,88
51,53,69195,78665,27519,43837,6449,8414,737286,118293,37,88
51,54,69195,78665,27519,43837,6449,8414,737286,118293,37,88
51,55,69195,78665,27519,43837,6449,8414,737286,118293,37,88
51,55,69195,78665,27519,43837,6449,8414,737286,118293,37,88
51,55,69195,78665,27519,43837,6449,8414,737286,118293,37,88
51,33,69195,78665,27519,43837,6449,8414,737286,118293,37,88
51,17,69195,78665,27519,43837,6449,8414,737286,118293,37,88
51,59,69195,78665,27519,43837,6449,8414,737286,118293,37,88
51,1,69195,78665,27519,43837,6449,8414,737286,118293,37,88
51,-23,69195,78665,27519,43837,6449,8414,737286,118293,37,88
51,17,69195,78665,27519,43837,6449,8414,737286,118293,37,88
51,50,69195,78665,27519,43837,6449,8414,737286,118293,37,88
51,-6,69195,78665,27519,43837,6449,8414,737286,118293,37,88
51,36,69195,78665,27519,43837,6449,8414,737286,118293,37,88
0,276,21225,64395,30907,54737,3970,2847,543879,23296,35,97
0,60,21225,64395,30907,54737,3970,2847,543879,23296,35,97
0,-135,21225,64395,30907,54737,3970,2847,543879,23296,35,97
0,72,21225,64395,30907,54737,3970,2847,543879,23296,35,97
0,210,21225,64395,30907,54737,3970,2847,543879,23296,35,97
0,148,21225,64395,30907,54737,3970,2847,543879,23296,35,97
0,-116,21225,64395,30907,54737,3970,2847,543879,23296,35,97
0,-326,21225,64395,30907,54737,3970,2847,543879,23296,35,97
0,53,21225,64395,30907,54737,3970,2847,543879,23296,35,97
