poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
0,-6,9607,3386,5200,7500,1236,2220,350734,40441,43,26
0,-5,9607,3386,5200,7500,1236,2220,350734,40441,43,26
0,-27,9607,3386,5200,7500,1236,2220,350734,40441,43,26
0,45,7421,62729,21372,14606,5769,25300,92101,62543,48,44
0,-17,7421,62729,21372,14606,5769,25300,92101,62543,48,44
0,117,7421,62729,21372,14606,5769,25300,92101,62543,48,44
0,219,7421,62729,21372,14606,5769,25300,92101,62543,48,44
0,76,7421,62729,21372,14606,5769,25300,92101,62543,48,44
0,70,7421,62729,21372,14606,5769,25300,92101,62543,48,44
0,-1,7421,62729,21372,14606,5769,25300,92101,62543,48,44
0,122,7421,62729,21372,14606,5769,25300,92101,62543,48,44
0,125,7421,62729,21372,14606,5769,25300,92101,62543,48,44
0,160,7421,62729,21372,14606,5769,25300,92101,62543,48,44
0,-49,5389,6037,3996,5325,1347,2513,120574,43099,37,38
0,-4,5389,6037,3996,5325,1347,2513,120574,43099,37,38
0,10,5389,6037,3996,5325,1347,2513,120574,43099,37,38
0,155,5389,6037,3996,5325,1347,2513,120574,43099,37,38
0,96,5389,6037,3996,5325,1347,2513,120574,43099,37,38
0,-33,5389,6037,3996,5325,1347,2513,120574,43099,37,38
0,97,5389,6037,3996,5325,1347,2513,120574,43099,37,38
0,71,5389,6037,3996,5325,1347,2513,120574,43099,37,38
0,237,5389,6037,3996,5325,1347,2513,120574,43099,37,38
0,181,5389,6037,3996,5325,1347,2513,120574,43099,37,38
0,64,27847,17035,10500,23441,7246,13287,83341,101146,35,50
0,-33,27847,17035,10500,23441,7246,13287,83341,101146,35,50
0,-156,27847,17035,10500,23441,7246,13287,83341,101146,35,50
0,219,27847,17035,10500,23441,7246,13287,83341,101146,35,50
0,-475,27847,17035,10500,23441,7246,13287,83341,101146,35,50
0,120,27847,17035,10500,23441,7246,13287,83341,101146,35,50
0,963,27847,17035,10500,23441,7246,13287,83341,101146,35,50
0,503,27847,17035,10500,23441,7246,13287,83341,101146,35,50
0,136,27847,17035,10500,23441,7246,13287,83341,101146,35,50
0,-43,27847,17035,10500,23441,7246,13287,83341,101146,35,50
0,32,27847,17035,10500,23441,7246,13287,83341,101146,35,50
0,54,27847,17035,10500,23441,7246,13287,83341,101146,35,50
0,-4,27847,17035,10500,23441,7246,13287,83341,101146,35,50
0,-51,27847,17035,10500,23441,7246,13287,83341,101146,35,50
0,75,27847,17035,10500,23441,7246,13287,83341,101146,35,50
0,70,27847,17035,10500,23441,7246,13287,83341,101146,35,50
0,-210,27847,17035,10500,23441,7246,13287,83341,101146,35,50
0,416,27847,17035,10500,23441,7246,13287,83341,101146,35,50
0,260,27847,17035,10500,23441,7246,13287,83341,101146,35,50
0,-1393,1788,4894,1553,5082,303,616,149040,17795,29,35
0,-324,1788,4894,1553,5082,303,616,149040,17795,29,35
0,23,1788,4894,1553,5082,303,616,149040,17795,29,35
0,41,1788,4894,1553,5082,303,616,149040,17795,29,35
0,53,1788,4894,1553,5082,303,616,149040,17795,29,35
0,54,1788,4894,1553,5082,303,616,149040,17795,29,35
0,2047,1788,4894,1553,5082,303,616,149040,17795,29,35
0,682,1788,4894,1553,5082,303,616,149040,17795,29,35
0,154,1788,4894,1553,5082,303,616,149040,17795,29,35
51,67,14849,10897,14034,19526,2154,3783,179236,29107,29,35
51,55,14849,10897,14034,19526,2154,3783,179236,29107,29,35
51,53,14849,10897,14034,19526,2154,3783,179236,29107,29,35
51,54,14849,10897,14034,19526,2154,3783,179236,29107,29,35
51,54,14849,10897,14034,19526,2154,3783,179236,29107,29,35
51,23,14849,10897,14034,19526,2154,3783,179236,29107,29,35
51,-27,14849,10897,14034,19526,2154,3783,179236,29107,29,35
51,-77,14849,10897,14034,19526,2154,3783,179236,29107,29,35
51,-146,14849,10897,14034,19526,2154,3783,179236,29107,29,35
