poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
,,,,,,,,,,,
0,-1012,30213,12034,7210,14305,1730,2874,1221907,62978,38,43
,,,,,,,,,,,
0,422,30213,12034,7210,14305,1730,2874,1221907,62978,38,43
,,,,,,,,,,,
0,-88,30213,12034,7210,14305,1730,2874,1221907,62978,38,43
,,,,,,,,,,,
0,3,30213,12034,7210,14305,1730,2874,1221907,62978,38,43
,,,,,,,,,,,
0,59,30213,12034,7210,14305,1730,2874,1221907,62978,38,43
,,,,,,,,,,,
0,35,30213,12034,7210,14305,1730,2874,1221907,62978,38,43
,,,,,,,,,,,
0,90,5477,12719,6606,30044,1096,2820,223162,33194,37,38
,,,,,,,,,,,
0,74,5477,12719,6606,30044,1096,2820,223162,33194,37,38
,,,,,,,,,,,
0,37,5477,12719,6606,30044,1096,2820,223162,33194,37,38
,,,,,,,,,,,
0,231,5477,12719,6606,30044,1096,2820,223162,33194,37,38
,,,,,,,,,,,
0,96,5477,12719,6606,30044,1096,2820,223162,33194,37,38
,,,,,,,,,,,
0,131,5477,12719,6606,30044,1096,2820,223162,33194,37,38
,,,,,,,,,,,
0,-87,5477,12719,6606,30044,1096,2820,223162,33194,37,38
,,,,,,,,,,,
0,155,5477,12719,6606,30044,1096,2820,223162,33194,37,38
,,,,,,,,,,,
0,121,5477,12719,6606,30044,1096,2820,223162,33194,37,38
,,,,,,,,,,,
0,-72,5477,12719,6606,30044,1096,2820,223162,33194,37,38
,,,,,,,,,,,
0,2,10422,18840,13860,30977,1403,2250,1424138,35521,48,50
,,,,,,,,,,,
0,123,10422,18840,13860,30977,1403,2250,1424138,35521,48,50
,,,,,,,,,,,
0,120,10422,18840,13860,30977,1403,2250,1424138,35521,48,50
,,,,,,,,,,,
0,185,10422,18840,13860,30977,1403,2250,1424138,35521,48,50
,,,,,,,,,,,
0,107,10422,18840,13860,30977,1403,2250,1424138,35521,48,50
,,,,,,,,,,,
0,54,10422,18840,13860,30977,1403,2250,1424138,35521,48,50
,,,,,,,,,,,
0,87,10422,18840,13860,30977,1403,2250,1424138,35521,48,50
,,,,,,,,,,,
0,-477,10422,18840,13860,30977,1403,2250,1424138,35521,48,50
,,,,,,,,,,,
0,-653,10422,18840,13860,30977,1403,2250,1424138,35521,48,50
,,,,,,,,,,,
0,-252,10422,18840,13860,30977,1403,2250,1424138,35521,48,50
,,,,,,,,,,,
0,130,82471,24598,37080,34716,906,6603,900485,21917,53,69
,,,,,,,,,,,
0,155,82471,24598,37080,34716,906,6603,900485,21917,53,69
,,,,,,,,,,,
0,184,82471,24598,37080,34716,906,6603,900485,21917,53,69
,,,,,,,,,,,
0,1160,82471,24598,37080,34716,906,6603,900485,21917,53,69
,,,,,,,,,,,
0,-27,82471,24598,37080,34716,906,6603,900485,21917,53,69
,,,,,,,,,,,
0,-147,82471,24598,37080,34716,906,6603,900485,21917,53,69
,,,,,,,,,,,
0,201,82471,24598,37080,34716,906,6603,900485,21917,53,69
,,,,,,,,,,,
0,-343,82471,24598,37080,34716,906,6603,900485,21917,53,69
,,,,,,,,,,,
0,81,82471,24598,37080,34716,906,6603,900485,21917,53,69
,,,,,,,,,,,
0,-68,82471,24598,37080,34716,906,6603,900485,21917,53,69
,,,,,,,,,,,
0,427,159436,165292,120177,186497,14519,45422,2375171,627319,57,64
,,,,,,,,,,,
0,41,159436,165292,120177,186497,14519,45422,2375171,627319,57,64
,,,,,,,,,,,
0,139,159436,165292,120177,186497,14519,45422,2375171,627319,57,64
,,,,,,,,,,,
0,-1605,159436,165292,120177,186497,14519,45422,2375171,627319,57,64
,,,,,,,,,,,
0,-174,159436,165292,120177,186497,14519,45422,2375171,627319,57,64
,,,,,,,,,,,
0,19,159436,165292,120177,186497,14519,45422,2375171,627319,57,64
,,,,,,,,,,,
0,50,159436,165292,120177,186497,14519,45422,2375171,627319,57,64
,,,,,,,,,,,
0,53,159436,165292,120177,186497,14519,45422,2375171,627319,57,64
,,,,,,,,,,,
0,1490,159436,165292,120177,186497,14519,45422,2375171,627319,57,64
,,,,,,,,,,,
0,246,159436,165292,120177,186497,14519,45422,2375171,627319,57,64
,,,,,,,,,,,
51,83,98696,68833,25149,31606,4117,7221,833938,487887,57,64
,,,,,,,,,,,
51,57,98696,68833,25149,31606,4117,7221,833938,487887,57,64
,,,,,,,,,,,
51,53,98696,68833,25149,31606,4117,7221,833938,487887,57,64
,,,,,,,,,,,
51,53,98696,68833,25149,31606,4117,7221,833938,487887,57,64
,,,,,,,,,,,
51,53,98696,68833,25149,31606,4117,7221,833938,487887,57,64
,,,,,,,,,,,
51,53,98696,68833,25149,31606,4117,7221,833938,487887,57,64
,,,,,,,,,,,
51,-782,98696,68833,25149,31606,4117,7221,833938,487887,57,64
,,,,,,,,,,,
51,2047,98696,68833,25149,31606,4117,7221,833938,487887,57,64
,,,,,,,,,,,
51,389,98696,68833,25149,31606,4117,7221,833938,487887,57,64
,,,,,,,,,,,
25,106,8143,29438,85300,90449,15175,17414,1297574,492291,57,64
,,,,,,,,,,,
25,60,8143,29438,85300,90449,15175,17414,1297574,492291,57,64
,,,,,,,,,,,
25,55,8143,29438,85300,90449,15175,17414,1297574,492291,57,64
,,,,,,,,,,,
25,-9,8143,29438,85300,90449,15175,17414,1297574,492291,57,64
,,,,,,,,,,,
25,-188,8143,29438,85300,90449,15175,17414,1297574,492291,57,64
,,,,,,,,,,,
25,-405,8143,29438,85300,90449,15175,17414,1297574,492291,57,64
,,,,,,,,,,,
