poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
51,1234,176472,60255,40019,97493,13014,9831,747783,142061,60,77
51,-835,176472,60255,40019,97493,13014,9831,747783,142061,60,77
51,-843,176472,60255,40019,97493,13014,9831,747783,142061,60,77
51,2047,176472,60255,40019,97493,13014,9831,747783,142061,60,77
51,432,176472,60255,40019,97493,13014,9831,747783,142061,60,77
51,1431,176472,60255,40019,97493,13014,9831,747783,142061,60,77
51,379,176472,60255,40019,97493,13014,9831,747783,142061,60,77
51,106,176472,60255,40019,97493,13014,9831,747783,142061,60,77
51,71,176472,60255,40019,97493,13014,9831,747783,142061,60,77
51,-38,34165,61604,63643,41672,17377,53224,350753,83677,60,77
51,-83,34165,61604,63643,41672,17377,53224,350753,83677,60,77
51,-323,34165,61604,63643,41672,17377,53224,350753,83677,60,77
51,-90,34165,61604,63643,41672,17377,53224,350753,83677,60,77
51,371,34165,61604,63643,41672,17377,53224,350753,83677,60,77
51,283,34165,61604,63643,41672,17377,53224,350753,83677,60,77
51,-118,34165,61604,63643,41672,17377,53224,350753,83677,60,77
51,-83,34165,61604,63643,41672,17377,53224,350753,83677,60,77
51,132,34165,61604,63643,41672,17377,53224,350753,83677,60,77
51,25,34165,61604,63643,41672,17377,53224,350753,83677,60,77
0,90,5251,23092,4327,5044,708,1611,219108,20316,57,81
0,24,5251,23092,4327,5044,708,1611,219108,20316,57,81
0,75,5251,23092,4327,5044,708,1611,219108,20316,57,81
0,-617,5251,23092,4327,5044,708,1611,219108,20316,57,81
0,279,5251,23092,4327,5044,708,1611,219108,20316,57,81
0,20,5251,23092,4327,5044,708,1611,219108,20316,57,81
0,52,5251,23092,4327,5044,708,1611,219108,20316,57,81
0,216,5251,23092,4327,5044,708,1611,219108,20316,57,81
0,92,5251,23092,4327,5044,708,1611,219108,20316,57,81
0,307,5251,23092,4327,5044,708,1611,219108,20316,57,81
0,1185,264343,338252,208791,158961,21574,33534,1835843,834097,47,83
0,689,264343,338252,208791,158961,21574,33534,1835843,834097,47,83
0,145,264343,338252,208791,158961,21574,33534,1835843,834097,47,83
0,170,264343,338252,208791,158961,21574,33534,1835843,834097,47,83
0,124,264343,338252,208791,158961,21574,33534,1835843,834097,47,83
0,465,264343,338252,208791,158961,21574,33534,1835843,834097,47,83
0,-2048,264343,338252,208791,158961,21574,33534,1835843,834097,47,83
0,-349,264343,338252,208791,158961,21574,33534,1835843,834097,47,83
0,5,264343,338252,208791,158961,21574,33534,1835843,834097,47,83
0,48,264343,338252,208791,158961,21574,33534,1835843,834097,47,83
51,53,172072,54750,45474,94997,5356,20305,1972932,541439,47,83
51,860,172072,54750,45474,94997,5356,20305,1972932,541439,47,83
51,162,172072,54750,45474,94997,5356,20305,1972932,541439,47,83
51,70,172072,54750,45474,94997,5356,20305,1972932,541439,47,83
51,55,172072,54750,45474,94997,5356,20305,1972932,541439,47,83
51,54,172072,54750,45474,94997,5356,20305,1972932,541439,47,83
51,53,172072,54750,45474,94997,5356,20305,1972932,541439,47,83
51,54,172072,54750,45474,94997,5356,20305,1972932,541439,47,83
51,55,172072,54750,45474,94997,5356,20305,1972932,541439,47,83
51,54,172072,54750,45474,94997,5356,20305,1972932,541439,47,83
25,54,17840,9281,12127,19347,1605,2758,208805,59228,47,83
25,-2048,17840,9281,12127,19347,1605,2758,208805,59228,47,83
25,2047,17840,9281,12127,19347,1605,2758,208805,59228,47,83
25,-55,17840,9281,12127,19347,1605,2758,208805,59228,47,83
25,642,17840,9281,12127,19347,1605,2758,208805,59228,47,83
25,96,17840,9281,12127,19347,1605,2758,208805,59228,47,83
25,84,17840,9281,12127,19347,1605,2758,208805,59228,47,83
25,-78,17840,9281,12127,19347,1605,2758,208805,59228,47,83
25,-27,17840,9281,12127,19347,1605,2758,208805,59228,47,83
25,1156,17840,9281,12127,19347,1605,2758,208805,59228,47,83
51,1076,78852,56035,131794,140292,56420,127635,261341,171323,47,83
51,210,78852,56035,131794,140292,56420,127635,261341,171323,47,83
51,-590,78852,56035,131794,140292,56420,127635,261341,171323,47,83
51,231,78852,56035,131794,140292,56420,127635,261341,171323,47,83
51,-743,78852,56035,131794,140292,56420,127635,261341,171323,47,83
51,245,78852,56035,131794,140292,56420,127635,261341,171323,47,83
51,-930,78852,56035,131794,140292,56420,127635,261341,171323,47,83
51,-418,78852,56035,131794,140292,56420,127635,261341,171323,47,83
51,-284,78852,56035,131794,140292,56420,127635,261341,171323,47,83
51,1376,24289,7433,8142,17973,1826,2576,879047,28782,47,83
51,-310,24289,7433,8142,17973,1826,2576,879047,28782,47,83
