poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
0,65,4108,5035,1031,3774,649,1565,324962,39723,10,77
0,55,18875,31563,9923,2635,2946,7740,596450,82909,16,87
0,71,18875,31563,9923,2635,2946,7740,596450,82909,16,87
0,-7,18875,31563,9923,2635,2946,7740,596450,82909,16,87
0,19,18875,31563,9923,2635,2946,7740,596450,82909,16,87
0,8,18875,31563,9923,2635,2946,7740,596450,82909,16,87
0,188,18875,31563,9923,2635,2946,7740,596450,82909,16,87
0,42,18875,31563,9923,2635,2946,7740,596450,82909,16,87
0,139,18875,31563,9923,2635,2946,7740,596450,82909,16,87
0,100,18875,31563,9923,2635,2946,7740,596450,82909,16,87
0,114,18875,31563,9923,2635,2946,7740,596450,82909,16,87
0,131,4186,11832,5026,3857,1083,9514,1020882,121969,13,70
0,21,4186,11832,5026,3857,1083,9514,1020882,121969,13,70
0,102,4186,11832,5026,3857,1083,9514,1020882,121969,13,70
0,-26,4186,11832,5026,3857,1083,9514,1020882,121969,13,70
0,76,4186,11832,5026,3857,1083,9514,1020882,121969,13,70
0,26,4186,11832,5026,3857,1083,9514,1020882,121969,13,70
0,-13,4186,11832,5026,3857,1083,9514,1020882,121969,13,70
0,129,4186,11832,5026,3857,1083,9514,1020882,121969,13,70
0,-283,4186,11832,5026,3857,1083,9514,1020882,121969,13,70
0,-135,9079,9699,9180,11239,935,7305,147293,109678,24,56
0,307,9079,9699,9180,11239,935,7305,147293,109678,24,56
0,256,9079,9699,9180,11239,935,7305,147293,109678,24,56
0,155,9079,9699,9180,11239,935,7305,147293,109678,24,56
0,147,9079,9699,9180,11239,935,7305,147293,109678,24,56
0,-17,9079,9699,9180,11239,935,7305,147293,109678,24,56
0,203,9079,9699,9180,11239,935,7305,147293,109678,24,56
0,3,9079,9699,9180,11239,935,7305,147293,109678,24,56
0,296,9079,9699,9180,11239,935,7305,147293,109678,24,56
0,97,9079,9699,9180,11239,935,7305,147293,109678,24,56
0,283,8404,53333,1309,3416,1025,2887,977029,20488,20,77
0,341,8404,53333,1309,3416,1025,2887,977029,20488,20,77
0,-1668,8404,53333,1309,3416,1025,2887,977029,20488,20,77
0,-174,8404,53333,1309,3416,1025,2887,977029,20488,20,77
0,22,8404,53333,1309,3416,1025,2887,977029,20488,20,77
0,50,8404,53333,1309,3416,1025,2887,977029,20488,20,77
0,53,8404,53333,1309,3416,1025,2887,977029,20488,20,77
0,54,8404,53333,1309,3416,1025,2887,977029,20488,20,77
0,54,8404,53333,1309,3416,1025,2887,977029,20488,20,77
25,53,5607,1926,2915,3009,594,2008,196780,1527,20,77
