poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
51,54,37181,4585,25557,143096,7559,11207,128815,178935,0,0
51,54,37181,4585,25557,143096,7559,11207,128815,178935,0,0
51,54,37181,4585,25557,143096,7559,11207,128815,178935,0,0
80,54,118079,187021,7855,46179,4768,5584,698069,329640,0,0
80,54,118079,187021,7855,46179,4768,5584,698069,329640,0,0
80,54,118079,187021,7855,46179,4768,5584,698069,329640,0,0
80,54,118079,187021,7855,46179,4768,5584,698069,329640,0,0
80,54,118079,187021,7855,46179,4768,5584,698069,329640,0,0
80,54,118079,187021,7855,46179,4768,5584,698069,329640,0,0
80,54,118079,187021,7855,46179,4768,5584,698069,329640,0,0
80,54,118079,187021,7855,46179,4768,5584,698069,329640,0,0
80,54,118079,187021,7855,46179,4768,5584,698069,329640,0,0
80,54,118079,187021,7855,46179,4768,5584,698069,329640,0,0
54,54,0,0,0,0,0,0,0,0,0,0
54,54,0,0,0,0,0,0,0,0,0,0
54,995,0,0,0,0,0,0,0,0,0,0
54,179,0,0,0,0,0,0,0,0,0,0
54,70,0,0,0,0,0,0,0,0,0,0
54,55,0,0,0,0,0,0,0,0,0,0
54,53,0,0,0,0,0,0,0,0,0,0
54,53,0,0,0,0,0,0,0,0,0,0
54,53,0,0,0,0,0,0,0,0,0,0
25,55,21632,24241,16498,19547,1570,3012,279336,39690,0,0
25,55,21632,24241,16498,19547,1570,3012,279336,39690,0,0
25,37,21632,24241,16498,19547,1570,3012,279336,39690,0,0
25,69,21632,24241,16498,19547,1570,3012,279336,39690,0,0
25,-72,21632,24241,16498,19547,1570,3012,279336,39690,0,0
25,189,21632,24241,16498,19547,1570,3012,279336,39690,0,0
25,299,21632,24241,16498,19547,1570,3012,279336,39690,0,0
25,252,21632,24241,16498,19547,1570,3012,279336,39690,0,0
25,-548,21632,24241,16498,19547,1570,3012,279336,39690,0,0
25,377,21632,24241,16498,19547,1570,3012,279336,39690,0,0
25,665,31724,71078,29348,84445,3010,2672,650943,112911,0,0
25,296,31724,71078,29348,84445,3010,2672,650943,112911,0,0
25,259,31724,71078,29348,84445,3010,2672,650943,112911,0,0
25,-165,31724,71078,29348,84445,3010,2672,650943,112911,0,0
25,70,31724,71078,29348,84445,3010,2672,650943,112911,0,0
25,-1076,31724,71078,29348,84445,3010,2672,650943,112911,0,0
25,363,31724,71078,29348,84445,3010,2672,650943,112911,0,0
25,208,31724,71078,29348,84445,3010,2672,650943,112911,0,0
25,613,31724,71078,29348,84445,3010,2672,650943,112911,0,0
25,-65,59300,198898,68500,153448,19294,20566,1225231,370531,0,0
25,-39,59300,198898,68500,153448,19294,20566,1225231,370531,0,0
25,201,59300,198898,68500,153448,19294,20566,1225231,370531,0,0
25,179,59300,198898,68500,153448,19294,20566,1225231,370531,0,0
25,64,59300,198898,68500,153448,19294,20566,1225231,370531,0,0
25,-589,59300,198898,68500,153448,19294,20566,1225231,370531,0,0
25,-150,59300,198898,68500,153448,19294,20566,1225231,370531,0,0
25,-155,59300,198898,68500,153448,19294,20566,1225231,370531,0,0
25,-52,59300,198898,68500,153448,19294,20566,1225231,370531,0,0
25,358,59300,198898,68500,153448,19294,20566,1225231,370531,0,0
0,41,10962,9049,7524,8567,2294,3647,755339,54114,0,0
0,-82,10962,9049,7524,8567,2294,3647,755339,54114,0,0
0,390,10962,9049,7524,8567,2294,3647,755339,54114,0,0
0,-203,10962,9049,7524,8567,2294,3647,755339,54114,0,0
0,-609,10962,9049,7524,8567,2294,3647,755339,54114,0,0
0,-1402,10962,9049,7524,8567,2294,3647,755339,54114,0,0
0,1395,10962,9049,7524,8567,2294,3647,755339,54114,0,0
0,392,10962,9049,7524,8567,2294,3647,755339,54114,0,0
0,-536,10962,9049,7524,8567,2294,3647,755339,54114,0,0
0,-6,10962,9049,7524,8567,2294,3647,755339,54114,0,0
26,199,39711,23554,7168,24007,3025,15903,475067,83435,0,0
26,59,39711,23554,7168,24007,3025,15903,475067,83435,0,0
26,50,39711,23554,7168,24007,3025,15903,475067,83435,0,0
26,-71,39711,23554,7168,24007,3025,15903,475067,83435,0,0
26,944,39711,23554,7168,24007,3025,15903,475067,83435,0,0
26,266,39711,23554,7168,24007,3025,15903,475067,83435,0,0
26,-99,39711,23554,7168,24007,3025,15903,475067,83435,0,0
26,82,39711,23554,7168,24007,3025,15903,475067,83435,0,0
26,157,39711,23554,7168,24007,3025,15903,475067,83435,0,0
0,75,8681,22026,17416,26761,3978,11266,311960,217750,0,0
0,55,8681,22026,17416,26761,3978,11266,311960,217750,0,0
0,54,8681,22026,17416,26761,3978,11266,311960,217750,0,0
0,-922,8681,22026,17416,26761,3978,11266,311960,217750,0,0
0,2047,8681,22026,17416,26761,3978,11266,311960,217750,0,0
0,610,8681,22026,17416,26761,3978,11266,311960,217750,0,0
0,130,8681,22026,17416,26761,3978,11266,311960,217750,0,0
0,64,8681,22026,17416,26761,3978,11266,311960,217750,0,0

25,172,38188,20674,42201,17738,6155,5631,2563313,36301,0,0
25,227,38188,20674,42201,17738,6155,5631,2563313,36301,0,0
25,262,38188,20674,42201,17738,6155,5631,2563313,36301,0,0
25,226,38188,20674,42201,17738,6155,5631,2563313,36301,0,0
25,198,38188,20674,42201,17738,6155,5631,2563313,36301,0,0
25,-30,38188,20674,42201,17738,6155,5631,2563313,36301,0,0
25,-11,38188,20674,42201,17738,6155,5631,2563313,36301,0,0
0,-273,64440,32445,23696,56394,7051,12138,2315243,284258,0,0
0,406,64440,32445,23696,56394,7051,12138,2315243,284258,0,0
0,136,64440,32445,23696,56394,7051,12138,2315243,284258,0,0
0,-157,64440,32445,23696,56394,7051,12138,2315243,284258,0,0
0,64,64440,32445,23696,56394,7051,12138,2315243,284258,0,0
0,199,64440,32445,23696,56394,7051,12138,2315243,284258,0,0
0,19,64440,32445,23696,56394,7051,12138,2315243,284258,0,0
0,-292,64440,32445,23696,56394,7051,12138,2315243,284258,0,0
0,642,64440,32445,23696,56394,7051,12138,2315243,284258,0,0
0,406,64440,32445,23696,56394,7051,12138,2315243,284258,0,0
0,177,32861,82261,14793,22326,2602,4551,731586,338498,0,0
0,-651,32861,82261,14793,22326,2602,4551,731586,338498,0,0
0,-113,32861,82261,14793,22326,2602,4551,731586,338498,0,0
0,-124,32861,82261,14793,22326,2602,4551,731586,338498,0,0
0,251,32861,82261,14793,22326,2602,4551,731586,338498,0,0
0,824,32861,82261,14793,22326,2602,4551,731586,338498,0,0
0,128,32861,82261,14793,22326,2602,4551,731586,338498,0,0
0,-142,32861,82261,14793,22326,2602,4551,731586,338498,0,0
0,585,32861,82261,14793,22326,2602,4551,731586,338498,0,0
0,199,32861,82261,14793,22326,2602,4551,731586,338498,0,0
0,84,7550,17610,2262,7798,1019,3690,191286,19551,0,0
0,-2048,7550,17610,2262,7798,1019,3690,191286,19551,0,0
0,-247,7550,17610,2262,7798,1019,3690,191286,19551,0,0
0,12,7550,17610,2262,7798,1019,3690,191286,19551,0,0
0,49,7550,17610,2262,7798,1019,3690,191286,19551,0,0
0,53,7550,17610,2262,7798,1019,3690,191286,19551,0,0
0,53,7550,17610,2262,7798,1019,3690,191286,19551,0,0
0,54,7550,17610,2262,7798,1019,3690,191286,19551,0,0
0,54,7550,17610,2262,7798,1019,3690,191286,19551,0,0
25,53,39142,43674,4174,9785,2018,1684,709429,24895,0,0
25,53,39142,43674,4174,9785,2018,1684,709429,24895,0,0
25,54,39142,43674,4174,9785,2018,1684,709429,24895,0,0
25,54,39142,43674,4174,9785,2018,1684,709429,24895,0,0
25,53,39142,43674,4174,9785,2018,1684,709429,24895,0,0
25,54,39142,43674,4174,9785,2018,1684,709429,24895,0,0
25,54,39142,43674,4174,9785,2018,1684,709429,24895,0,0
25,54,39142,43674,4174,9785,2018,1684,709429,24895,0,0
25,54,39142,43674,4174,9785,2018,1684,709429,24895,0,0
25,54,39142,43674,4174,9785,2018,1684,709429,24895,0,0
54,54,0,0,0,0,0,0,2,0,0,0
54,54,0,0,0,0,0,0,2,0,0,0
54,53,0,0,0,0,0,0,2,0,0,0
54,54,0,0,0,0,0,0,2,0,0,0
54,54,0,0,0,0,0,0,2,0,0,0
54,54,0,0,0,0,0,0,2,0,0,0
54,54,0,0,0,0,0,0,2,0,0,0
54,53,0,0,0,0,0,0,2,0,0,0
54,54,0,0,0,0,0,0,2,0,0,0
54,54,0,0,0,0,0,0,1,1,0,0
54,54,0,0,0,0,0,0,1,1,0,0
54,53,0,0,0,0,0,0,1,1,0,0
54,53,0,0,0,0,0,0,1,1,0,0
54,861,0,0,0,0,0,0,1,1,0,0
54,161,0,0,0,0,0,0,1,1,0,0
54,70,0,0,0,0,0,0,1,1,0,0
54,55,0,0,0,0,0,0,1,1,0,0
54,52,0,0,0,0,0,0,1,1,0,0
54,53,0,0,0,0,0,0,1,1,0,0
25,53,21700,24162,16502,19600,1573,3013,275808,39866,0,0
25,54,21700,24162,16502,19600,1573,3013,275808,39866,0,0
25,55,21700,24162,16502,19600,1573,3013,275808,39866,0,0
25,55,21700,24162,16502,19600,1573,3013,275808,39866,0,0
25,0,21700,24162,16502,19600,1573,3013,275808,39866,0,0
25,23,21700,24162,16502,19600,1573,3013,275808,39866,0,0
25,-316,21700,24162,16502,19600,1573,3013,275808,39866,0,0
25,-108,21700,24162,16502,19600,1573,3013,275808,39866,0,0
25,-201,21700,24162,16502,19600,1573,3013,275808,39866,0,0
25,17,183011,212330,168645,106736,3158,23096,1291748,1981291,0,0
25,440,183011,212330,168645,106736,3158,23096,1291748,1981291,0,0
25,-129,183011,212330,168645,106736,3158,23096,1291748,1981291,0,0
25,-740,183011,212330,168645,106736,3158,23096,1291748,1981291,0,0
25,-729,183011,212330,168645,106736,3158,23096,1291748,1981291,0,0
25,2047,183011,212330,168645,106736,3158,23096,1291748,1981291,0,0
25,1017,183011,212330,168645,106736,3158,23096,1291748,1981291,0,0
25,-590,183011,212330,168645,106736,3158,23096,1291748,1981291,0,0
25,-933,183011,212330,168645,106736,3158,23096,1291748,1981291,0,0
25,-710,183011,212330,168645,106736,3158,23096,1291748,1981291,0,0
51,1179,8221,1468,8503,16553,1867,3885,1263757,30188,0,0
51,-262,8221,1468,8503,16553,1867,3885,1263757,30188,0,0
51,73,8221,1468,8503,16553,1867,3885,1263757,30188,0,0
51,482,8221,1468,8503,16553,1867,3885,1263757,30188,0,0
51,304,8221,1468,8503,16553,1867,3885,1263757,30188,0,0
51,-262,8221,1468,8503,16553,1867,3885,1263757,30188,0,0
51,-573,8221,1468,8503,16553,1867,3885,1263757,30188,0,0
51,344,8221,1468,8503,16553,1867,3885,1263757,30188,0,0
51,1211,8221,1468,8503,16553,1867,3885,1263757,30188,0,0
26,-2048,99136,355271,69360,138794,5324,9323,1991852,1029270,0,0
26,27,99136,355271,69360,138794,5324,9323,1991852,1029270,0,0
26,-476,99136,355271,69360,138794,5324,9323,1991852,1029270,0,0
