poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
,,,,,,,,,,,
0,69,1113,788,665,1009,137,602,211833,6035,61,1
,,,,,,,,,,,
0,24,1113,788,665,1009,137,602,211833,6035,61,1
,,,,,,,,,,,
0,56,20919,104449,15693,17104,5704,7426,111205,139864,44,20
,,,,,,,,,,,
0,82,20919,104449,15693,17104,5704,7426,111205,139864,44,20
,,,,,,,,,,,
0,67,20919,104449,15693,17104,5704,7426,111205,139864,44,20
,,,,,,,,,,,
0,66,20919,104449,15693,17104,5704,7426,111205,139864,44,20
,,,,,,,,,,,
0,76,20919,104449,15693,17104,5704,7426,111205,139864,44,20
,,,,,,,,,,,
0,22,20919,104449,15693,17104,5704,7426,111205,139864,44,20
,,,,,,,,,,,
0,41,20919,104449,15693,17104,5704,7426,111205,139864,44,20
,,,,,,,,,,,
0,55,20919,104449,15693,17104,5704,7426,111205,139864,44,20
,,,,,,,,,,,
0,170,20919,104449,15693,17104,5704,7426,111205,139864,44,20
,,,,,,,,,,,
0,-171,20919,104449,15693,17104,5704,7426,111205,139864,44,20
,,,,,,,,,,,
0,90,5270,4871,3543,6367,904,1098,49605,51633,44,13
,,,,,,,,,,,
0,230,5270,4871,3543,6367,904,1098,49605,51633,44,13
,,,,,,,,,,,
0,85,5270,4871,3543,6367,904,1098,49605,51633,44,13
,,,,,,,,,,,
0,168,5270,4871,3543,6367,904,1098,49605,51633,44,13
,,,,,,,,,,,
0,-9,5270,4871,3543,6367,904,1098,49605,51633,44,13
,,,,,,,,,,,
0,-305,5270,4871,3543,6367,904,1098,49605,51633,44,13
,,,,,,,,,,,
0,-116,5270,4871,3543,6367,904,1098,49605,51633,44,13
,,,,,,,,,,,
0,311,5270,4871,3543,6367,904,1098,49605,51633,44,13
,,,,,,,,,,,
0,490,5270,4871,3543,6367,904,1098,49605,51633,44,13
,,,,,,,,,,,
0,454,5270,4871,3543,6367,904,1098,49605,51633,44,13
,,,,,,,,,,,
0,53,5270,4871,3543,6367,904,1098,49605,51633,44,13
,,,,,,,,,,,
0,513,5270,4871,3543,6367,904,1098,49605,51633,44,13
,,,,,,,,,,,
0,513,5270,4871,3543,6367,904,1098,49605,51633,44,13
,,,,,,,,,,,
0,-52,5270,4871,3543,6367,904,1098,49605,51633,44,13
,,,,,,,,,,,
0,39,5270,4871,3543,6367,904,1098,49605,51633,44,13
,,,,,,,,,,,
0,52,5270,4871,3543,6367,904,1098,49605,51633,44,13
,,,,,,,,,,,
0,54,5270,4871,3543,6367,904,1098,49605,51633,44,13
,,,,,,,,,,,
0,54,5270,4871,3543,6367,904,1098,49605,51633,44,13
,,,,,,,,,,,
0,54,5270,4871,3543,6367,904,1098,49605,51633,44,13
,,,,,,,,,,,
25,54,6992,6632,3246,4204,952,1381,243869,13021,44,20
,,,,,,,,,,,
25,54,6992,6632,3246,4204,952,1381,243869,13021,44,20
,,,,,,,,,,,
25,54,6992,6632,3246,4204,952,1381,243869,13021,44,20
,,,,,,,,,,,
25,54,6992,6632,3246,4204,952,1381,243869,13021,44,20
,,,,,,,,,,,
25,54,6992,6632,3246,4204,952,1381,243869,13021,44,20
,,,,,,,,,,,
25,54,6992,6632,3246,4204,952,1381,243869,13021,44,20
,,,,,,,,,,,
25,54,6992,6632,3246,4204,952,1381,243869,13021,44,20
,,,,,,,,,,,
25,54,6992,6632,3246,4204,952,1381,243869,13021,44,20
,,,,,,,,,,,
25,54,6992,6632,3246,4204,952,1381,243869,13021,44,20
,,,,,,,,,,,
25,54,6992,6632,3246,4204,952,1381,243869,13021,44,20
,,,,,,,,,,,
54,53,0,0,1,0,0,0,0,1,44,20
,,,,,,,,,,,
54,53,0,0,1,0,0,0,0,1,44,20
,,,,,,,,,,,
54,53,0,0,1,0,0,0,0,1,44,20
,,,,,,,,,,,
54,54,0,0,1,0,0,0,0,1,44,20
,,,,,,,,,,,
54,53,0,0,1,0,0,0,0,1,44,20
,,,,,,,,,,,
54,54,0,0,1,0,0,0,0,1,44,20
,,,,,,,,,,,
54,54,0,0,1,0,0,0,0,1,44,20
,,,,,,,,,,,
54,54,0,0,1,0,0,0,0,1,44,20
,,,,,,,,,,,
54,54,0,0,1,0,0,0,0,1,44,20
,,,,,,,,,,,
54,54,0,1,1,0,0,0,1,2,44,20
,,,,,,,,,,,
54,54,0,1,1,0,0,0,1,2,44,20
,,,,,,,,,,,
54,53,0,1,1,0,0,0,1,2,44,20
,,,,,,,,,,,
54,54,0,1,1,0,0,0,1,2,44,20
,,,,,,,,,,,
54,54,0,1,1,0,0,0,1,2,44,20
,,,,,,,,,,,
54,54,0,1,1,0,0,0,1,2,44,20
,,,,,,,,,,,
54,54,0,1,1,0,0,0,1,2,44,20
,,,,,,,,,,,
54,54,0,1,1,0,0,0,1,2,44,20
,,,,,,,,,,,
54,54,0,1,1,0,0,0,1,2,44,20
,,,,,,,,,,,
54,54,0,1,1,0,0,0,1,2,44,20
,,,,,,,,,,,
25,1140,0,1,0,0,0,0,1,1,44,20
,,,,,,,,,,,
25,290,0,1,0,0,0,0,1,1,44,20
,,,,,,,,,,,
25,71,0,1,0,0,0,0,1,1,44,20
,,,,,,,,,,,
25,56,0,1,0,0,0,0,1,1,44,20
,,,,,,,,,,,
25,-718,0,1,0,0,0,0,1,1,44,20
,,,,,,,,,,,
25,2047,0,1,0,0,0,0,1,1,44,20
,,,,,,,,,,,
25,385,0,1,0,0,0,0,1,1,44,20
,,,,,,,,,,,
25,-2048,0,1,0,0,0,0,1,1,44,20
,,,,,,,,,,,
25,1175,0,1,0,0,0,0,1,1,44,20
,,,,,,,,,,,
51,-1212,5563,87130,24234,47827,39659,28185,117277,83437,44,20
,,,,,,,,,,,
51,1889,5563,87130,24234,47827,39659,28185,117277,83437,44,20
,,,,,,,,,,,
51,258,5563,87130,24234,47827,39659,28185,117277,83437,44,20
,,,,,,,,,,,
51,77,5563,87130,24234,47827,39659,28185,117277,83437,44,20
,,,,,,,,,,,
51,55,5563,87130,24234,47827,39659,28185,117277,83437,44,20
,,,,,,,,,,,
51,53,5563,87130,24234,47827,39659,28185,117277,83437,44,20
,,,,,,,,,,,
51,-1674,5563,87130,24234,47827,39659,28185,117277,83437,44,20
,,,,,,,,,,,
51,2047,5563,87130,24234,47827,39659,28185,117277,83437,44,20
,,,,,,,,,,,
51,577,5563,87130,24234,47827,39659,28185,117277,83437,44,20
,,,,,,,,,,,
51,129,5563,87130,24234,47827,39659,28185,117277,83437,44,20
,,,,,,,,,,,
51,64,82713,66329,58008,46481,45717,30950,911715,41846,44,20
,,,,,,,,,,,
51,54,82713,66329,58008,46481,45717,30950,911715,41846,44,20
,,,,,,,,,,,
51,54,82713,66329,58008,46481,45717,30950,911715,41846,44,20
,,,,,,,,,,,
51,55,82713,66329,58008,46481,45717,30950,911715,41846,44,20
,,,,,,,,,,,
51,49,82713,66329,58008,46481,45717,30950,911715,41846,44,20
,,,,,,,,,,,
51,11,82713,66329,58008,46481,45717,30950,911715,41846,44,20
,,,,,,,,,,,
51,16,82713,66329,58008,46481,45717,30950,911715,41846,44,20
,,,,,,,,,,,
51,-56,82713,66329,58008,46481,45717,30950,911715,41846,44,20
,,,,,,,,,,,
51,-19,82713,66329,58008,46481,45717,30950,911715,41846,44,20
,,,,,,,,,,,
25,-57,12815,4132,3195,4233,903,1850,438803,37824,44,20
,,,,,,,,,,,
25,-145,12815,4132,3195,4233,903,1850,438803,37824,44,20
,,,,,,,,,,,
25,67,12815,4132,3195,4233,903,1850,438803,37824,44,20
,,,,,,,,,,,
25,197,12815,4132,3195,4233,903,1850,438803,37824,44,20
,,,,,,,,,,,
25,72,12815,4132,3195,4233,903,1850,438803,37824,44,20
,,,,,,,,,,,
25,61,12815,4132,3195,4233,903,1850,438803,37824,44,20
,,,,,,,,,,,
25,52,12815,4132,3195,4233,903,1850,438803,37824,44,20
,,,,,,,,,,,
25,132,12815,4132,3195,4233,903,1850,438803,37824,44,20
