poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation

0,91,11500,17548,2713,11202,533,2381,156571,39697,1,17

0,114,5330,23835,6884,23306,2447,5307,928178,65916,1,30

0,74,5330,23835,6884,23306,2447,5307,928178,65916,1,30

0,177,5330,23835,6884,23306,2447,5307,928178,65916,1,30

0,106,5330,23835,6884,23306,2447,5307,928178,65916,1,30

0,-23,5330,23835,6884,23306,2447,5307,928178,65916,1,30

0,-37,5330,23835,6884,23306,2447,5307,928178,65916,1,30

0,1,5330,23835,6884,23306,2447,5307,928178,65916,1,30

0,6,5330,23835,6884,23306,2447,5307,928178,65916,1,30

0,-10,5330,23835,6884,23306,2447,5307,928178,65916,1,30

0,73,5330,23835,6884,23306,2447,5307,928178,65916,1,30

0,188,1488,10311,1167,3878,801,1538,55777,5179,8,70

0,22,1488,10311,1167,3878,801,1538,55777,5179,8,70

0,-75,1488,10311,1167,3878,801,1538,55777,5179,8,70

0,-75,1488,10311,1167,3878,801,1538,55777,5179,8,70

0,26,1488,10311,1167,3878,801,1538,55777,5179,8,70

0,340,1488,10311,1167,3878,801,1538,55777,5179,8,70

0,-173,1488,10311,1167,3878,801,1538,55777,5179,8,70

0,194,1488,10311,1167,3878,801,1538,55777,5179,8,70

0,-81,1488,10311,1167,3878,801,1538,55777,5179,8,70

0,244,747,1356,1662,6234,380,1504,278373,21935,7,60

0,38,747,1356,1662,6234,380,1504,278373,21935,7,60

0,-34,747,1356,1662,6234,380,1504,278373,21935,7,60

0,100,747,1356,1662,6234,380,1504,278373,21935,7,60

0,82,747,1356,1662,6234,380,1504,278373,21935,7,60

0,162,747,1356,1662,6234,380,1504,278373,21935,7,60

0,234,747,1356,1662,6234,380,1504,278373,21935,7,60

0,-141,747,1356,1662,6234,380,1504,278373,21935,7,60

0,136,747,1356,1662,6234,380,1504,278373,21935,7,60

0,268,747,1356,1662,6234,380,1504,278373,21935,7,60

0,96,3012,2193,4768,3536,581,2112,358357,7273,34,51

0,-99,3012,2193,4768,3536,581,2112,358357,7273,34,51

0,-5,3012,2193,4768,3536,581,2112,358357,7273,34,51

0,568,3012,2193,4768,3536,581,2112,358357,7273,34,51

0,-1290,3012,2193,4768,3536,581,2112,358357,7273,34,51

0,-123,3012,2193,4768,3536,581,2112,358357,7273,34,51

0,29,3012,2193,4768,3536,581,2112,358357,7273,34,51

0,51,3012,2193,4768,3536,581,2112,358357,7273,34,51

0,54,3012,2193,4768,3536,581,2112,358357,7273,34,51

0,54,3012,2193,4768,3536,581,2112,358357,7273,34,51

51,54,224444,177517,58628,46879,23525,37229,1610454,1454603,34,51

51,54,224444,177517,58628,46879,23525,37229,1610454,1454603,34,51

51,55,224444,177517,58628,46879,23525,37229,1610454,1454603,34,51

51,54,224444,177517,58628,46879,23525,37229,1610454,1454603,34,51

51,54,224444,177517,58628,46879,23525,37229,1610454,1454603,34,51

51,54,224444,177517,58628,46879,23525,37229,1610454,1454603,34,51

51,54,224444,177517,58628,46879,23525,37229,1610454,1454603,34,51

51,54,224444,177517,58628,46879,23525,37229,1610454,1454603,34,51

51,54,224444,177517,58628,46879,23525,37229,1610454,1454603,34,51

54,54,0,0,0,0,0,0,0,0,34,51

54,54,0,0,0,0,0,0,0,0,34,51

54,54,0,0,0,0,0,0,0,0,34,51

54,54,0,0,0,0,0,0,0,0,34,51

54,54,0,0,0,0,0,0,0,0,34,51

54,54,0,0,0,0,0,0,0,0,34,51

54,54,0,0,0,0,0,0,0,0,34,51

54,54,0,0,0,0,0,0,0,0,34,51

54,54,0,0,0,0,0,0,0,0,34,51

54,54,0,0,0,0,0,0,0,0,34,51

54,53,0,0,0,0,0,0,0,0,34,51

54,54,0,0,0,0,0,0,0,0,34,51

54,54,0,0,0,0,0,0,0,0,34,51

54,54,0,0,0,0,0,0,0,0,34,51

54,54,0,0,0,0,0,0,0,0,34,51

54,54,0,0,0,0,0,0,0,0,34,51

54,54,0,0,0,0,0,0,0,0,34,51

54,54,0,0,0,0,0,0,0,0,34,51

54,54,0,0,0,0,0,0,0,0,34,51

54,54,0,0,1,0,0,0,2,0,34,51

54,54,0,0,1,0,0,0,2,0,34,51

54,54,0,0,1,0,0,0,2,0,34,51

54,54,0,0,1,0,0,0,2,0,34,51

54,57,0,0,1,0,0,0,2,0,34,51

54,43,0,0,1,0,0,0,2,0,34,51

54,28,0,0,1,0,0,0,2,0,34,51

54,37,0,0,1,0,0,0,2,0,34,51

54,96,0,0,1,0,0,0,2,0,34,51



0,44,29057,29283,11902,16085,5234,4301,1041498,104816,57,35

0,-7,29057,29283,11902,16085,5234,4301,1041498,104816,57,35

0,224,7488,2426,4972,10075,432,1554,139078,29210,75,27

0,-243,7488,2426,4972,10075,432,1554,139078,29210,75,27

0,244,7488,2426,4972,10075,432,1554,139078,29210,75,27

0,-630,7488,2426,4972,10075,432,1554,139078,29210,75,27

0,329,7488,2426,4972,10075,432,1554,139078,29210,75,27

0,585,7488,2426,4972,10075,432,1554,139078,29210,75,27

0,57,7488,2426,4972,10075,432,1554,139078,29210,75,27

0,-298,7488,2426,4972,10075,432,1554,139078,29210,75,27

0,251,7488,2426,4972,10075,432,1554,139078,29210,75,27

0,-534,22697,24382,8315,21378,4142,7160,303069,186093,69,24

0,456,22697,24382,8315,21378,4142,7160,303069,186093,69,24

0,-150,22697,24382,8315,21378,4142,7160,303069,186093,69,24

0,343,22697,24382,8315,21378,4142,7160,303069,186093,69,24

0,339,22697,24382,8315,21378,4142,7160,303069,186093,69,24

0,-167,22697,24382,8315,21378,4142,7160,303069,186093,69,24

0,120,22697,24382,8315,21378,4142,7160,303069,186093,69,24

0,295,22697,24382,8315,21378,4142,7160,303069,186093,69,24

0,-178,22697,24382,8315,21378,4142,7160,303069,186093,69,24

0,-301,22697,24382,8315,21378,4142,7160,303069,186093,69,24

0,213,4432,15718,7930,12469,849,2105,623074,62013,70,37

0,298,4432,15718,7930,12469,849,2105,623074,62013,70,37

0,100,4432,15718,7930,12469,849,2105,623074,62013,70,37

0,621,4432,15718,7930,12469,849,2105,623074,62013,70,37

0,401,4432,15718,7930,12469,849,2105,623074,62013,70,37

0,1378,4432,15718,7930,12469,849,2105,623074,62013,70,37

0,-500,4432,15718,7930,12469,849,2105,623074,62013,70,37

0,-19,4432,15718,7930,12469,849,2105,623074,62013,70,37

0,43,4432,15718,7930,12469,849,2105,623074,62013,70,37

0,53,4432,15718,7930,12469,849,2105,623074,62013,70,37

51,54,35666,46556,11726,19783,2722,2635,1669316,24941,70,37

51,54,35666,46556,11726,19783,2722,2635,1669316,24941,70,37

51,54,35666,46556,11726,19783,2722,2635,1669316,24941,70,37

51,54,35666,46556,11726,19783,2722,2635,1669316,24941,70,37

51,54,35666,46556,11726,19783,2722,2635,1669316,24941,70,37

51,54,35666,46556,11726,19783,2722,2635,1669316,24941,70,37

51,53,35666,46556,11726,19783,2722,2635,1669316,24941,70,37

51,54,35666,46556,11726,19783,2722,2635,1669316,24941,70,37

51,54,35666,46556,11726,19783,2722,2635,1669316,24941,70,37

54,54,0,1,0,1,0,0,1,1,70,37

54,54,0,1,0,1,0,0,1,1,70,37

54,54,0,1,0,1,0,0,1,1,70,37

54,54,0,1,0,1,0,0,1,1,70,37

54,54,0,1,0,1,0,0,1,1,70,37

54,54,0,1,0,1,0,0,1,1,70,37

54,54,0,1,0,1,0,0,1,1,70,37

54,54,0,1,0,1,0,0,1,1,70,37

54,54,0,1,0,1,0,0,1,1,70,37

54,54,0,1,0,1,0,0,1,1,70,37

54,54,0,0,1,0,0,0,0,1,70,37

54,53,0,0,1,0,0,0,0,1,70,37

54,54,0,0,1,0,0,0,0,1,70,37

54,53,0,0,1,0,0,0,0,1,70,37

54,54,0,0,1,0,0,0,0,1,70,37

54,54,0,0,1,0,0,0,0,1,70,37

54,54,0,0,1,0,0,0,0,1,70,37

54,54,0,0,1,0,0,0,0,1,70,37

54,54,0,0,1,0,0,0,0,1,70,37

54,54,0,0,1,0,1,1,0,0,70,37

54,54,0,0,1,0,1,1,0,0,70,37

54,55,0,0,1,0,1,1,0,0,70,37

54,54,0,0,1,0,1,1,0,0,70,37

54,55,0,0,1,0,1,1,0,0,70,37

54,54,0,0,1,0,1,1,0,0,70,37

54,55,0,0,1,0,1,1,0,0,70,37

54,54,0,0,1,0,1,1,0,0,70,37

54,56,0,0,1,0,1,1,0,0,70,37

54,53,0,0,1,0,1,1,0,0,70,37

54,138,15,6,6,11,4,2,97,39,70,37

54,83,15,6,6,11,4,2,97,39,70,37

54,11,15,6,6,11,4,2,97,39,70,37

54,272,15,6,6,11,4,2,97,39,70,37

54,215,15,6,6,11,4,2,97,39,70,37

54,374,15,6,6,11,4,2,97,39,70,37

54,42,15,6,6,11,4,2,97,39,70,37

54,569,15,6,6,11,4,2,97,39,70,37

54,-220,15,6,6,11,4,2,97,39,70,37

200,481,38877,13096,8136,22962,3851,4692,833002,192987,0,0

200,-306,38877,13096,8136,22962,3851,4692,833002,192987,0,0

200,-235,38877,13096,8136,22962,3851,4692,833002,192987,0,0

200,386,38877,13096,8136,22962,3851,4692,833002,192987,0,0

200,422,38877,13096,8136,22962,3851,4692,833002,192987,0,0

200,470,38877,13096,8136,22962,3851,4692,833002,192987,0,0

200,265,38877,13096,8136,22962,3851,4692,833002,192987,0,0

200,71,38877,13096,8136,22962,3851,4692,833002,192987,0,0

200,179,38877,13096,8136,22962,3851,4692,833002,192987,0,0

200,392,38877,13096,8136,22962,3851,4692,833002,192987,0,0

200,-903,10711,144915,9608,26946,6861,2015,229440,99925,0,0

200,747,10711,144915,9608,26946,6861,2015,229440,99925,0,0

200,465,10711,144915,9608,26946,6861,2015,229440,99925,0,0

200,-99,10711,144915,9608,26946,6861,2015,229440,99925,0,0

200,96,10711,144915,9608,26946,6861,2015,229440,99925,0,0

200,-28,10711,144915,9608,26946,6861,2015,229440,99925,0,0

200,-141,10711,144915,9608,26946,6861,2015,229440,99925,0,0

200,284,10711,144915,9608,26946,6861,2015,229440,99925,0,0

200,86,10711,144915,9608,26946,6861,2015,229440,99925,0,0

