poorSignal,rawValue,highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,delta,theta,attention,meditation
0,-489,71753,100532,29309,101697,2507,14291,1170232,566206,0,0
0,168,71753,100532,29309,101697,2507,14291,1170232,566206,0,0
0,28,71753,100532,29309,101697,2507,14291,1170232,566206,0,0
0,45,71753,100532,29309,101697,2507,14291,1170232,566206,0,0
0,786,71753,100532,29309,101697,2507,14291,1170232,566206,0,0
0,179,71753,100532,29309,101697,2507,14291,1170232,566206,0,0
0,-246,71753,100532,29309,101697,2507,14291,1170232,566206,0,0
0,-113,2186,16236,2098,1492,525,1557,181068,11511,0,0
0,-166,2186,16236,2098,1492,525,1557,181068,11511,0,0
0,-264,2186,16236,2098,1492,525,1557,181068,11511,0,0
0,-20,2186,16236,2098,1492,525,1557,181068,11511,0,0
0,380,2186,16236,2098,1492,525,1557,181068,11511,0,0
0,149,2186,16236,2098,1492,525,1557,181068,11511,0,0
0,-177,2186,16236,2098,1492,525,1557,181068,11511,0,0
0,230,2186,16236,2098,1492,525,1557,181068,11511,0,0
0,-86,2186,16236,2098,1492,525,1557,181068,11511,0,0
0,224,2186,16236,2098,1492,525,1557,181068,11511,0,0
0,156,153130,301066,99168,138599,20795,22631,600047,2316011,0,0
0,-746,153130,301066,99168,138599,20795,22631,600047,2316011,0,0
0,-339,153130,301066,99168,138599,20795,22631,600047,2316011,0,0
0,-609,153130,301066,99168,138599,20795,22631,600047,2316011,0,0
0,380,153130,301066,99168,138599,20795,22631,600047,2316011,0,0
0,204,153130,301066,99168,138599,20795,22631,600047,2316011,0,0
0,359,153130,301066,99168,138599,20795,22631,600047,2316011,0,0
0,-358,153130,301066,99168,138599,20795,22631,600047,2316011,0,0
0,243,153130,301066,99168,138599,20795,22631,600047,2316011,0,0
0,76,29774,36882,22742,45242,14568,6075,124159,50928,74,40
0,-2048,29774,36882,22742,45242,14568,6075,124159,50928,74,40
0,-674,29774,36882,22742,45242,14568,6075,124159,50928,74,40
0,963,29774,36882,22742,45242,14568,6075,124159,50928,74,40
0,1451,29774,36882,22742,45242,14568,6075,124159,50928,74,40
0,-536,29774,36882,22742,45242,14568,6075,124159,50928,74,40
0,-33,29774,36882,22742,45242,14568,6075,124159,50928,74,40
0,42,29774,36882,22742,45242,14568,6075,124159,50928,74,40
0,52,29774,36882,22742,45242,14568,6075,124159,50928,74,40
0,54,29774,36882,22742,45242,14568,6075,124159,50928,74,40
51,54,23893,95485,51889,26184,63931,67696,1067270,197705,74,40
51,54,23893,95485,51889,26184,63931,67696,1067270,197705,74,40
51,54,23893,95485,51889,26184,63931,67696,1067270,197705,74,40
51,54,23893,95485,51889,26184,63931,67696,1067270,197705,74,40
51,54,23893,95485,51889,26184,63931,67696,1067270,197705,74,40
51,53,23893,95485,51889,26184,63931,67696,1067270,197705,74,40
51,54,23893,95485,51889,26184,63931,67696,1067270,197705,74,40
51,54,23893,95485,51889,26184,63931,67696,1067270,197705,74,40
51,54,23893,95485,51889,26184,63931,67696,1067270,197705,74,40
54,54,0,0,1,0,0,0,1,1,74,40
54,54,0,0,1,0,0,0,1,1,74,40
54,53,0,0,1,0,0,0,1,1,74,40
54,54,0,0,1,0,0,0,1,1,74,40
54,54,0,0,1,0,0,0,1,1,74,40
54,54,0,0,1,0,0,0,1,1,74,40
54,54,0,0,1,0,0,0,1,1,74,40
54,54,0,0,1,0,0,0,1,1,74,40
54,54,0,0,1,0,0,0,1,1,74,40
54,54,0,0,1,0,0,0,1,1,74,40
54,54,0,0,0,0,0,0,2,0,74,40
54,54,0,0,0,0,0,0,2,0,74,40
54,54,0,0,0,0,0,0,2,0,74,40
54,54,0,0,0,0,0,0,2,0,74,40
54,53,0,0,0,0,0,0,2,0,74,40
54,54,0,0,0,0,0,0,2,0,74,40
54,54,0,0,0,0,0,0,2,0,74,40
54,54,0,0,0,0,0,0,2,0,74,40
54,54,0,0,0,0,0,0,2,0,74,40
54,54,0,0,0,0,0,0,0,0,74,40
54,54,0,0,0,0,0,0,0,0,74,40
54,54,0,0,0,0,0,0,0,0,74,40
54,54,0,0,0,0,0,0,0,0,74,40
54,54,0,0,0,0,0,0,0,0,74,40
54,54,0,0,0,0,0,0,0,0,74,40
54,55,0,0,0,0,0,0,0,0,74,40
54,54,0,0,0,0,0,0,0,0,74,40
54,55,0,0,0,0,0,0,0,0,74,40
54,73,0,0,0,0,0,0,0,0,74,40
54,45,112,183,24,55,5,5,573,376,74,40
54,34,112,183,24,55,5,5,573,376,74,40
54,82,112,183,24,55,5,5,573,376,74,40
54,74,112,183,24,55,5,5,573,376,74,40
54,219,112,183,24,55,5,5,573,376,74,40
54,395,112,183,24,55,5,5,573,376,74,40
54,455,112,183,24,55,5,5,573,376,74,40
54,148,112,183,24,55,5,5,573,376,74,40
54,11,112,183,24,55,5,5,573,376,74,40
200,413,5887,16128,4007,6693,581,1077,215970,31244,0,0
200,-333,5887,16128,4007,6693,581,1077,215970,31244,0,0
200,477,5887,16128,4007,6693,581,1077,215970,31244,0,0
200,-1011,5887,16128,4007,6693,581,1077,215970,31244,0,0
